"Plot Title:  20864581"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864581, SEN S/N: 20864581)","RH, % (LGR S/N: 20864581, SEN S/N: 20864581)","Coupler Detached (LGR S/N: 20864581)","Coupler Attached (LGR S/N: 20864581)","Host Connected (LGR S/N: 20864581)","Stopped (LGR S/N: 20864581)","End Of File (LGR S/N: 20864581)"
1,08.09.20 klo 02.38.01 ip.,23.271,46.471,,,,,
2,08.09.20 klo 02.38.12 ip.,,,Logged,,,,
3,08.09.20 klo 03.08.01 ip.,23.271,40.611,,,,,
4,08.09.20 klo 03.38.01 ip.,23.399,40.391,,,,,
5,08.09.20 klo 04.08.01 ip.,23.485,40.122,,,,,
6,08.09.20 klo 04.38.01 ip.,23.528,39.072,,,,,
7,08.09.20 klo 05.08.01 ip.,23.614,39.731,,,,,
8,08.09.20 klo 05.38.01 ip.,23.614,40.220,,,,,
9,08.09.20 klo 06.08.01 ip.,23.571,39.951,,,,,
10,08.09.20 klo 06.38.01 ip.,23.485,39.389,,,,,
11,08.09.20 klo 07.08.01 ip.,23.442,39.219,,,,,
12,08.09.20 klo 07.38.01 ip.,23.399,39.023,,,,,
13,08.09.20 klo 08.08.01 ip.,23.442,40.659,,,,,
14,08.09.20 klo 08.38.01 ip.,23.442,39.927,,,,,
15,08.09.20 klo 09.08.01 ip.,23.399,39.902,,,,,
16,08.09.20 klo 09.38.01 ip.,23.399,38.974,,,,,
17,08.09.20 klo 10.08.01 ip.,23.399,38.510,,,,,
18,08.09.20 klo 10.38.01 ip.,23.399,38.559,,,,,
19,08.09.20 klo 11.08.01 ip.,23.314,37.753,,,,,
20,08.09.20 klo 11.38.01 ip.,23.228,38.462,,,,,
21,08.10.20 klo 12.08.01 ap.,23.142,38.706,,,,,
22,08.10.20 klo 12.38.01 ap.,23.099,38.486,,,,,
23,08.10.20 klo 01.08.01 ap.,23.056,38.510,,,,,
24,08.10.20 klo 01.38.01 ap.,23.013,38.608,,,,,
25,08.10.20 klo 02.08.01 ap.,22.970,38.657,,,,,
26,08.10.20 klo 02.38.01 ap.,22.885,38.388,,,,,
27,08.10.20 klo 03.08.01 ap.,22.842,37.827,,,,,
28,08.10.20 klo 03.38.01 ap.,22.756,37.827,,,,,
29,08.10.20 klo 04.08.01 ap.,22.713,37.485,,,,,
30,08.10.20 klo 04.38.01 ap.,22.670,37.631,,,,,
31,08.10.20 klo 05.08.01 ap.,22.627,37.509,,,,,
32,08.10.20 klo 05.38.01 ap.,22.627,37.607,,,,,
33,08.10.20 klo 06.08.01 ap.,22.627,37.534,,,,,
34,08.10.20 klo 06.38.01 ap.,22.627,38.193,,,,,
35,08.10.20 klo 07.08.01 ap.,22.584,38.462,,,,,
36,08.10.20 klo 07.38.01 ap.,22.584,38.632,,,,,
37,08.10.20 klo 08.08.01 ap.,22.627,39.194,,,,,
38,08.10.20 klo 08.38.01 ap.,22.584,38.120,,,,,
39,08.10.20 klo 09.08.01 ap.,22.584,37.851,,,,,
40,08.10.20 klo 09.38.01 ap.,22.541,38.193,,,,,
41,08.10.20 klo 10.08.01 ap.,22.584,38.413,,,,,
42,08.10.20 klo 10.38.01 ap.,22.541,38.168,,,,,
43,08.10.20 klo 11.08.01 ap.,22.541,37.900,,,,,
44,08.10.20 klo 11.38.01 ap.,22.541,37.680,,,,,
45,08.10.20 klo 12.08.01 ip.,22.498,37.289,,,,,
46,08.10.20 klo 12.38.01 ip.,22.498,37.363,,,,,
47,08.10.20 klo 01.08.01 ip.,22.498,37.802,,,,,
48,08.10.20 klo 01.38.01 ip.,22.456,37.900,,,,,
49,08.10.20 klo 02.08.01 ip.,22.456,37.827,,,,,
50,08.10.20 klo 02.38.01 ip.,22.413,37.900,,,,,
51,08.10.20 klo 03.08.01 ip.,22.413,38.120,,,,,
52,08.10.20 klo 03.38.01 ip.,22.370,38.217,,,,,
53,08.10.20 klo 04.08.01 ip.,22.370,38.339,,,,,
54,08.10.20 klo 04.38.01 ip.,22.370,38.462,,,,,
55,08.10.20 klo 05.08.01 ip.,22.327,38.462,,,,,
56,08.10.20 klo 05.38.01 ip.,22.327,39.316,,,,,
57,08.10.20 klo 06.08.01 ip.,22.413,40.244,,,,,
58,08.10.20 klo 06.38.01 ip.,22.413,40.024,,,,,
59,08.10.20 klo 07.08.01 ip.,22.413,40.440,,,,,
60,08.10.20 klo 07.38.01 ip.,22.413,40.586,,,,,
61,08.10.20 klo 08.08.01 ip.,22.456,40.464,,,,,
62,08.10.20 klo 08.38.01 ip.,22.456,40.488,,,,,
63,08.10.20 klo 09.08.01 ip.,22.456,40.781,,,,,
64,08.10.20 klo 09.38.01 ip.,22.498,40.708,,,,,
65,08.10.20 klo 10.08.01 ip.,22.456,40.366,,,,,
66,08.10.20 klo 10.38.01 ip.,22.370,40.440,,,,,
67,08.10.20 klo 11.08.01 ip.,22.327,40.440,,,,,
68,08.10.20 klo 11.38.01 ip.,22.284,40.342,,,,,
69,08.11.20 klo 12.08.01 ap.,22.241,40.269,,,,,
70,08.11.20 klo 12.38.01 ap.,22.198,40.195,,,,,
71,08.11.20 klo 01.08.01 ap.,22.155,40.073,,,,,
72,08.11.20 klo 01.38.01 ap.,22.155,39.976,,,,,
73,08.11.20 klo 02.08.01 ap.,22.112,39.902,,,,,
74,08.11.20 klo 02.38.01 ap.,22.069,39.731,,,,,
75,08.11.20 klo 03.08.01 ap.,22.069,39.634,,,,,
76,08.11.20 klo 03.38.01 ap.,22.069,39.512,,,,,
77,08.11.20 klo 04.08.01 ap.,22.027,39.365,,,,,
78,08.11.20 klo 04.38.01 ap.,22.027,39.243,,,,,
79,08.11.20 klo 05.08.01 ap.,22.027,39.096,,,,,
80,08.11.20 klo 05.38.01 ap.,22.027,39.048,,,,,
81,08.11.20 klo 06.08.01 ap.,22.027,38.901,,,,,
82,08.11.20 klo 06.38.01 ap.,22.027,38.877,,,,,
83,08.11.20 klo 07.08.01 ap.,21.984,38.828,,,,,
84,08.11.20 klo 07.38.01 ap.,21.984,38.803,,,,,
85,08.11.20 klo 08.08.01 ap.,22.027,39.414,,,,,
86,08.11.20 klo 08.38.01 ap.,22.027,39.463,,,,,
87,08.11.20 klo 09.08.01 ap.,22.069,39.389,,,,,
88,08.11.20 klo 09.38.01 ap.,22.069,39.292,,,,,
89,08.11.20 klo 10.08.01 ap.,22.155,39.194,,,,,
90,08.11.20 klo 10.38.01 ap.,22.198,39.096,,,,,
91,08.11.20 klo 11.08.01 ap.,22.284,39.072,,,,,
92,08.11.20 klo 11.38.01 ap.,22.370,40.537,,,,,
93,08.11.20 klo 12.08.01 ip.,22.413,40.488,,,,,
94,08.11.20 klo 12.38.01 ip.,22.456,40.098,,,,,
95,08.11.20 klo 01.08.01 ip.,22.413,39.927,,,,,
96,08.11.20 klo 01.38.01 ip.,22.456,39.658,,,,,
97,08.11.20 klo 02.08.01 ip.,22.541,39.487,,,,,
98,08.11.20 klo 02.38.01 ip.,22.627,39.316,,,,,
99,08.11.20 klo 03.08.01 ip.,22.713,39.145,,,,,
100,08.11.20 klo 03.38.01 ip.,22.799,38.999,,,,,
101,08.11.20 klo 04.08.01 ip.,22.842,38.950,,,,,
102,08.11.20 klo 04.38.01 ip.,22.885,38.852,,,,,
103,08.11.20 klo 05.08.01 ip.,22.927,40.220,,,,,
104,08.11.20 klo 05.38.01 ip.,23.099,40.879,,,,,
105,08.11.20 klo 06.08.01 ip.,23.056,40.611,,,,,
106,08.11.20 klo 06.38.01 ip.,23.013,40.122,,,,,
107,08.11.20 klo 07.08.01 ip.,22.970,40.024,,,,,
108,08.11.20 klo 07.38.01 ip.,22.885,39.853,,,,,
109,08.11.20 klo 08.08.01 ip.,22.713,39.780,,,,,
110,08.11.20 klo 08.38.01 ip.,22.627,39.731,,,,,
111,08.11.20 klo 09.08.01 ip.,22.498,39.731,,,,,
112,08.11.20 klo 09.38.01 ip.,22.370,39.731,,,,,
113,08.11.20 klo 10.08.01 ip.,22.284,39.756,,,,,
114,08.11.20 klo 10.38.01 ip.,22.413,41.123,,,,,
115,08.11.20 klo 11.08.01 ip.,22.370,42.198,,,,,
116,08.11.20 klo 11.38.01 ip.,22.327,41.368,,,,,
117,08.12.20 klo 12.08.01 ap.,22.327,40.977,,,,,
118,08.12.20 klo 12.38.01 ap.,22.284,40.659,,,,,
119,08.12.20 klo 01.08.01 ap.,22.284,40.342,,,,,
120,08.12.20 klo 01.38.01 ap.,22.284,40.171,,,,,
121,08.12.20 klo 02.08.01 ap.,22.284,40.024,,,,,
122,08.12.20 klo 02.38.01 ap.,22.284,39.976,,,,,
123,08.12.20 klo 03.08.01 ap.,22.284,39.829,,,,,
124,08.12.20 klo 03.38.01 ap.,22.284,39.756,,,,,
125,08.12.20 klo 04.08.01 ap.,22.284,39.609,,,,,
126,08.12.20 klo 04.38.01 ap.,22.241,39.560,,,,,
127,08.12.20 klo 05.08.01 ap.,22.241,39.536,,,,,
128,08.12.20 klo 05.38.01 ap.,22.241,39.316,,,,,
129,08.12.20 klo 06.08.01 ap.,22.241,39.267,,,,,
130,08.12.20 klo 06.38.01 ap.,22.241,39.145,,,,,
131,08.12.20 klo 07.08.01 ap.,22.241,39.023,,,,,
132,08.12.20 klo 07.38.01 ap.,22.241,38.950,,,,,
133,08.12.20 klo 08.08.01 ap.,22.413,40.171,,,,,
134,08.12.20 klo 08.38.01 ap.,22.284,40.024,,,,,
135,08.12.20 klo 09.08.01 ap.,22.284,39.780,,,,,
136,08.12.20 klo 09.38.01 ap.,22.327,39.560,,,,,
137,08.12.20 klo 10.08.01 ap.,22.413,39.316,,,,,
138,08.12.20 klo 10.38.01 ap.,22.541,39.121,,,,,
139,08.12.20 klo 11.08.01 ap.,22.627,38.950,,,,,
140,08.12.20 klo 11.38.01 ap.,22.670,38.852,,,,,
141,08.12.20 klo 12.08.01 ip.,22.627,38.877,,,,,
142,08.12.20 klo 12.38.01 ip.,22.584,38.779,,,,,
