"Plot Title:  20854927"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854927, SEN S/N: 20854927, LBL: AT)","RH, % (LGR S/N: 20854927, SEN S/N: 20854927, LBL: RH)","Coupler Detached (LGR S/N: 20854927)","Coupler Attached (LGR S/N: 20854927)","Host Connected (LGR S/N: 20854927)","Stopped (LGR S/N: 20854927)","End Of File (LGR S/N: 20854927)"
89,07.22.20 klo 08.00.00 ap.,21.726,50.159,,,,,
90,07.22.20 klo 08.30.00 ap.,21.726,50.110,,,,,
91,07.22.20 klo 09.00.00 ap.,21.683,50.037,,,,,
92,07.22.20 klo 09.30.00 ap.,21.640,50.061,,,,,
93,07.22.20 klo 10.00.00 ap.,21.640,49.963,,,,,
94,07.22.20 klo 10.30.00 ap.,21.598,49.890,,,,,
95,07.22.20 klo 11.00.00 ap.,21.555,49.866,,,,,
96,07.22.20 klo 11.30.00 ap.,21.426,49.866,,,,,
97,07.22.20 klo 12.00.00 ip.,21.426,49.744,,,,,
98,07.22.20 klo 12.30.00 ip.,21.340,49.670,,,,,
99,07.22.20 klo 01.00.00 ip.,21.340,49.548,,,,,
100,07.22.20 klo 01.30.00 ip.,21.254,49.524,,,,,
101,07.22.20 klo 02.00.00 ip.,21.211,49.426,,,,,
102,07.22.20 klo 02.30.00 ip.,21.211,49.353,,,,,
103,07.22.20 klo 03.00.00 ip.,21.169,49.304,,,,,
104,07.22.20 klo 03.30.00 ip.,21.169,49.206,,,,,
105,07.22.20 klo 04.00.00 ip.,21.169,49.182,,,,,
106,07.22.20 klo 04.30.00 ip.,21.126,49.109,,,,,
107,07.22.20 klo 05.00.00 ip.,21.126,49.060,,,,,
108,07.22.20 klo 05.30.00 ip.,21.126,49.060,,,,,
109,07.22.20 klo 06.00.00 ip.,21.126,49.011,,,,,
110,07.22.20 klo 06.30.00 ip.,21.083,49.011,,,,,
111,07.22.20 klo 07.00.00 ip.,21.040,48.962,,,,,
112,07.22.20 klo 07.30.00 ip.,20.997,48.987,,,,,
113,07.22.20 klo 08.00.00 ip.,20.997,49.011,,,,,
114,07.22.20 klo 08.30.00 ip.,20.997,48.962,,,,,
115,07.22.20 klo 09.00.00 ip.,20.954,48.987,,,,,
116,07.22.20 klo 09.30.00 ip.,20.868,48.962,,,,,
117,07.22.20 klo 10.00.00 ip.,20.868,48.987,,,,,
118,07.22.20 klo 10.30.00 ip.,20.782,48.962,,,,,
119,07.22.20 klo 11.00.00 ip.,20.740,48.962,,,,,
120,07.22.20 klo 11.30.00 ip.,20.697,48.987,,,,,
121,07.23.20 klo 12.00.00 ap.,20.697,48.987,,,,,
122,07.23.20 klo 12.30.00 ap.,20.697,48.987,,,,,
123,07.23.20 klo 01.00.00 ap.,20.654,48.987,,,,,
124,07.23.20 klo 01.30.00 ap.,20.611,48.987,,,,,
125,07.23.20 klo 02.00.00 ap.,20.611,48.987,,,,,
126,07.23.20 klo 02.30.00 ap.,20.611,49.011,,,,,
127,07.23.20 klo 03.00.00 ap.,20.611,49.060,,,,,
128,07.23.20 klo 03.30.00 ap.,20.568,49.060,,,,,
129,07.23.20 klo 04.00.00 ap.,20.611,49.133,,,,,
130,07.23.20 klo 04.30.00 ap.,20.611,49.133,,,,,
131,07.23.20 klo 05.00.00 ap.,20.654,49.206,,,,,
132,07.23.20 klo 05.30.00 ap.,20.611,49.231,,,,,
133,07.23.20 klo 06.00.00 ap.,20.611,49.231,,,,,
134,07.23.20 klo 06.30.00 ap.,20.654,49.206,,,,,
135,07.23.20 klo 07.00.00 ap.,20.654,49.255,,,,,
136,07.23.20 klo 07.30.00 ap.,20.611,49.280,,,,,
137,07.23.20 klo 08.00.00 ap.,20.611,49.255,,,,,
138,07.23.20 klo 08.30.00 ap.,20.611,49.280,,,,,
139,07.23.20 klo 09.00.00 ap.,20.611,49.280,,,,,
140,07.23.20 klo 09.30.00 ap.,20.568,49.255,,,,,
141,07.23.20 klo 10.00.00 ap.,20.568,49.206,,,,,
142,07.23.20 klo 10.30.00 ap.,20.568,49.182,,,,,
143,07.23.20 klo 11.00.00 ap.,20.568,49.206,,,,,
144,07.23.20 klo 11.30.00 ap.,20.568,49.231,,,,,
145,07.23.20 klo 12.00.00 ip.,20.568,49.206,,,,,
146,07.23.20 klo 12.30.00 ip.,20.568,49.206,,,,,
147,07.23.20 klo 01.00.00 ip.,20.611,49.280,,,,,
148,07.23.20 klo 01.30.00 ip.,20.697,49.206,,,,,
149,07.23.20 klo 02.00.00 ip.,20.740,49.158,,,,,
150,07.23.20 klo 02.30.00 ip.,20.697,49.158,,,,,
151,07.23.20 klo 03.00.00 ip.,20.697,49.035,,,,,
152,07.23.20 klo 03.30.00 ip.,20.697,48.913,,,,,
153,07.23.20 klo 04.00.00 ip.,20.611,48.840,,,,,
154,07.23.20 klo 04.30.00 ip.,20.611,48.767,,,,,
155,07.23.20 klo 05.00.00 ip.,20.611,48.742,,,,,
156,07.23.20 klo 05.30.00 ip.,20.611,48.620,,,,,
157,07.23.20 klo 06.00.00 ip.,20.654,48.523,,,,,
158,07.23.20 klo 06.30.00 ip.,20.654,48.474,,,,,
159,07.23.20 klo 07.00.00 ip.,20.654,48.400,,,,,
160,07.23.20 klo 07.30.00 ip.,20.568,48.376,,,,,
161,07.23.20 klo 08.00.00 ip.,20.568,48.303,,,,,
162,07.23.20 klo 08.30.00 ip.,20.568,48.254,,,,,
