"Plot Title:  20849234"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849234, SEN S/N: 20849234)","RH, % (LGR S/N: 20849234, SEN S/N: 20849234)","Coupler Detached (LGR S/N: 20849234)","Coupler Attached (LGR S/N: 20849234)","Host Connected (LGR S/N: 20849234)","Stopped (LGR S/N: 20849234)","End Of File (LGR S/N: 20849234)"
1,08.16.20 klo 03.32.35 ip.,22.627,38.071,,,,,
2,08.16.20 klo 03.32.56 ip.,,,Logged,,,,
3,08.16.20 klo 04.02.35 ip.,22.713,36.068,,,,,
4,08.16.20 klo 04.32.35 ip.,22.584,35.946,,,,,
5,08.16.20 klo 05.02.35 ip.,22.498,35.922,,,,,
6,08.16.20 klo 05.32.35 ip.,22.498,35.458,,,,,
7,08.16.20 klo 06.02.35 ip.,22.413,35.238,,,,,
8,08.16.20 klo 06.32.35 ip.,22.370,34.676,,,,,
9,08.16.20 klo 07.02.35 ip.,22.327,34.212,,,,,
10,08.16.20 klo 07.32.35 ip.,22.198,34.725,,,,,
11,08.16.20 klo 08.02.35 ip.,22.155,34.799,,,,,
12,08.16.20 klo 08.32.35 ip.,22.155,34.799,,,,,
13,08.16.20 klo 09.02.35 ip.,22.198,34.676,,,,,
14,08.16.20 klo 09.32.35 ip.,22.241,34.579,,,,,
15,08.16.20 klo 10.02.35 ip.,22.241,34.530,,,,,
16,08.16.20 klo 10.32.35 ip.,22.155,34.261,,,,,
17,08.16.20 klo 11.02.35 ip.,22.027,33.382,,,,,
18,08.16.20 klo 11.32.35 ip.,21.941,33.040,,,,,
19,08.17.20 klo 12.02.35 ap.,21.855,32.698,,,,,
20,08.17.20 klo 12.32.35 ap.,21.769,32.576,,,,,
21,08.17.20 klo 01.02.35 ap.,21.769,32.552,,,,,
22,08.17.20 klo 01.32.35 ap.,21.726,32.747,,,,,
23,08.17.20 klo 02.02.35 ap.,21.640,32.625,,,,,
24,08.17.20 klo 02.32.35 ap.,21.640,33.382,,,,,
25,08.17.20 klo 03.02.35 ap.,21.598,33.455,,,,,
26,08.17.20 klo 03.32.35 ap.,21.598,34.139,,,,,
27,08.17.20 klo 04.02.35 ap.,21.598,34.212,,,,,
28,08.17.20 klo 04.32.35 ap.,21.555,34.530,,,,,
29,08.17.20 klo 05.02.35 ap.,21.598,35.043,,,,,
30,08.17.20 klo 05.32.35 ap.,21.598,35.287,,,,,
31,08.17.20 klo 06.02.35 ap.,21.598,35.165,,,,,
32,08.17.20 klo 06.32.35 ap.,21.555,35.189,,,,,
33,08.17.20 klo 07.02.35 ap.,21.555,35.092,,,,,
34,08.17.20 klo 07.32.35 ap.,21.598,35.433,,,,,
35,08.17.20 klo 08.02.35 ap.,21.598,35.482,,,,,
36,08.17.20 klo 08.32.35 ap.,21.598,34.652,,,,,
37,08.17.20 klo 09.02.35 ap.,21.555,34.310,,,,,
38,08.17.20 klo 09.32.35 ap.,21.555,34.994,,,,,
39,08.17.20 klo 10.02.35 ap.,21.469,34.945,,,,,
40,08.17.20 klo 10.32.35 ap.,21.555,35.116,,,,,
41,08.17.20 klo 11.02.35 ap.,21.598,34.945,,,,,
42,08.17.20 klo 11.32.35 ap.,21.640,34.725,,,,,
43,08.17.20 klo 12.02.35 ip.,21.769,35.043,,,,,
44,08.17.20 klo 12.32.35 ip.,21.855,35.165,,,,,
45,08.17.20 klo 01.02.35 ip.,21.984,35.043,,,,,
46,08.17.20 klo 01.32.35 ip.,22.112,34.530,,,,,
47,08.17.20 klo 02.02.35 ip.,22.198,34.774,,,,,
48,08.17.20 klo 02.32.35 ip.,22.198,34.457,,,,,
49,08.17.20 klo 03.02.35 ip.,22.112,34.383,,,,,
50,08.17.20 klo 03.32.35 ip.,22.112,33.822,,,,,
51,08.17.20 klo 04.02.35 ip.,22.112,33.651,,,,,
52,08.17.20 klo 04.32.35 ip.,22.155,33.651,,,,,
53,08.17.20 klo 05.02.35 ip.,22.112,33.919,,,,,
54,08.17.20 klo 05.32.35 ip.,22.027,33.773,,,,,
55,08.17.20 klo 06.02.35 ip.,21.555,33.162,,,,,
56,08.17.20 klo 06.32.35 ip.,21.683,33.138,,,,,
57,08.17.20 klo 07.02.35 ip.,21.640,32.650,,,,,
58,08.17.20 klo 07.32.35 ip.,21.640,32.918,,,,,
59,08.17.20 klo 08.02.35 ip.,22.498,35.922,,,,,
60,08.17.20 klo 08.32.35 ip.,22.370,36.288,,,,,
61,08.17.20 klo 09.02.35 ip.,22.241,36.313,,,,,
62,08.17.20 klo 09.32.35 ip.,22.155,36.166,,,,,
63,08.17.20 klo 10.02.35 ip.,22.027,35.995,,,,,
64,08.17.20 klo 10.32.35 ip.,21.898,35.873,,,,,
65,08.17.20 klo 11.02.35 ip.,21.898,35.824,,,,,
66,08.17.20 klo 11.32.35 ip.,21.726,35.849,,,,,
67,08.18.20 klo 12.02.35 ap.,21.683,35.849,,,,,
68,08.18.20 klo 12.32.35 ap.,21.683,35.824,,,,,
69,08.18.20 klo 01.02.35 ap.,21.640,35.849,,,,,
70,08.18.20 klo 01.32.35 ap.,21.640,35.800,,,,,
71,08.18.20 klo 02.02.35 ap.,21.598,35.824,,,,,
72,08.18.20 klo 02.32.35 ap.,21.555,35.849,,,,,
73,08.18.20 klo 03.02.35 ap.,21.555,35.824,,,,,
74,08.18.20 klo 03.32.35 ap.,21.555,35.849,,,,,
75,08.18.20 klo 04.02.35 ap.,21.512,35.849,,,,,
76,08.18.20 klo 04.32.35 ap.,21.469,35.849,,,,,
77,08.18.20 klo 05.02.35 ap.,21.469,35.849,,,,,
78,08.18.20 klo 05.32.35 ap.,21.469,35.824,,,,,
79,08.18.20 klo 06.02.35 ap.,21.469,35.824,,,,,
80,08.18.20 klo 06.32.35 ap.,21.469,35.824,,,,,
81,08.18.20 klo 07.02.35 ap.,21.469,35.775,,,,,
82,08.18.20 klo 07.32.35 ap.,21.426,35.775,,,,,
83,08.18.20 klo 08.02.35 ap.,21.469,35.849,,,,,
84,08.18.20 klo 08.32.35 ap.,21.426,35.702,,,,,
85,08.18.20 klo 09.02.35 ap.,21.340,35.897,,,,,
86,08.18.20 klo 09.32.35 ap.,21.040,34.042,,,,,
87,08.18.20 klo 10.02.35 ap.,18.595,35.067,,,,,
88,08.18.20 klo 10.32.35 ap.,16.964,37.387,,,,,
89,08.18.20 klo 11.02.35 ap.,16.450,37.705,,,,,
90,08.18.20 klo 11.32.35 ap.,16.192,40.464,,,,,
91,08.18.20 klo 12.02.35 ip.,15.634,53.675,,,,,
92,08.18.20 klo 12.32.35 ip.,16.450,59.512,,,,,
93,08.18.20 klo 01.02.35 ip.,15.077,65.153,,,,,
94,08.18.20 klo 01.32.35 ip.,14.090,61.954,,,,,
95,08.18.20 klo 02.02.35 ip.,13.833,65.324,,,,,
96,08.18.20 klo 02.32.35 ip.,13.704,72.186,,,,,
97,08.18.20 klo 03.02.35 ip.,14.305,67.350,,,,,
98,08.18.20 klo 03.32.35 ip.,14.734,72.381,,,,,
99,08.18.20 klo 04.02.35 ip.,14.004,78.999,,,,,
100,08.18.20 klo 04.32.35 ip.,12.288,90.745,,,,,
101,08.18.20 klo 05.02.35 ip.,12.117,78.901,,,,,
102,08.18.20 klo 05.32.35 ip.,9.543,85.153,,,,,
103,08.18.20 klo 06.02.35 ip.,9.199,87.937,,,,,
