"Plot Title:  20854970"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854970, SEN S/N: 20854970)","RH, % (LGR S/N: 20854970, SEN S/N: 20854970)","Coupler Detached (LGR S/N: 20854970)","Coupler Attached (LGR S/N: 20854970)","Host Connected (LGR S/N: 20854970)","Stopped (LGR S/N: 20854970)","End Of File (LGR S/N: 20854970)"
1,08.09.20 klo 02.20.57 ip.,22.885,41.343,,,,,
2,08.09.20 klo 02.21.08 ip.,,,Logged,,,,
3,08.09.20 klo 02.50.57 ip.,22.970,42.735,,,,,
4,08.09.20 klo 03.20.57 ip.,23.142,42.442,,,,,
5,08.09.20 klo 03.50.57 ip.,23.314,41.783,,,,,
6,08.09.20 klo 04.20.57 ip.,23.442,41.490,,,,,
7,08.09.20 klo 04.50.57 ip.,23.828,40.415,,,,,
8,08.09.20 klo 05.20.57 ip.,23.828,40.464,,,,,
9,08.09.20 klo 05.50.57 ip.,23.785,40.293,,,,,
10,08.09.20 klo 06.20.57 ip.,23.614,40.415,,,,,
11,08.09.20 klo 06.50.57 ip.,23.528,40.000,,,,,
12,08.09.20 klo 07.20.57 ip.,23.399,39.976,,,,,
13,08.09.20 klo 07.50.57 ip.,23.442,40.244,,,,,
14,08.09.20 klo 08.20.57 ip.,23.528,40.733,,,,,
15,08.09.20 klo 08.50.57 ip.,23.485,40.342,,,,,
16,08.09.20 klo 09.20.57 ip.,23.528,39.927,,,,,
17,08.09.20 klo 09.50.57 ip.,23.528,39.731,,,,,
18,08.09.20 klo 10.20.57 ip.,23.485,39.316,,,,,
19,08.09.20 klo 10.50.57 ip.,23.442,39.219,,,,,
20,08.09.20 klo 11.20.57 ip.,23.271,38.926,,,,,
21,08.09.20 klo 11.50.57 ip.,23.185,39.072,,,,,
22,08.10.20 klo 12.20.57 ap.,23.099,38.999,,,,,
23,08.10.20 klo 12.50.57 ap.,23.099,39.170,,,,,
24,08.10.20 klo 01.20.57 ap.,23.056,39.292,,,,,
25,08.10.20 klo 01.50.57 ap.,22.970,39.341,,,,,
26,08.10.20 klo 02.20.57 ap.,22.927,39.438,,,,,
27,08.10.20 klo 02.50.57 ap.,22.842,38.803,,,,,
28,08.10.20 klo 03.20.57 ap.,22.756,38.242,,,,,
29,08.10.20 klo 03.50.57 ap.,22.713,38.144,,,,,
30,08.10.20 klo 04.20.57 ap.,22.713,38.510,,,,,
