"Plot Title: 20858603"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20858603, SEN S/N: 20858603)","RH, % (LGR S/N: 20858603, SEN S/N: 20858603)","Coupler Detached (LGR S/N: 20858603)","Coupler Attached (LGR S/N: 20858603)","Host Connected (LGR S/N: 20858603)","Stopped (LGR S/N: 20858603)","End Of File (LGR S/N: 20858603)"
1,08.04.20 klo 08.20.19 ip.,22.713,46.349,,,,,
2,08.04.20 klo 08.20.30 ip.,,,Logged,,,,
3,08.04.20 klo 08.50.19 ip.,22.970,45.641,,,,,
4,08.04.20 klo 09.20.19 ip.,22.927,45.665,,,,,
5,08.04.20 klo 09.50.19 ip.,22.799,45.372,,,,,
6,08.04.20 klo 10.20.19 ip.,22.627,45.226,,,,,
7,08.04.20 klo 10.50.19 ip.,22.370,45.177,,,,,
8,08.04.20 klo 11.20.19 ip.,22.327,44.908,,,,,
9,08.04.20 klo 11.50.19 ip.,22.284,44.591,,,,,
10,08.05.20 klo 12.20.19 ap.,22.370,44.078,,,,,
11,08.05.20 klo 12.50.19 ap.,22.370,43.810,,,,,
12,08.05.20 klo 01.20.19 ap.,22.456,43.541,,,,,
13,08.05.20 klo 01.50.19 ap.,22.456,43.297,,,,,
14,08.05.20 klo 02.20.19 ap.,22.456,43.126,,,,,
15,08.05.20 klo 02.50.19 ap.,22.498,42.955,,,,,
16,08.05.20 klo 03.20.19 ap.,22.498,42.882,,,,,
17,08.05.20 klo 03.50.19 ap.,22.498,42.808,,,,,
18,08.05.20 klo 04.20.19 ap.,22.498,42.637,,,,,
19,08.05.20 klo 04.50.19 ap.,22.498,42.540,,,,,
20,08.05.20 klo 05.20.19 ap.,22.498,42.393,,,,,
21,08.05.20 klo 05.50.19 ap.,22.498,42.198,,,,,
22,08.05.20 klo 06.20.19 ap.,22.541,42.051,,,,,
23,08.05.20 klo 06.50.19 ap.,22.584,41.880,,,,,
24,08.05.20 klo 07.20.19 ap.,22.584,41.709,,,,,
25,08.05.20 klo 07.50.19 ap.,22.627,41.612,,,,,
26,08.05.20 klo 08.20.19 ap.,22.627,41.538,,,,,
27,08.05.20 klo 08.50.19 ap.,22.713,41.270,,,,,
28,08.05.20 klo 09.20.19 ap.,23.614,41.880,,,,,
29,08.05.20 klo 09.50.19 ap.,22.413,39.658,,,,,
30,08.05.20 klo 10.20.19 ap.,19.667,47.717,,,,,
31,08.05.20 klo 10.50.19 ap.,18.466,54.139,,,,,
32,08.05.20 klo 11.20.19 ap.,17.179,58.339,,,,,
33,08.05.20 klo 11.50.19 ap.,18.423,59.829,,,,,
34,08.05.20 klo 12.20.19 ip.,19.367,59.878,,,,,
35,08.05.20 klo 12.50.19 ip.,19.066,56.166,,,,,
36,08.05.20 klo 01.20.19 ip.,18.208,54.945,,,,,
37,08.05.20 klo 01.50.19 ip.,18.337,55.092,,,,,
38,08.05.20 klo 02.20.19 ip.,17.822,47.692,,,,,
39,08.05.20 klo 02.50.19 ip.,17.608,51.087,,,,,
40,08.05.20 klo 03.20.19 ip.,17.951,54.628,,,,,
41,08.05.20 klo 03.50.19 ip.,17.908,54.481,,,,,
42,08.05.20 klo 04.20.19 ip.,16.450,63.834,,,,,
43,08.05.20 klo 04.50.19 ip.,17.908,57.680,,,,,
44,08.05.20 klo 05.20.19 ip.,19.152,62.564,,,,,
45,08.05.20 klo 05.50.19 ip.,20.010,61.319,,,,,
46,08.05.20 klo 06.20.19 ip.,20.525,58.755,,,,,
47,08.05.20 klo 06.50.19 ip.,20.868,57.021,,,,,
48,08.05.20 klo 07.20.19 ip.,21.083,55.775,,,,,
49,08.05.20 klo 07.50.19 ip.,21.254,54.799,,,,,
50,08.05.20 klo 08.20.19 ip.,21.426,54.164,,,,,
51,08.05.20 klo 08.50.19 ip.,21.512,53.651,,,,,
52,08.05.20 klo 09.20.19 ip.,21.555,53.187,,,,,
53,08.05.20 klo 09.50.19 ip.,21.640,52.772,,,,,
54,08.05.20 klo 10.20.19 ip.,21.683,52.308,,,,,
55,08.05.20 klo 10.50.19 ip.,21.726,51.893,,,,,
56,08.05.20 klo 11.20.19 ip.,21.726,51.453,,,,,
57,08.05.20 klo 11.50.19 ip.,21.683,51.062,,,,,
