"Plot Title:  20854937"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854937, SEN S/N: 20854937, LBL: AT)","RH, % (LGR S/N: 20854937, SEN S/N: 20854937, LBL: RH)","Coupler Detached (LGR S/N: 20854937)","Coupler Attached (LGR S/N: 20854937)","Host Connected (LGR S/N: 20854937)","Stopped (LGR S/N: 20854937)","End Of File (LGR S/N: 20854937)"
1,07.20.20 klo 12.00.00 ip.,21.855,49.231,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.898,49.328,,,,,
3,07.20.20 klo 01.00.00 ip.,21.855,49.328,,,,,
4,07.20.20 klo 01.30.00 ip.,21.812,49.353,,,,,
5,07.20.20 klo 02.00.00 ip.,21.812,49.328,,,,,
6,07.20.20 klo 02.30.00 ip.,21.855,49.328,,,,,
7,07.20.20 klo 03.00.00 ip.,21.812,49.377,,,,,
8,07.20.20 klo 03.30.00 ip.,21.855,49.328,,,,,
9,07.20.20 klo 04.00.00 ip.,21.855,49.328,,,,,
10,07.20.20 klo 04.30.00 ip.,21.855,49.353,,,,,
11,07.20.20 klo 05.00.00 ip.,21.898,49.402,,,,,
12,07.20.20 klo 05.30.00 ip.,21.984,49.548,,,,,
13,07.20.20 klo 06.00.00 ip.,22.027,49.841,,,,,
14,07.20.20 klo 06.30.00 ip.,21.941,50.208,,,,,
15,07.20.20 klo 07.00.00 ip.,21.855,50.452,,,,,
16,07.20.20 klo 07.30.00 ip.,21.898,50.769,,,,,
17,07.20.20 klo 08.00.00 ip.,21.941,50.965,,,,,
18,07.20.20 klo 08.30.00 ip.,21.984,51.136,,,,,
19,07.20.20 klo 09.00.00 ip.,22.112,51.404,,,,,
20,07.20.20 klo 09.30.00 ip.,22.155,51.624,,,,,
21,07.20.20 klo 10.00.00 ip.,22.241,51.795,,,,,
22,07.20.20 klo 10.30.00 ip.,22.284,51.966,,,,,
23,07.20.20 klo 11.00.00 ip.,22.284,52.088,,,,,
24,07.20.20 klo 11.30.00 ip.,22.370,52.186,,,,,
25,07.21.20 klo 12.00.00 ap.,22.284,52.186,,,,,
26,07.21.20 klo 12.30.00 ap.,22.327,52.112,,,,,
27,07.21.20 klo 01.00.00 ap.,22.284,52.112,,,,,
28,07.21.20 klo 01.30.00 ap.,22.284,52.063,,,,,
29,07.21.20 klo 02.00.00 ap.,22.241,52.015,,,,,
30,07.21.20 klo 02.30.00 ap.,22.284,51.917,,,,,
31,07.21.20 klo 03.00.00 ap.,22.284,51.844,,,,,
32,07.21.20 klo 03.30.00 ap.,22.241,51.770,,,,,
33,07.21.20 klo 04.00.00 ap.,22.241,51.770,,,,,
34,07.21.20 klo 04.30.00 ap.,22.327,51.697,,,,,
35,07.21.20 klo 05.00.00 ap.,22.327,51.575,,,,,
36,07.21.20 klo 05.30.00 ap.,22.284,51.600,,,,,
37,07.21.20 klo 06.00.00 ap.,22.241,51.551,,,,,
38,07.21.20 klo 06.30.00 ap.,22.241,51.477,,,,,
39,07.21.20 klo 07.00.00 ap.,22.241,51.404,,,,,
40,07.21.20 klo 07.30.00 ap.,22.241,51.380,,,,,
41,07.21.20 klo 08.00.00 ap.,22.198,51.282,,,,,
42,07.21.20 klo 08.30.00 ap.,22.198,51.209,,,,,
43,07.21.20 klo 09.00.00 ap.,22.198,51.111,,,,,
44,07.21.20 klo 09.30.00 ap.,22.027,50.794,,,,,
45,07.21.20 klo 10.00.00 ap.,21.855,50.476,,,,,
46,07.21.20 klo 10.30.00 ap.,21.683,50.208,,,,,
47,07.21.20 klo 11.00.00 ap.,21.726,50.085,,,,,
48,07.21.20 klo 11.30.00 ap.,21.855,50.037,,,,,
49,07.21.20 klo 12.00.00 ip.,21.898,50.061,,,,,
50,07.21.20 klo 12.30.00 ip.,21.984,50.012,,,,,
51,07.21.20 klo 01.00.00 ip.,21.984,50.085,,,,,
52,07.21.20 klo 01.30.00 ip.,22.069,50.159,,,,,
53,07.21.20 klo 02.00.00 ip.,22.027,50.256,,,,,
54,07.21.20 klo 02.30.00 ip.,22.112,50.305,,,,,
55,07.21.20 klo 03.00.00 ip.,22.198,50.330,,,,,
56,07.21.20 klo 03.30.00 ip.,22.112,50.232,,,,,
57,07.21.20 klo 04.00.00 ip.,22.069,50.281,,,,,
58,07.21.20 klo 04.30.00 ip.,22.112,50.208,,,,,
59,07.21.20 klo 05.00.00 ip.,22.155,50.305,,,,,
60,07.21.20 klo 05.30.00 ip.,22.069,50.501,,,,,
61,07.21.20 klo 06.00.00 ip.,21.984,50.574,,,,,
62,07.21.20 klo 06.30.00 ip.,21.984,50.672,,,,,
63,07.21.20 klo 07.00.00 ip.,22.027,50.672,,,,,
64,07.21.20 klo 07.30.00 ip.,22.027,50.696,,,,,
65,07.21.20 klo 08.00.00 ip.,21.984,50.647,,,,,
66,07.21.20 klo 08.30.00 ip.,21.984,50.574,,,,,
67,07.21.20 klo 09.00.00 ip.,21.984,50.452,,,,,
68,07.21.20 klo 09.30.00 ip.,21.984,50.379,,,,,
69,07.21.20 klo 10.00.00 ip.,21.984,50.354,,,,,
70,07.21.20 klo 10.30.00 ip.,21.984,50.232,,,,,
71,07.21.20 klo 11.00.00 ip.,22.027,50.208,,,,,
72,07.21.20 klo 11.30.00 ip.,21.984,50.134,,,,,
73,07.22.20 klo 12.00.00 ap.,21.984,50.159,,,,,
74,07.22.20 klo 12.30.00 ap.,21.941,50.134,,,,,
75,07.22.20 klo 01.00.00 ap.,21.984,50.159,,,,,
76,07.22.20 klo 01.30.00 ap.,21.984,50.110,,,,,
77,07.22.20 klo 02.00.00 ap.,21.941,50.134,,,,,
78,07.22.20 klo 02.30.00 ap.,21.941,50.012,,,,,
79,07.22.20 klo 03.00.00 ap.,21.941,50.012,,,,,
80,07.22.20 klo 03.30.00 ap.,21.898,49.963,,,,,
81,07.22.20 klo 04.00.00 ap.,21.855,49.915,,,,,
82,07.22.20 klo 04.30.00 ap.,21.898,49.817,,,,,
83,07.22.20 klo 05.00.00 ap.,21.855,49.841,,,,,
84,07.22.20 klo 05.30.00 ap.,21.855,49.841,,,,,
85,07.22.20 klo 06.00.00 ap.,21.812,49.792,,,,,
86,07.22.20 klo 06.30.00 ap.,21.855,49.695,,,,,
87,07.22.20 klo 07.00.00 ap.,21.769,49.597,,,,,
88,07.22.20 klo 07.30.00 ap.,21.769,49.573,,,,,
89,07.22.20 klo 08.00.00 ap.,21.683,49.377,,,,,
90,07.22.20 klo 08.30.00 ap.,21.726,49.328,,,,,
91,07.22.20 klo 09.00.00 ap.,21.640,49.133,,,,,
92,07.22.20 klo 09.30.00 ap.,21.640,49.035,,,,,
93,07.22.20 klo 10.00.00 ap.,21.683,48.913,,,,,
94,07.22.20 klo 10.30.00 ap.,21.512,48.474,,,,,
95,07.22.20 klo 11.00.00 ap.,21.254,48.205,,,,,
96,07.22.20 klo 11.30.00 ap.,21.126,47.839,,,,,
97,07.22.20 klo 12.00.00 ip.,21.211,47.619,,,,,
98,07.22.20 klo 12.30.00 ip.,21.169,47.448,,,,,
99,07.22.20 klo 01.00.00 ip.,21.211,47.326,,,,,
