"Plot Title:  20849253"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849253, SEN S/N: 20849253)","RH, % (LGR S/N: 20849253, SEN S/N: 20849253)","Coupler Detached (LGR S/N: 20849253)","Bad Battery (LGR S/N: 20849253)","Good Battery (LGR S/N: 20849253)","Coupler Attached (LGR S/N: 20849253)","Host Connected (LGR S/N: 20849253)","Stopped (LGR S/N: 20849253)","End Of File (LGR S/N: 20849253)"
1,08.16.20 klo 02.51.35 ip.,21.812,38.144,,,,,,,
2,08.16.20 klo 02.51.46 ip.,,,Logged,,,,,,
3,08.16.20 klo 03.21.35 ip.,22.456,36.239,,,,,,,
4,08.16.20 klo 03.51.35 ip.,22.456,36.361,,,,,,,
5,08.16.20 klo 04.21.35 ip.,22.370,36.093,,,,,,,
6,08.16.20 klo 04.51.35 ip.,22.327,36.142,,,,,,,
7,08.16.20 klo 05.21.35 ip.,22.327,36.044,,,,,,,
8,08.16.20 klo 05.51.35 ip.,22.284,35.751,,,,,,,
9,08.16.20 klo 06.21.35 ip.,22.241,35.238,,,,,,,
10,08.16.20 klo 06.51.35 ip.,22.198,34.921,,,,,,,
11,08.16.20 klo 07.21.35 ip.,22.069,34.676,,,,,,,
12,08.16.20 klo 07.51.35 ip.,22.027,35.165,,,,,,,
13,08.16.20 klo 08.21.35 ip.,21.984,35.165,,,,,,,
14,08.16.20 klo 08.51.35 ip.,21.984,35.067,,,,,,,
15,08.16.20 klo 09.21.35 ip.,22.027,35.092,,,,,,,
16,08.16.20 klo 09.51.35 ip.,22.027,35.018,,,,,,,
17,08.16.20 klo 10.21.35 ip.,22.027,34.799,,,,,,,
18,08.16.20 klo 10.51.35 ip.,21.941,34.383,,,,,,,
19,08.16.20 klo 11.21.35 ip.,21.855,33.919,,,,,,,
20,08.16.20 klo 11.51.35 ip.,21.769,33.578,,,,,,,
21,08.17.20 klo 12.21.35 ap.,21.683,33.260,,,,,,,
22,08.17.20 klo 12.51.35 ap.,21.683,33.187,,,,,,,
23,08.17.20 klo 01.21.35 ap.,21.640,33.138,,,,,,,
24,08.17.20 klo 01.51.35 ap.,21.555,33.260,,,,,,,
25,08.17.20 klo 02.21.35 ap.,21.512,33.284,,,,,,,
26,08.17.20 klo 02.51.35 ap.,21.512,33.773,,,,,,,
27,08.17.20 klo 03.21.35 ap.,21.469,34.017,,,,,,,
28,08.17.20 klo 03.51.35 ap.,21.469,34.359,,,,,,,
29,08.17.20 klo 04.21.35 ap.,21.469,34.603,,,,,,,
30,08.17.20 klo 04.51.35 ap.,21.469,34.921,,,,,,,
