"Plot Title:  20849251"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849251, SEN S/N: 20849251)","RH, % (LGR S/N: 20849251, SEN S/N: 20849251)","Coupler Detached (LGR S/N: 20849251)","Coupler Attached (LGR S/N: 20849251)","Host Connected (LGR S/N: 20849251)","Stopped (LGR S/N: 20849251)","End Of File (LGR S/N: 20849251)"
1,08.16.20 klo 02.53.49 ip.,22.627,36.801,,,,,
2,08.16.20 klo 02.53.59 ip.,,,Logged,,,,
3,08.16.20 klo 03.23.49 ip.,22.541,35.800,,,,,
4,08.16.20 klo 03.53.49 ip.,22.498,35.922,,,,,
5,08.16.20 klo 04.23.49 ip.,22.370,35.971,,,,,
6,08.16.20 klo 04.53.49 ip.,22.327,36.044,,,,,
7,08.16.20 klo 05.23.49 ip.,22.284,36.166,,,,,
8,08.16.20 klo 05.53.49 ip.,22.241,36.117,,,,,
9,08.16.20 klo 06.23.49 ip.,22.155,35.946,,,,,
10,08.16.20 klo 06.53.49 ip.,22.112,35.800,,,,,
11,08.16.20 klo 07.23.49 ip.,22.069,35.629,,,,,
12,08.16.20 klo 07.53.49 ip.,22.027,35.604,,,,,
13,08.16.20 klo 08.23.49 ip.,21.984,35.580,,,,,
14,08.16.20 klo 08.53.49 ip.,21.898,35.580,,,,,
15,08.16.20 klo 09.23.49 ip.,21.984,35.556,,,,,
16,08.16.20 klo 09.53.49 ip.,21.984,35.482,,,,,
17,08.16.20 klo 10.23.49 ip.,21.984,35.409,,,,,
18,08.16.20 klo 10.53.49 ip.,21.898,35.165,,,,,
19,08.16.20 klo 11.23.49 ip.,21.812,34.847,,,,,
20,08.16.20 klo 11.53.49 ip.,21.726,34.579,,,,,
21,08.17.20 klo 12.23.49 ap.,21.640,34.359,,,,,
22,08.17.20 klo 12.53.49 ap.,21.640,34.237,,,,,
23,08.17.20 klo 01.23.49 ap.,21.555,34.115,,,,,
24,08.17.20 klo 01.53.49 ap.,21.512,34.066,,,,,
25,08.17.20 klo 02.23.49 ap.,21.469,34.090,,,,,
26,08.17.20 klo 02.53.49 ap.,21.426,34.188,,,,,
27,08.17.20 klo 03.23.49 ap.,21.512,34.310,,,,,
28,08.17.20 klo 03.53.49 ap.,21.426,34.457,,,,,
29,08.17.20 klo 04.23.49 ap.,21.426,34.579,,,,,
30,08.17.20 klo 04.53.49 ap.,21.469,34.725,,,,,
31,08.17.20 klo 05.23.49 ap.,21.383,34.872,,,,,
32,08.17.20 klo 05.53.49 ap.,21.469,34.969,,,,,
33,08.17.20 klo 06.23.49 ap.,21.383,35.043,,,,,
34,08.17.20 klo 06.53.49 ap.,21.426,35.067,,,,,
35,08.17.20 klo 07.23.49 ap.,21.383,35.263,,,,,
36,08.17.20 klo 07.53.49 ap.,21.383,35.409,,,,,
37,08.17.20 klo 08.23.49 ap.,21.383,35.311,,,,,
38,08.17.20 klo 08.53.49 ap.,21.340,35.263,,,,,
