"Plot Title:  20849263"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849263, SEN S/N: 20849263, LBL: AT)","RH, % (LGR S/N: 20849263, SEN S/N: 20849263, LBL: RH)","Coupler Detached (LGR S/N: 20849263)","Bad Battery (LGR S/N: 20849263)","Good Battery (LGR S/N: 20849263)","Coupler Attached (LGR S/N: 20849263)","Host Connected (LGR S/N: 20849263)","Stopped (LGR S/N: 20849263)","End Of File (LGR S/N: 20849263)"
83,07.14.20 klo 05.00.00 ap.,16.879,43.834,,,,,,,
84,07.14.20 klo 05.30.00 ap.,16.621,43.712,,,,,,,
85,07.14.20 klo 06.00.00 ap.,16.364,43.565,,,,,,,
86,07.14.20 klo 06.30.00 ap.,16.106,43.443,,,,,,,
87,07.14.20 klo 07.00.00 ap.,15.892,43.346,,,,,,,
88,07.14.20 klo 07.30.00 ap.,15.720,43.297,,,,,,,
89,07.14.20 klo 08.00.00 ap.,15.506,43.272,,,,,,,
90,07.14.20 klo 08.30.00 ap.,15.377,43.199,,,,,,,
91,07.14.20 klo 09.00.00 ap.,15.205,43.199,,,,,,,
92,07.14.20 klo 09.30.00 ap.,15.120,43.223,,,,,,,
93,07.14.20 klo 10.00.00 ap.,15.291,43.639,,,,,,,
94,07.14.20 klo 10.30.00 ap.,15.677,44.615,,,,,,,
95,07.14.20 klo 11.00.00 ap.,16.235,45.543,,,,,,,
96,07.14.20 klo 11.30.00 ap.,16.750,46.325,,,,,,,
97,07.14.20 klo 12.00.00 ip.,17.265,47.082,,,,,,,
98,07.14.20 klo 12.30.00 ip.,17.651,47.473,,,,,,,
99,07.14.20 klo 01.00.00 ip.,17.865,47.790,,,,,,,
100,07.14.20 klo 01.30.00 ip.,18.208,48.376,,,,,,,
101,07.14.20 klo 02.00.00 ip.,18.423,48.840,,,,,,,
102,07.14.20 klo 02.30.00 ip.,18.723,49.377,,,,,,,
103,07.14.20 klo 03.00.00 ip.,19.109,50.110,,,,,,,
104,07.14.20 klo 03.30.00 ip.,19.367,50.183,,,,,,,
105,07.14.20 klo 04.00.00 ip.,19.624,50.452,,,,,,,
106,07.14.20 klo 04.30.00 ip.,19.839,50.916,,,,,,,
107,07.14.20 klo 05.00.00 ip.,20.096,51.306,,,,,,,
108,07.14.20 klo 05.30.00 ip.,20.353,51.673,,,,,,,
109,07.14.20 klo 06.00.00 ip.,20.568,51.917,,,,,,,
110,07.14.20 klo 06.30.00 ip.,20.740,52.063,,,,,,,
111,07.14.20 klo 07.00.00 ip.,20.954,52.234,,,,,,,
112,07.14.20 klo 07.30.00 ip.,21.126,52.283,,,,,,,
113,07.14.20 klo 08.00.00 ip.,21.254,52.308,,,,,,,
114,07.14.20 klo 08.30.00 ip.,21.340,52.161,,,,,,,
115,07.14.20 klo 09.00.00 ip.,21.383,51.941,,,,,,,
116,07.14.20 klo 09.30.00 ip.,21.297,51.673,,,,,,,
117,07.14.20 klo 10.00.00 ip.,21.169,51.282,,,,,,,
118,07.14.20 klo 10.30.00 ip.,20.997,50.867,,,,,,,
119,07.14.20 klo 11.00.00 ip.,20.740,50.476,,,,,,,
120,07.14.20 klo 11.30.00 ip.,20.525,50.037,,,,,,,
121,07.15.20 klo 12.00.00 ap.,20.096,49.548,,,,,,,
122,07.15.20 klo 12.30.00 ap.,19.710,49.084,,,,,,,
123,07.15.20 klo 01.00.00 ap.,19.281,48.596,,,,,,,
124,07.15.20 klo 01.30.00 ap.,18.809,48.059,,,,,,,
125,07.15.20 klo 02.00.00 ap.,18.251,47.448,,,,,,,
126,07.15.20 klo 02.30.00 ap.,17.694,46.911,,,,,,,
127,07.15.20 klo 03.00.00 ap.,17.093,46.325,,,,,,,
128,07.15.20 klo 03.30.00 ap.,16.407,45.665,,,,,,,
129,07.15.20 klo 04.00.00 ap.,15.720,45.128,,,,,,,
130,07.15.20 klo 04.30.00 ap.,15.077,44.542,,,,,,,
131,07.15.20 klo 05.00.00 ap.,14.433,43.980,,,,,,,
132,07.15.20 klo 05.30.00 ap.,13.790,43.565,,,,,,,
133,07.15.20 klo 06.00.00 ap.,13.232,43.175,,,,,,,
134,07.15.20 klo 06.30.00 ap.,12.760,42.955,,,,,,,
135,07.15.20 klo 07.00.00 ap.,12.374,42.735,,,,,,,
136,07.15.20 klo 07.30.00 ap.,12.159,42.686,,,,,,,
137,07.15.20 klo 08.00.00 ap.,11.988,42.662,,,,,,,
138,07.15.20 klo 08.30.00 ap.,11.902,42.833,,,,,,,
139,07.15.20 klo 09.00.00 ap.,12.031,43.175,,,,,,,
140,07.15.20 klo 09.30.00 ap.,12.245,43.761,,,,,,,
141,07.15.20 klo 10.00.00 ap.,12.674,44.664,,,,,,,
142,07.15.20 klo 10.30.00 ap.,13.275,45.885,,,,,,,
143,07.15.20 klo 11.00.00 ap.,13.918,47.424,,,,,,,
144,07.15.20 klo 11.30.00 ap.,14.648,48.889,,,,,,,
145,07.15.20 klo 12.00.00 ip.,15.420,50.745,,,,,,,
146,07.15.20 klo 12.30.00 ip.,16.321,52.332,,,,,,,
147,07.15.20 klo 01.00.00 ip.,17.093,53.504,,,,,,,
148,07.15.20 klo 01.30.00 ip.,17.822,54.750,,,,,,,
149,07.15.20 klo 02.00.00 ip.,18.552,55.897,,,,,,,
150,07.15.20 klo 02.30.00 ip.,19.238,56.606,,,,,,,
151,07.15.20 klo 03.00.00 ip.,19.753,56.996,,,,,,,
152,07.15.20 klo 03.30.00 ip.,20.139,57.118,,,,,,,
153,07.15.20 klo 04.00.00 ip.,20.482,57.045,,,,,,,
154,07.15.20 klo 04.30.00 ip.,20.654,57.070,,,,,,,
155,07.15.20 klo 05.00.00 ip.,21.040,57.460,,,,,,,
156,07.15.20 klo 05.30.00 ip.,21.340,57.753,,,,,,,
157,07.15.20 klo 06.00.00 ip.,21.683,57.656,,,,,,,
158,07.15.20 klo 06.30.00 ip.,21.898,57.582,,,,,,,
159,07.15.20 klo 07.00.00 ip.,22.112,57.314,,,,,,,
160,07.15.20 klo 07.30.00 ip.,22.155,56.923,,,,,,,
161,07.15.20 klo 08.00.00 ip.,22.198,56.557,,,,,,,
162,07.15.20 klo 08.30.00 ip.,22.112,56.142,,,,,,,
163,07.15.20 klo 09.00.00 ip.,22.027,55.653,,,,,,,
164,07.15.20 klo 09.30.00 ip.,21.941,55.189,,,,,,,
165,07.15.20 klo 10.00.00 ip.,21.769,54.750,,,,,,,
166,07.15.20 klo 10.30.00 ip.,21.598,54.237,,,,,,,
167,07.15.20 klo 11.00.00 ip.,21.340,53.773,,,,,,,
168,07.15.20 klo 11.30.00 ip.,21.040,53.284,,,,,,,
169,07.16.20 klo 12.00.00 ap.,20.697,52.772,,,,,,,
170,07.16.20 klo 12.30.00 ap.,20.353,52.283,,,,,,,
171,07.16.20 klo 01.00.00 ap.,19.967,51.868,,,,,,,
172,07.16.20 klo 01.30.00 ap.,19.581,51.404,,,,,,,
173,07.16.20 klo 02.00.00 ap.,19.238,50.940,,,,,,,
174,07.16.20 klo 02.30.00 ap.,18.852,50.476,,,,,,,
175,07.16.20 klo 03.00.00 ap.,18.466,50.012,,,,,,,
176,07.16.20 klo 03.30.00 ap.,18.080,49.573,,,,,,,
177,07.16.20 klo 04.00.00 ap.,17.651,49.255,,,,,,,
178,07.16.20 klo 04.30.00 ap.,17.308,48.889,,,,,,,
179,07.16.20 klo 05.00.00 ap.,16.964,48.571,,,,,,,
180,07.16.20 klo 05.30.00 ap.,16.664,48.352,,,,,,,
181,07.16.20 klo 06.00.00 ap.,16.492,48.205,,,,,,,
182,07.16.20 klo 06.30.00 ap.,16.321,48.010,,,,,,,
183,07.16.20 klo 07.00.00 ap.,16.106,48.010,,,,,,,
184,07.16.20 klo 07.30.00 ap.,16.063,47.937,,,,,,,
185,07.16.20 klo 08.00.00 ap.,15.935,47.912,,,,,,,
186,07.16.20 klo 08.30.00 ap.,15.849,47.937,,,,,,,
187,07.16.20 klo 09.00.00 ap.,15.849,47.937,,,,,,,
188,07.16.20 klo 09.30.00 ap.,15.935,48.107,,,,,,,
189,07.16.20 klo 10.00.00 ap.,16.063,48.327,,,,,,,
190,07.16.20 klo 10.30.00 ap.,16.235,48.620,,,,,,,
191,07.16.20 klo 11.00.00 ap.,16.535,49.060,,,,,,,
192,07.16.20 klo 11.30.00 ap.,16.750,49.499,,,,,,,
193,07.16.20 klo 12.00.00 ip.,17.136,50.085,,,,,,,
194,07.16.20 klo 12.30.00 ip.,17.436,50.672,,,,,,,
195,07.16.20 klo 01.00.00 ip.,17.865,51.282,,,,,,,
196,07.16.20 klo 01.30.00 ip.,18.166,51.697,,,,,,,
197,07.16.20 klo 02.00.00 ip.,18.509,52.039,,,,,,,
198,07.16.20 klo 02.30.00 ip.,18.766,52.234,,,,,,,
