"Plot Title:  20849262"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849262, SEN S/N: 20849262, LBL: AT)","RH, % (LGR S/N: 20849262, SEN S/N: 20849262, LBL: RH)","Coupler Detached (LGR S/N: 20849262)","Coupler Attached (LGR S/N: 20849262)","Host Connected (LGR S/N: 20849262)","Stopped (LGR S/N: 20849262)","End Of File (LGR S/N: 20849262)"
1,07.12.20 klo 12.00.00 ip.,22.627,47.253,Logged,,,,
2,07.12.20 klo 12.30.00 ip.,22.670,47.253,,,,,
3,07.12.20 klo 01.00.00 ip.,22.713,47.302,,,,,
4,07.12.20 klo 01.30.00 ip.,22.713,47.302,,,,,
5,07.12.20 klo 02.00.00 ip.,22.756,47.302,,,,,
6,07.12.20 klo 02.30.00 ip.,22.756,47.253,,,,,
7,07.12.20 klo 03.00.00 ip.,22.756,47.302,,,,,
8,07.12.20 klo 03.30.00 ip.,22.756,47.253,,,,,
9,07.12.20 klo 04.00.00 ip.,22.842,47.350,,,,,
10,07.12.20 klo 04.30.00 ip.,23.099,47.668,,,,,
11,07.12.20 klo 05.00.00 ip.,23.399,47.937,,,,,
12,07.12.20 klo 05.30.00 ip.,23.657,48.034,,,,,
13,07.12.20 klo 06.00.00 ip.,23.828,48.059,,,,,
14,07.12.20 klo 06.30.00 ip.,23.828,47.985,,,,,
15,07.12.20 klo 07.00.00 ip.,23.743,47.839,,,,,
16,07.12.20 klo 07.30.00 ip.,23.785,47.839,,,,,
17,07.12.20 klo 08.00.00 ip.,23.828,47.985,,,,,
18,07.12.20 klo 08.30.00 ip.,23.957,48.156,,,,,
19,07.12.20 klo 09.00.00 ip.,24.172,48.278,,,,,
20,07.12.20 klo 09.30.00 ip.,24.129,48.156,,,,,
21,07.12.20 klo 10.00.00 ip.,24.000,47.888,,,,,
22,07.12.20 klo 10.30.00 ip.,23.657,47.546,,,,,
23,07.12.20 klo 11.00.00 ip.,23.271,47.082,,,,,
24,07.12.20 klo 11.30.00 ip.,22.842,46.593,,,,,
25,07.13.20 klo 12.00.00 ap.,22.284,46.129,,,,,
26,07.13.20 klo 12.30.00 ap.,21.769,45.665,,,,,
27,07.13.20 klo 01.00.00 ap.,21.297,45.250,,,,,
28,07.13.20 klo 01.30.00 ap.,20.782,44.860,,,,,
29,07.13.20 klo 02.00.00 ap.,20.311,44.542,,,,,
30,07.13.20 klo 02.30.00 ap.,19.882,44.322,,,,,
31,07.13.20 klo 03.00.00 ap.,19.410,44.127,,,,,
32,07.13.20 klo 03.30.00 ap.,19.024,43.956,,,,,
33,07.13.20 klo 04.00.00 ap.,18.680,43.810,,,,,
34,07.13.20 klo 04.30.00 ap.,18.380,43.712,,,,,
35,07.13.20 klo 05.00.00 ap.,18.080,43.663,,,,,
36,07.13.20 klo 05.30.00 ap.,17.737,43.590,,,,,
37,07.13.20 klo 06.00.00 ap.,17.479,43.516,,,,,
38,07.13.20 klo 06.30.00 ap.,17.308,43.443,,,,,
39,07.13.20 klo 07.00.00 ap.,17.050,43.419,,,,,
40,07.13.20 klo 07.30.00 ap.,16.921,43.394,,,,,
41,07.13.20 klo 08.00.00 ap.,16.793,43.443,,,,,
42,07.13.20 klo 08.30.00 ap.,16.793,43.419,,,,,
43,07.13.20 klo 09.00.00 ap.,16.836,43.516,,,,,
44,07.13.20 klo 09.30.00 ap.,16.879,43.639,,,,,
45,07.13.20 klo 10.00.00 ap.,16.964,43.761,,,,,
46,07.13.20 klo 10.30.00 ap.,17.136,44.029,,,,,
47,07.13.20 klo 11.00.00 ap.,17.522,44.518,,,,,
48,07.13.20 klo 11.30.00 ap.,17.908,45.031,,,,,
49,07.13.20 klo 12.00.00 ip.,18.380,45.885,,,,,
50,07.13.20 klo 12.30.00 ip.,18.938,46.716,,,,,
51,07.13.20 klo 01.00.00 ip.,19.495,47.619,,,,,
52,07.13.20 klo 01.30.00 ip.,20.053,48.156,,,,,
53,07.13.20 klo 02.00.00 ip.,20.568,48.694,,,,,
54,07.13.20 klo 02.30.00 ip.,21.040,49.133,,,,,
55,07.13.20 klo 03.00.00 ip.,21.640,49.646,,,,,
56,07.13.20 klo 03.30.00 ip.,21.941,49.548,,,,,
57,07.13.20 klo 04.00.00 ip.,22.155,49.548,,,,,
58,07.13.20 klo 04.30.00 ip.,22.370,49.475,,,,,
59,07.13.20 klo 05.00.00 ip.,22.584,49.377,,,,,
60,07.13.20 klo 05.30.00 ip.,22.627,49.206,,,,,
61,07.13.20 klo 06.00.00 ip.,22.584,49.011,,,,,
62,07.13.20 klo 06.30.00 ip.,22.541,48.816,,,,,
63,07.13.20 klo 07.00.00 ip.,22.456,48.547,,,,,
64,07.13.20 klo 07.30.00 ip.,22.241,48.254,,,,,
65,07.13.20 klo 08.00.00 ip.,22.069,47.912,,,,,
66,07.13.20 klo 08.30.00 ip.,21.812,47.692,,,,,
67,07.13.20 klo 09.00.00 ip.,21.598,47.350,,,,,
68,07.13.20 klo 09.30.00 ip.,21.254,47.106,,,,,
69,07.13.20 klo 10.00.00 ip.,20.868,46.691,,,,,
70,07.13.20 klo 10.30.00 ip.,20.525,46.325,,,,,
71,07.13.20 klo 11.00.00 ip.,20.096,45.983,,,,,
72,07.13.20 klo 11.30.00 ip.,19.667,45.568,,,,,
73,07.14.20 klo 12.00.00 ap.,19.195,45.250,,,,,
74,07.14.20 klo 12.30.00 ap.,18.766,44.957,,,,,
75,07.14.20 klo 01.00.00 ap.,18.380,44.737,,,,,
76,07.14.20 klo 01.30.00 ap.,17.994,44.542,,,,,
77,07.14.20 klo 02.00.00 ap.,17.651,44.396,,,,,
78,07.14.20 klo 02.30.00 ap.,17.350,44.298,,,,,
79,07.14.20 klo 03.00.00 ap.,17.050,44.151,,,,,
80,07.14.20 klo 03.30.00 ap.,16.664,44.078,,,,,
81,07.14.20 klo 04.00.00 ap.,16.450,43.980,,,,,
82,07.14.20 klo 04.30.00 ap.,16.149,43.907,,,,,
83,07.14.20 klo 05.00.00 ap.,15.892,43.785,,,,,
84,07.14.20 klo 05.30.00 ap.,15.677,43.785,,,,,
85,07.14.20 klo 06.00.00 ap.,15.463,43.712,,,,,
86,07.14.20 klo 06.30.00 ap.,15.205,43.663,,,,,
87,07.14.20 klo 07.00.00 ap.,15.077,43.639,,,,,
88,07.14.20 klo 07.30.00 ap.,14.905,43.614,,,,,
89,07.14.20 klo 08.00.00 ap.,14.819,43.639,,,,,
90,07.14.20 klo 08.30.00 ap.,14.734,43.590,,,,,
91,07.14.20 klo 09.00.00 ap.,14.648,43.614,,,,,
92,07.14.20 klo 09.30.00 ap.,14.648,43.687,,,,,
93,07.14.20 klo 10.00.00 ap.,14.905,44.005,,,,,
94,07.14.20 klo 10.30.00 ap.,15.377,44.957,,,,,
95,07.14.20 klo 11.00.00 ap.,15.978,46.081,,,,,
96,07.14.20 klo 11.30.00 ap.,16.621,47.033,,,,,
97,07.14.20 klo 12.00.00 ip.,17.136,47.692,,,,,
98,07.14.20 klo 12.30.00 ip.,17.479,47.863,,,,,
99,07.14.20 klo 01.00.00 ip.,17.822,48.010,,,,,
100,07.14.20 klo 01.30.00 ip.,18.166,48.400,,,,,
101,07.14.20 klo 02.00.00 ip.,18.466,48.596,,,,,
102,07.14.20 klo 02.30.00 ip.,18.766,49.011,,,,,
103,07.14.20 klo 03.00.00 ip.,19.195,49.548,,,,,
104,07.14.20 klo 03.30.00 ip.,19.453,49.866,,,,,
105,07.14.20 klo 04.00.00 ip.,19.839,50.330,,,,,
106,07.14.20 klo 04.30.00 ip.,20.182,50.647,,,,,
107,07.14.20 klo 05.00.00 ip.,20.439,50.818,,,,,
108,07.14.20 klo 05.30.00 ip.,20.697,51.038,,,,,
109,07.14.20 klo 06.00.00 ip.,20.997,51.087,,,,,
110,07.14.20 klo 06.30.00 ip.,21.126,51.062,,,,,
111,07.14.20 klo 07.00.00 ip.,21.340,51.062,,,,,
112,07.14.20 klo 07.30.00 ip.,21.469,51.038,,,,,
113,07.14.20 klo 08.00.00 ip.,21.555,50.989,,,,,
114,07.14.20 klo 08.30.00 ip.,21.555,50.745,,,,,
115,07.14.20 klo 09.00.00 ip.,21.426,50.549,,,,,
116,07.14.20 klo 09.30.00 ip.,21.254,50.134,,,,,
117,07.14.20 klo 10.00.00 ip.,20.954,49.744,,,,,
118,07.14.20 klo 10.30.00 ip.,20.611,49.328,,,,,
119,07.14.20 klo 11.00.00 ip.,20.182,48.816,,,,,
120,07.14.20 klo 11.30.00 ip.,19.753,48.205,,,,,
121,07.15.20 klo 12.00.00 ap.,19.152,47.619,,,,,
122,07.15.20 klo 12.30.00 ap.,18.595,47.033,,,,,
123,07.15.20 klo 01.00.00 ap.,18.037,46.398,,,,,
124,07.15.20 klo 01.30.00 ap.,17.436,45.714,,,,,
125,07.15.20 klo 02.00.00 ap.,16.707,45.055,,,,,
126,07.15.20 klo 02.30.00 ap.,15.978,44.371,,,,,
127,07.15.20 klo 03.00.00 ap.,15.248,43.736,,,,,
128,07.15.20 klo 03.30.00 ap.,14.476,43.150,,,,,
129,07.15.20 klo 04.00.00 ap.,13.704,42.613,,,,,
130,07.15.20 klo 04.30.00 ap.,13.017,42.173,,,,,
131,07.15.20 klo 05.00.00 ap.,12.288,41.905,,,,,
132,07.15.20 klo 05.30.00 ap.,11.730,41.734,,,,,
133,07.15.20 klo 06.00.00 ap.,11.301,41.636,,,,,
134,07.15.20 klo 06.30.00 ap.,10.915,41.661,,,,,
135,07.15.20 klo 07.00.00 ap.,10.744,41.807,,,,,
136,07.15.20 klo 07.30.00 ap.,10.701,41.905,,,,,
137,07.15.20 klo 08.00.00 ap.,10.701,42.100,,,,,
138,07.15.20 klo 08.30.00 ap.,10.787,42.344,,,,,
139,07.15.20 klo 09.00.00 ap.,11.044,42.735,,,,,
140,07.15.20 klo 09.30.00 ap.,11.430,43.223,,,,,
141,07.15.20 klo 10.00.00 ap.,11.945,43.810,,,,,
142,07.15.20 klo 10.30.00 ap.,12.546,44.567,,,,,
143,07.15.20 klo 11.00.00 ap.,13.275,45.470,,,,,
144,07.15.20 klo 11.30.00 ap.,14.004,46.398,,,,,
145,07.15.20 klo 12.00.00 ip.,14.819,47.546,,,,,
146,07.15.20 klo 12.30.00 ip.,15.677,48.669,,,,,
147,07.15.20 klo 01.00.00 ip.,16.407,49.475,,,,,
148,07.15.20 klo 01.30.00 ip.,17.136,50.452,,,,,
149,07.15.20 klo 02.00.00 ip.,17.908,51.477,,,,,
