"Plot Title:  20854935"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854935, SEN S/N: 20854935, LBL: AT)","RH, % (LGR S/N: 20854935, SEN S/N: 20854935, LBL: RH)","Coupler Detached (LGR S/N: 20854935)","Coupler Attached (LGR S/N: 20854935)","Host Connected (LGR S/N: 20854935)","Stopped (LGR S/N: 20854935)","End Of File (LGR S/N: 20854935)"
1,07.12.20 klo 12.00.00 ip.,22.670,48.156,Logged,,,,
2,07.12.20 klo 12.30.00 ip.,22.756,48.254,,,,,
3,07.12.20 klo 01.00.00 ip.,22.799,48.303,,,,,
4,07.12.20 klo 01.30.00 ip.,22.799,48.254,,,,,
5,07.12.20 klo 02.00.00 ip.,22.799,48.156,,,,,
6,07.12.20 klo 02.30.00 ip.,22.799,47.985,,,,,
7,07.12.20 klo 03.00.00 ip.,22.756,47.790,,,,,
8,07.12.20 klo 03.30.00 ip.,22.756,47.619,,,,,
9,07.12.20 klo 04.00.00 ip.,23.657,48.303,,,,,
10,07.12.20 klo 04.30.00 ip.,24.214,49.255,,,,,
11,07.12.20 klo 05.00.00 ip.,24.601,49.695,,,,,
12,07.12.20 klo 05.30.00 ip.,24.686,49.621,,,,,
13,07.12.20 klo 06.00.00 ip.,24.644,49.304,,,,,
14,07.12.20 klo 06.30.00 ip.,24.558,48.889,,,,,
15,07.12.20 klo 07.00.00 ip.,24.386,48.694,,,,,
16,07.12.20 klo 07.30.00 ip.,24.558,48.962,,,,,
17,07.12.20 klo 08.00.00 ip.,24.729,49.035,,,,,
18,07.12.20 klo 08.30.00 ip.,24.858,48.987,,,,,
19,07.12.20 klo 09.00.00 ip.,24.815,48.669,,,,,
20,07.12.20 klo 09.30.00 ip.,24.558,48.034,,,,,
21,07.12.20 klo 10.00.00 ip.,24.257,47.424,,,,,
22,07.12.20 klo 10.30.00 ip.,23.871,46.911,,,,,
23,07.12.20 klo 11.00.00 ip.,23.485,46.545,,,,,
24,07.12.20 klo 11.30.00 ip.,23.056,46.276,,,,,
25,07.13.20 klo 12.00.00 ap.,22.584,45.934,,,,,
26,07.13.20 klo 12.30.00 ap.,22.112,45.763,,,,,
27,07.13.20 klo 01.00.00 ap.,21.640,45.617,,,,,
28,07.13.20 klo 01.30.00 ap.,21.169,45.397,,,,,
29,07.13.20 klo 02.00.00 ap.,20.740,45.226,,,,,
30,07.13.20 klo 02.30.00 ap.,20.311,45.031,,,,,
31,07.13.20 klo 03.00.00 ap.,19.882,44.933,,,,,
32,07.13.20 klo 03.30.00 ap.,19.538,44.762,,,,,
33,07.13.20 klo 04.00.00 ap.,19.195,44.615,,,,,
34,07.13.20 klo 04.30.00 ap.,18.852,44.542,,,,,
35,07.13.20 klo 05.00.00 ap.,18.552,44.371,,,,,
36,07.13.20 klo 05.30.00 ap.,18.294,44.274,,,,,
37,07.13.20 klo 06.00.00 ap.,17.994,44.200,,,,,
38,07.13.20 klo 06.30.00 ap.,17.737,44.176,,,,,
39,07.13.20 klo 07.00.00 ap.,17.565,44.151,,,,,
40,07.13.20 klo 07.30.00 ap.,17.436,44.127,,,,,
41,07.13.20 klo 08.00.00 ap.,17.308,44.151,,,,,
42,07.13.20 klo 08.30.00 ap.,17.265,44.225,,,,,
43,07.13.20 klo 09.00.00 ap.,17.350,44.347,,,,,
44,07.13.20 klo 09.30.00 ap.,17.436,44.518,,,,,
45,07.13.20 klo 10.00.00 ap.,17.565,44.640,,,,,
46,07.13.20 klo 10.30.00 ap.,18.123,45.201,,,,,
47,07.13.20 klo 11.00.00 ap.,18.637,45.397,,,,,
48,07.13.20 klo 11.30.00 ap.,19.024,46.422,,,,,
49,07.13.20 klo 12.00.00 ip.,19.581,47.155,,,,,
50,07.13.20 klo 12.30.00 ip.,20.139,47.937,,,,,
51,07.13.20 klo 01.00.00 ip.,20.697,48.156,,,,,
52,07.13.20 klo 01.30.00 ip.,21.169,48.376,,,,,
53,07.13.20 klo 02.00.00 ip.,21.640,48.303,,,,,
54,07.13.20 klo 02.30.00 ip.,22.112,48.205,,,,,
55,07.13.20 klo 03.00.00 ip.,22.670,47.961,,,,,
56,07.13.20 klo 03.30.00 ip.,22.713,47.912,,,,,
57,07.13.20 klo 04.00.00 ip.,22.885,48.010,,,,,
58,07.13.20 klo 04.30.00 ip.,22.970,47.595,,,,,
59,07.13.20 klo 05.00.00 ip.,23.013,47.082,,,,,
60,07.13.20 klo 05.30.00 ip.,23.013,47.155,,,,,
61,07.13.20 klo 06.00.00 ip.,22.927,47.277,,,,,
62,07.13.20 klo 06.30.00 ip.,22.842,47.375,,,,,
63,07.13.20 klo 07.00.00 ip.,22.756,47.350,,,,,
64,07.13.20 klo 07.30.00 ip.,22.627,47.326,,,,,
65,07.13.20 klo 08.00.00 ip.,22.413,47.155,,,,,
66,07.13.20 klo 08.30.00 ip.,22.241,47.057,,,,,
67,07.13.20 klo 09.00.00 ip.,21.984,46.911,,,,,
68,07.13.20 klo 09.30.00 ip.,21.769,46.716,,,,,
69,07.13.20 klo 10.00.00 ip.,21.426,46.422,,,,,
70,07.13.20 klo 10.30.00 ip.,21.126,46.105,,,,,
71,07.13.20 klo 11.00.00 ip.,20.740,45.788,,,,,
72,07.13.20 klo 11.30.00 ip.,20.353,45.397,,,,,
73,07.14.20 klo 12.00.00 ap.,19.967,45.128,,,,,
74,07.14.20 klo 12.30.00 ap.,19.581,44.835,,,,,
75,07.14.20 klo 01.00.00 ap.,19.195,44.567,,,,,
76,07.14.20 klo 01.30.00 ap.,18.852,44.347,,,,,
77,07.14.20 klo 02.00.00 ap.,18.509,44.151,,,,,
78,07.14.20 klo 02.30.00 ap.,18.166,44.029,,,,,
79,07.14.20 klo 03.00.00 ap.,17.822,43.883,,,,,
80,07.14.20 klo 03.30.00 ap.,17.522,43.785,,,,,
81,07.14.20 klo 04.00.00 ap.,17.265,43.736,,,,,
82,07.14.20 klo 04.30.00 ap.,17.007,43.639,,,,,
83,07.14.20 klo 05.00.00 ap.,16.707,43.590,,,,,
