"Plot Title:  20854931"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854931, SEN S/N: 20854931, LBL: AT)","RH, % (LGR S/N: 20854931, SEN S/N: 20854931, LBL: RH)","Coupler Detached (LGR S/N: 20854931)","Coupler Attached (LGR S/N: 20854931)","Host Connected (LGR S/N: 20854931)","Stopped (LGR S/N: 20854931)","End Of File (LGR S/N: 20854931)"
1,07.20.20 klo 12.00.00 ip.,21.683,49.719,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.683,49.695,,,,,
3,07.20.20 klo 01.00.00 ip.,21.683,49.670,,,,,
4,07.20.20 klo 01.30.00 ip.,21.683,49.621,,,,,
5,07.20.20 klo 02.00.00 ip.,21.683,49.670,,,,,
6,07.20.20 klo 02.30.00 ip.,21.683,49.621,,,,,
7,07.20.20 klo 03.00.00 ip.,21.683,49.573,,,,,
8,07.20.20 klo 03.30.00 ip.,21.683,49.548,,,,,
9,07.20.20 klo 04.00.00 ip.,21.683,49.573,,,,,
10,07.20.20 klo 04.30.00 ip.,21.683,49.524,,,,,
11,07.20.20 klo 05.00.00 ip.,21.726,49.524,,,,,
12,07.20.20 klo 05.30.00 ip.,21.726,49.499,,,,,
13,07.20.20 klo 06.00.00 ip.,21.726,49.475,,,,,
14,07.20.20 klo 06.30.00 ip.,21.769,49.451,,,,,
15,07.20.20 klo 07.00.00 ip.,21.769,49.475,,,,,
16,07.20.20 klo 07.30.00 ip.,21.769,49.426,,,,,
17,07.20.20 klo 08.00.00 ip.,21.812,49.499,,,,,
18,07.20.20 klo 08.30.00 ip.,21.812,49.548,,,,,
19,07.20.20 klo 09.00.00 ip.,21.855,49.573,,,,,
20,07.20.20 klo 09.30.00 ip.,21.898,49.646,,,,,
21,07.20.20 klo 10.00.00 ip.,21.941,49.646,,,,,
22,07.20.20 klo 10.30.00 ip.,21.941,49.744,,,,,
23,07.20.20 klo 11.00.00 ip.,21.984,49.817,,,,,
24,07.20.20 klo 11.30.00 ip.,22.027,49.866,,,,,
25,07.21.20 klo 12.00.00 ap.,22.069,49.915,,,,,
26,07.21.20 klo 12.30.00 ap.,22.069,49.988,,,,,
27,07.21.20 klo 01.00.00 ap.,22.069,50.061,,,,,
28,07.21.20 klo 01.30.00 ap.,22.112,50.134,,,,,
29,07.21.20 klo 02.00.00 ap.,22.112,50.159,,,,,
30,07.21.20 klo 02.30.00 ap.,22.112,50.208,,,,,
31,07.21.20 klo 03.00.00 ap.,22.112,50.232,,,,,
32,07.21.20 klo 03.30.00 ap.,22.112,50.305,,,,,
33,07.21.20 klo 04.00.00 ap.,22.112,50.330,,,,,
34,07.21.20 klo 04.30.00 ap.,22.112,50.305,,,,,
35,07.21.20 klo 05.00.00 ap.,22.112,50.305,,,,,
36,07.21.20 klo 05.30.00 ap.,22.069,50.330,,,,,
37,07.21.20 klo 06.00.00 ap.,22.112,50.330,,,,,
38,07.21.20 klo 06.30.00 ap.,22.112,50.305,,,,,
39,07.21.20 klo 07.00.00 ap.,22.069,50.330,,,,,
40,07.21.20 klo 07.30.00 ap.,22.069,50.330,,,,,
41,07.21.20 klo 08.00.00 ap.,22.069,50.305,,,,,
42,07.21.20 klo 08.30.00 ap.,22.069,50.305,,,,,
43,07.21.20 klo 09.00.00 ap.,22.027,50.281,,,,,
44,07.21.20 klo 09.30.00 ap.,22.069,50.256,,,,,
45,07.21.20 klo 10.00.00 ap.,21.984,50.208,,,,,
46,07.21.20 klo 10.30.00 ap.,21.941,50.110,,,,,
47,07.21.20 klo 11.00.00 ap.,21.898,50.061,,,,,
48,07.21.20 klo 11.30.00 ap.,21.855,50.037,,,,,
49,07.21.20 klo 12.00.00 ip.,21.855,50.037,,,,,
50,07.21.20 klo 12.30.00 ip.,21.812,50.012,,,,,
51,07.21.20 klo 01.00.00 ip.,21.855,49.988,,,,,
52,07.21.20 klo 01.30.00 ip.,21.855,49.939,,,,,
53,07.21.20 klo 02.00.00 ip.,21.855,49.939,,,,,
54,07.21.20 klo 02.30.00 ip.,21.898,49.915,,,,,
55,07.21.20 klo 03.00.00 ip.,21.898,49.866,,,,,
56,07.21.20 klo 03.30.00 ip.,21.941,49.866,,,,,
57,07.21.20 klo 04.00.00 ip.,21.898,49.768,,,,,
58,07.21.20 klo 04.30.00 ip.,21.941,49.841,,,,,
59,07.21.20 klo 05.00.00 ip.,21.941,49.792,,,,,
60,07.21.20 klo 05.30.00 ip.,21.941,49.744,,,,,
61,07.21.20 klo 06.00.00 ip.,21.898,49.768,,,,,
62,07.21.20 klo 06.30.00 ip.,21.855,49.768,,,,,
63,07.21.20 klo 07.00.00 ip.,21.855,49.792,,,,,
64,07.21.20 klo 07.30.00 ip.,21.812,49.768,,,,,
65,07.21.20 klo 08.00.00 ip.,21.812,49.792,,,,,
66,07.21.20 klo 08.30.00 ip.,21.812,49.817,,,,,
67,07.21.20 klo 09.00.00 ip.,21.855,49.817,,,,,
68,07.21.20 klo 09.30.00 ip.,21.812,49.841,,,,,
69,07.21.20 klo 10.00.00 ip.,21.812,49.817,,,,,
70,07.21.20 klo 10.30.00 ip.,21.812,49.792,,,,,
71,07.21.20 klo 11.00.00 ip.,21.812,49.817,,,,,
72,07.21.20 klo 11.30.00 ip.,21.812,49.792,,,,,
73,07.22.20 klo 12.00.00 ap.,21.812,49.744,,,,,
74,07.22.20 klo 12.30.00 ap.,21.812,49.768,,,,,
75,07.22.20 klo 01.00.00 ap.,21.812,49.768,,,,,
76,07.22.20 klo 01.30.00 ap.,21.812,49.695,,,,,
77,07.22.20 klo 02.00.00 ap.,21.812,49.719,,,,,
78,07.22.20 klo 02.30.00 ap.,21.812,49.670,,,,,
79,07.22.20 klo 03.00.00 ap.,21.812,49.670,,,,,
80,07.22.20 klo 03.30.00 ap.,21.769,49.597,,,,,
81,07.22.20 klo 04.00.00 ap.,21.769,49.573,,,,,
82,07.22.20 klo 04.30.00 ap.,21.769,49.597,,,,,
83,07.22.20 klo 05.00.00 ap.,21.769,49.475,,,,,
84,07.22.20 klo 05.30.00 ap.,21.769,49.499,,,,,
85,07.22.20 klo 06.00.00 ap.,21.726,49.451,,,,,
86,07.22.20 klo 06.30.00 ap.,21.726,49.402,,,,,
87,07.22.20 klo 07.00.00 ap.,21.683,49.377,,,,,
88,07.22.20 klo 07.30.00 ap.,21.683,49.377,,,,,
89,07.22.20 klo 08.00.00 ap.,21.640,49.328,,,,,
90,07.22.20 klo 08.30.00 ap.,21.640,49.280,,,,,
91,07.22.20 klo 09.00.00 ap.,21.640,49.280,,,,,
92,07.22.20 klo 09.30.00 ap.,21.598,49.255,,,,,
93,07.22.20 klo 10.00.00 ap.,21.598,49.206,,,,,
94,07.22.20 klo 10.30.00 ap.,21.555,49.182,,,,,
95,07.22.20 klo 11.00.00 ap.,21.512,49.060,,,,,
96,07.22.20 klo 11.30.00 ap.,21.426,49.011,,,,,
97,07.22.20 klo 12.00.00 ip.,21.340,48.913,,,,,
98,07.22.20 klo 12.30.00 ip.,21.297,48.840,,,,,
99,07.22.20 klo 01.00.00 ip.,21.297,48.767,,,,,
100,07.22.20 klo 01.30.00 ip.,21.211,48.694,,,,,
101,07.22.20 klo 02.00.00 ip.,21.211,48.620,,,,,
102,07.22.20 klo 02.30.00 ip.,21.169,48.523,,,,,
103,07.22.20 klo 03.00.00 ip.,21.169,48.498,,,,,
104,07.22.20 klo 03.30.00 ip.,21.126,48.425,,,,,
105,07.22.20 klo 04.00.00 ip.,21.126,48.400,,,,,
106,07.22.20 klo 04.30.00 ip.,21.169,48.303,,,,,
107,07.22.20 klo 05.00.00 ip.,21.126,48.254,,,,,
108,07.22.20 klo 05.30.00 ip.,21.126,48.230,,,,,
109,07.22.20 klo 06.00.00 ip.,21.126,48.181,,,,,
110,07.22.20 klo 06.30.00 ip.,21.083,48.132,,,,,
111,07.22.20 klo 07.00.00 ip.,21.083,48.156,,,,,
112,07.22.20 klo 07.30.00 ip.,21.040,48.107,,,,,
113,07.22.20 klo 08.00.00 ip.,20.997,48.107,,,,,
114,07.22.20 klo 08.30.00 ip.,20.997,48.083,,,,,
115,07.22.20 klo 09.00.00 ip.,20.954,48.083,,,,,
116,07.22.20 klo 09.30.00 ip.,20.954,48.107,,,,,
117,07.22.20 klo 10.00.00 ip.,20.868,48.083,,,,,
118,07.22.20 klo 10.30.00 ip.,20.825,48.107,,,,,
119,07.22.20 klo 11.00.00 ip.,20.740,48.059,,,,,
120,07.22.20 klo 11.30.00 ip.,20.697,48.083,,,,,
121,07.23.20 klo 12.00.00 ap.,20.697,48.107,,,,,
122,07.23.20 klo 12.30.00 ap.,20.697,48.107,,,,,
123,07.23.20 klo 01.00.00 ap.,20.654,48.107,,,,,
124,07.23.20 klo 01.30.00 ap.,20.654,48.156,,,,,
125,07.23.20 klo 02.00.00 ap.,20.654,48.107,,,,,
126,07.23.20 klo 02.30.00 ap.,20.611,48.181,,,,,
127,07.23.20 klo 03.00.00 ap.,20.654,48.156,,,,,
128,07.23.20 klo 03.30.00 ap.,20.611,48.181,,,,,
129,07.23.20 klo 04.00.00 ap.,20.654,48.181,,,,,
130,07.23.20 klo 04.30.00 ap.,20.611,48.205,,,,,
131,07.23.20 klo 05.00.00 ap.,20.611,48.205,,,,,
132,07.23.20 klo 05.30.00 ap.,20.654,48.205,,,,,
133,07.23.20 klo 06.00.00 ap.,20.611,48.181,,,,,
134,07.23.20 klo 06.30.00 ap.,20.611,48.254,,,,,
135,07.23.20 klo 07.00.00 ap.,20.611,48.230,,,,,
136,07.23.20 klo 07.30.00 ap.,20.611,48.254,,,,,
137,07.23.20 klo 08.00.00 ap.,20.611,48.303,,,,,
138,07.23.20 klo 08.30.00 ap.,20.611,48.254,,,,,
139,07.23.20 klo 09.00.00 ap.,20.611,48.254,,,,,
140,07.23.20 klo 09.30.00 ap.,20.568,48.230,,,,,
141,07.23.20 klo 10.00.00 ap.,20.568,48.205,,,,,
142,07.23.20 klo 10.30.00 ap.,20.525,48.205,,,,,
143,07.23.20 klo 11.00.00 ap.,20.525,48.230,,,,,
144,07.23.20 klo 11.30.00 ap.,20.568,48.181,,,,,
145,07.23.20 klo 12.00.00 ip.,20.568,48.205,,,,,
146,07.23.20 klo 12.30.00 ip.,20.568,48.181,,,,,
147,07.23.20 klo 01.00.00 ip.,20.611,48.181,,,,,
