"Plot Title:  20864588"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864588, SEN S/N: 20864588)","RH, % (LGR S/N: 20864588, SEN S/N: 20864588)","Coupler Detached (LGR S/N: 20864588)","Coupler Attached (LGR S/N: 20864588)","Host Connected (LGR S/N: 20864588)","Stopped (LGR S/N: 20864588)","End Of File (LGR S/N: 20864588)"
1,08.09.20 klo 02.43.18 ip.,22.885,42.247,,,,,
2,08.09.20 klo 02.43.28 ip.,,,Logged,,,,
3,08.09.20 klo 03.13.18 ip.,23.185,39.853,,,,,
4,08.09.20 klo 03.43.18 ip.,23.356,39.927,,,,,
5,08.09.20 klo 04.13.18 ip.,23.485,39.194,,,,,
6,08.09.20 klo 04.43.18 ip.,23.657,38.339,,,,,
7,08.09.20 klo 05.13.18 ip.,23.056,43.834,,,,,
8,08.09.20 klo 05.43.18 ip.,23.099,43.907,,,,,
9,08.09.20 klo 06.13.18 ip.,23.099,43.687,,,,,
10,08.09.20 klo 06.43.18 ip.,23.013,43.516,,,,,
11,08.09.20 klo 07.13.18 ip.,23.013,43.370,,,,,
12,08.09.20 klo 07.43.18 ip.,22.970,43.223,,,,,
13,08.09.20 klo 08.13.18 ip.,23.013,43.297,,,,,
14,08.09.20 klo 08.43.18 ip.,23.013,43.394,,,,,
15,08.09.20 klo 09.13.18 ip.,22.970,43.443,,,,,
16,08.09.20 klo 09.43.18 ip.,22.970,43.346,,,,,
17,08.09.20 klo 10.13.18 ip.,22.927,43.199,,,,,
18,08.09.20 klo 10.43.18 ip.,22.927,42.955,,,,,
19,08.09.20 klo 11.13.18 ip.,22.885,42.906,,,,,
20,08.09.20 klo 11.43.18 ip.,22.842,42.833,,,,,
21,08.10.20 klo 12.13.18 ap.,22.799,42.686,,,,,
22,08.10.20 klo 12.43.18 ap.,22.756,42.589,,,,,
23,08.10.20 klo 01.13.18 ap.,22.713,42.540,,,,,
24,08.10.20 klo 01.43.18 ap.,22.670,42.442,,,,,
25,08.10.20 klo 02.13.18 ap.,22.670,42.344,,,,,
26,08.10.20 klo 02.43.18 ap.,22.627,42.295,,,,,
27,08.10.20 klo 03.13.18 ap.,22.541,42.149,,,,,
28,08.10.20 klo 03.43.18 ap.,22.456,40.733,,,,,
29,08.10.20 klo 04.13.18 ap.,22.456,40.708,,,,,
30,08.10.20 klo 04.43.18 ap.,22.413,41.416,,,,,
31,08.10.20 klo 05.13.18 ap.,22.413,41.587,,,,,
32,08.10.20 klo 05.43.18 ap.,22.413,41.587,,,,,
33,08.10.20 klo 06.13.18 ap.,22.370,41.538,,,,,
34,08.10.20 klo 06.43.18 ap.,22.327,41.514,,,,,
35,08.10.20 klo 07.13.18 ap.,22.370,41.416,,,,,
36,08.10.20 klo 07.43.18 ap.,22.327,41.343,,,,,
37,08.10.20 klo 08.13.18 ap.,22.413,40.904,,,,,
38,08.10.20 klo 08.43.18 ap.,20.997,36.777,,,,,
39,08.10.20 klo 09.13.18 ap.,19.710,36.410,,,,,
40,08.10.20 klo 09.43.18 ap.,18.637,37.973,,,,,
41,08.10.20 klo 10.13.18 ap.,17.908,38.437,,,,,
42,08.10.20 klo 10.43.18 ap.,17.308,40.611,,,,,
43,08.10.20 klo 11.13.18 ap.,11.344,58.071,,,,,
44,08.10.20 klo 11.43.18 ap.,12.374,56.215,,,,,
45,08.10.20 klo 12.13.18 ip.,11.001,63.175,,,,,
46,08.10.20 klo 12.43.18 ip.,11.430,58.339,,,,,
47,08.10.20 klo 01.13.18 ip.,11.473,58.730,,,,,
48,08.10.20 klo 01.43.18 ip.,11.945,56.801,,,,,
49,08.10.20 klo 02.13.18 ip.,11.430,59.683,,,,,
50,08.10.20 klo 02.43.18 ip.,11.516,59.853,,,,,
51,08.10.20 klo 03.13.18 ip.,12.031,60.293,,,,,
52,08.10.20 klo 03.43.18 ip.,12.245,61.050,,,,,
53,08.10.20 klo 04.13.18 ip.,11.688,62.027,,,,,
54,08.10.20 klo 04.43.18 ip.,12.460,59.658,,,,,
55,08.10.20 klo 05.13.18 ip.,12.374,61.954,,,,,
56,08.10.20 klo 05.43.18 ip.,13.489,58.120,,,,,
57,08.10.20 klo 06.13.18 ip.,12.674,58.559,,,,,
58,08.10.20 klo 06.43.18 ip.,12.074,61.294,,,,,
59,08.10.20 klo 07.13.18 ip.,11.559,70.574,,,,,
60,08.10.20 klo 07.43.18 ip.,10.872,72.991,,,,,
61,08.10.20 klo 08.13.18 ip.,11.216,73.187,,,,,
62,08.10.20 klo 08.43.18 ip.,10.014,77.534,,,,,
63,08.10.20 klo 09.13.18 ip.,9.371,80.879,,,,,
64,08.10.20 klo 09.43.18 ip.,8.770,83.956,,,,,
65,08.10.20 klo 10.13.18 ip.,6.711,91.111,,,,,
66,08.10.20 klo 10.43.18 ip.,5.338,92.186,,,,,
67,08.10.20 klo 11.13.18 ip.,5.167,96.850,,,,,
68,08.10.20 klo 11.43.18 ip.,5.724,97.363,,,,,
69,08.11.20 klo 12.13.18 ap.,5.167,96.484,,,,,
70,08.11.20 klo 12.43.18 ap.,3.579,96.801,,,,,
71,08.11.20 klo 01.13.18 ap.,3.880,98.046,,,,,
72,08.11.20 klo 01.43.18 ap.,4.309,98.486,,,,,
73,08.11.20 klo 02.13.18 ap.,3.365,98.168,,,,,
74,08.11.20 klo 02.43.18 ap.,2.507,98.364,,,,,
75,08.11.20 klo 03.13.18 ap.,3.279,99.316,,,,,
76,08.11.20 klo 03.43.18 ap.,3.665,99.683,,,,,
77,08.11.20 klo 04.13.18 ap.,4.609,100.000,,,,,
78,08.11.20 klo 04.43.18 ap.,4.652,99.341,,,,,
79,08.11.20 klo 05.13.18 ap.,5.338,98.974,,,,,
80,08.11.20 klo 05.43.18 ap.,5.982,98.095,,,,,
81,08.11.20 klo 06.13.18 ap.,5.381,96.752,,,,,
82,08.11.20 klo 06.43.18 ap.,6.454,99.048,,,,,
83,08.11.20 klo 07.13.18 ap.,12.031,76.459,,,,,
84,08.11.20 klo 07.43.18 ap.,12.331,72.430,,,,,
85,08.11.20 klo 08.13.18 ap.,14.262,60.684,,,,,
86,08.11.20 klo 08.43.18 ap.,11.816,69.231,,,,,
87,08.11.20 klo 09.13.18 ap.,12.631,66.593,,,,,
88,08.11.20 klo 09.43.18 ap.,11.859,67.155,,,,,
89,08.11.20 klo 10.13.18 ap.,13.146,65.812,,,,,
90,08.11.20 klo 10.43.18 ap.,14.991,59.878,,,,,
91,08.11.20 klo 11.13.18 ap.,16.621,54.505,,,,,
92,08.11.20 klo 11.43.18 ap.,14.090,58.608,,,,,
93,08.11.20 klo 12.13.18 ip.,14.219,56.801,,,,,
94,08.11.20 klo 12.43.18 ip.,16.149,55.311,,,,,
95,08.11.20 klo 01.13.18 ip.,18.680,47.350,,,,,
96,08.11.20 klo 01.43.18 ip.,19.152,45.665,,,,,
97,08.11.20 klo 02.13.18 ip.,18.552,43.858,,,,,
98,08.11.20 klo 02.43.18 ip.,17.393,46.984,,,,,
99,08.11.20 klo 03.13.18 ip.,18.595,45.055,,,,,
100,08.11.20 klo 03.43.18 ip.,18.809,44.908,,,,,
101,08.11.20 klo 04.13.18 ip.,19.024,42.589,,,,,
102,08.11.20 klo 04.43.18 ip.,18.466,44.542,,,,,
103,08.11.20 klo 05.13.18 ip.,17.865,45.543,,,,,
104,08.11.20 klo 05.43.18 ip.,17.522,44.591,,,,,
105,08.11.20 klo 06.13.18 ip.,18.938,45.763,,,,,
106,08.11.20 klo 06.43.18 ip.,16.793,57.485,,,,,
107,08.11.20 klo 07.13.18 ip.,15.634,61.123,,,,,
108,08.11.20 klo 07.43.18 ip.,13.876,65.031,,,,,
109,08.11.20 klo 08.13.18 ip.,12.760,72.381,,,,,
110,08.11.20 klo 08.43.18 ip.,11.773,74.115,,,,,
111,08.11.20 klo 09.13.18 ip.,10.272,80.464,,,,,
112,08.11.20 klo 09.43.18 ip.,8.899,88.059,,,,,
113,08.11.20 klo 10.13.18 ip.,8.298,90.842,,,,,
114,08.11.20 klo 10.43.18 ip.,7.569,93.260,,,,,
115,08.11.20 klo 11.13.18 ip.,7.612,93.993,,,,,
116,08.11.20 klo 11.43.18 ip.,7.698,93.675,,,,,
117,08.12.20 klo 12.13.18 ap.,7.741,94.335,,,,,
118,08.12.20 klo 12.43.18 ap.,7.655,95.238,,,,,
119,08.12.20 klo 01.13.18 ap.,7.741,94.676,,,,,
120,08.12.20 klo 01.43.18 ap.,7.698,96.020,,,,,
121,08.12.20 klo 02.13.18 ap.,7.612,95.507,,,,,
122,08.12.20 klo 02.43.18 ap.,7.483,95.653,,,,,
123,08.12.20 klo 03.13.18 ap.,6.582,95.946,,,,,
124,08.12.20 klo 03.43.18 ap.,6.368,97.070,,,,,
125,08.12.20 klo 04.13.18 ap.,5.939,97.534,,,,,
126,08.12.20 klo 04.43.18 ap.,5.724,97.216,,,,,
127,08.12.20 klo 05.13.18 ap.,5.038,97.802,,,,,
128,08.12.20 klo 05.43.18 ap.,5.038,97.558,,,,,
129,08.12.20 klo 06.13.18 ap.,5.510,97.558,,,,,
130,08.12.20 klo 06.43.18 ap.,9.114,88.278,,,,,
131,08.12.20 klo 07.13.18 ap.,8.985,89.670,,,,,
132,08.12.20 klo 07.43.18 ap.,10.100,84.615,,,,,
133,08.12.20 klo 08.13.18 ap.,13.790,69.206,,,,,
134,08.12.20 klo 08.43.18 ap.,13.318,71.770,,,,,
135,08.12.20 klo 09.13.18 ap.,13.103,71.258,,,,,
136,08.12.20 klo 09.43.18 ap.,13.017,73.065,,,,,
