"Plot Title:  20849252"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849252, SEN S/N: 20849252)","RH, % (LGR S/N: 20849252, SEN S/N: 20849252)","Coupler Detached (LGR S/N: 20849252)","Coupler Attached (LGR S/N: 20849252)","Host Connected (LGR S/N: 20849252)","Stopped (LGR S/N: 20849252)","End Of File (LGR S/N: 20849252)"
1,08.16.20 klo 02.53.07 ip.,22.284,37.631,,,,,
2,08.16.20 klo 02.53.20 ip.,,,Logged,,,,
3,08.16.20 klo 03.23.07 ip.,22.498,35.849,,,,,
4,08.16.20 klo 03.53.07 ip.,22.498,36.068,,,,,
5,08.16.20 klo 04.23.07 ip.,22.413,35.873,,,,,
6,08.16.20 klo 04.53.07 ip.,22.284,35.946,,,,,
7,08.16.20 klo 05.23.07 ip.,22.284,35.849,,,,,
8,08.16.20 klo 05.53.07 ip.,22.198,35.507,,,,,
9,08.16.20 klo 06.23.07 ip.,22.155,35.140,,,,,
10,08.16.20 klo 06.53.07 ip.,22.069,34.896,,,,,
11,08.16.20 klo 07.23.07 ip.,21.984,34.628,,,,,
12,08.16.20 klo 07.53.07 ip.,21.941,34.921,,,,,
13,08.16.20 klo 08.23.07 ip.,21.941,34.969,,,,,
14,08.16.20 klo 08.53.07 ip.,21.941,34.896,,,,,
15,08.16.20 klo 09.23.07 ip.,21.941,34.969,,,,,
16,08.16.20 klo 09.53.07 ip.,21.898,34.921,,,,,
17,08.16.20 klo 10.23.07 ip.,21.898,34.750,,,,,
18,08.16.20 klo 10.53.07 ip.,21.898,33.993,,,,,
19,08.16.20 klo 11.23.07 ip.,21.812,33.626,,,,,
20,08.16.20 klo 11.53.07 ip.,21.726,33.236,,,,,
21,08.17.20 klo 12.23.07 ap.,21.598,32.967,,,,,
22,08.17.20 klo 12.53.07 ap.,21.598,32.967,,,,,
23,08.17.20 klo 01.23.07 ap.,21.512,32.821,,,,,
24,08.17.20 klo 01.53.07 ap.,21.512,32.821,,,,,
25,08.17.20 klo 02.23.07 ap.,21.469,32.991,,,,,
26,08.17.20 klo 02.53.07 ap.,21.469,33.358,,,,,
27,08.17.20 klo 03.23.07 ap.,21.383,33.675,,,,,
28,08.17.20 klo 03.53.07 ap.,21.426,34.017,,,,,
29,08.17.20 klo 04.23.07 ap.,21.383,34.261,,,,,
30,08.17.20 klo 04.53.07 ap.,21.383,34.554,,,,,
31,08.17.20 klo 05.23.07 ap.,21.383,34.896,,,,,
32,08.17.20 klo 05.53.07 ap.,21.383,34.994,,,,,
33,08.17.20 klo 06.23.07 ap.,21.383,34.994,,,,,
34,08.17.20 klo 06.53.07 ap.,21.340,35.018,,,,,
35,08.17.20 klo 07.23.07 ap.,21.340,35.165,,,,,
36,08.17.20 klo 07.53.07 ap.,21.383,35.458,,,,,
37,08.17.20 klo 08.23.07 ap.,21.383,35.140,,,,,
38,08.17.20 klo 08.53.07 ap.,21.340,34.823,,,,,
39,08.17.20 klo 09.23.07 ap.,21.340,34.457,,,,,
40,08.17.20 klo 09.53.07 ap.,21.340,34.725,,,,,
41,08.17.20 klo 10.23.07 ap.,21.297,34.921,,,,,
42,08.17.20 klo 10.53.07 ap.,21.297,34.896,,,,,
43,08.17.20 klo 11.23.07 ap.,21.340,34.945,,,,,
44,08.17.20 klo 11.53.07 ap.,21.426,34.847,,,,,
45,08.17.20 klo 12.23.07 ip.,21.469,35.263,,,,,
46,08.17.20 klo 12.53.07 ip.,21.555,35.385,,,,,
47,08.17.20 klo 01.23.07 ip.,21.683,35.116,,,,,
48,08.17.20 klo 01.53.07 ip.,21.769,35.189,,,,,
49,08.17.20 klo 02.23.07 ip.,21.812,35.067,,,,,
50,08.17.20 klo 02.53.07 ip.,21.855,34.725,,,,,
51,08.17.20 klo 03.23.07 ip.,21.855,34.457,,,,,
52,08.17.20 klo 03.53.07 ip.,21.812,34.139,,,,,
53,08.17.20 klo 04.23.07 ip.,21.855,33.944,,,,,
54,08.17.20 klo 04.53.07 ip.,21.812,34.139,,,,,
55,08.17.20 klo 05.23.07 ip.,21.812,33.944,,,,,
56,08.17.20 klo 05.53.07 ip.,21.555,32.332,,,,,
57,08.17.20 klo 06.23.07 ip.,21.426,33.236,,,,,
58,08.17.20 klo 06.53.07 ip.,21.426,33.187,,,,,
59,08.17.20 klo 07.23.07 ip.,21.426,33.040,,,,,
60,08.17.20 klo 07.53.07 ip.,21.469,33.455,,,,,
61,08.17.20 klo 08.23.07 ip.,21.469,33.529,,,,,
62,08.17.20 klo 08.53.07 ip.,21.426,33.846,,,,,
63,08.17.20 klo 09.23.07 ip.,21.469,33.993,,,,,
64,08.17.20 klo 09.53.07 ip.,21.426,34.237,,,,,
65,08.17.20 klo 10.23.07 ip.,21.426,34.676,,,,,
66,08.17.20 klo 10.53.07 ip.,21.426,35.287,,,,,
67,08.17.20 klo 11.23.07 ip.,21.469,35.482,,,,,
68,08.17.20 klo 11.53.07 ip.,21.469,35.653,,,,,
69,08.18.20 klo 12.23.07 ap.,21.383,35.849,,,,,
70,08.18.20 klo 12.53.07 ap.,21.340,35.873,,,,,
71,08.18.20 klo 01.23.07 ap.,21.340,35.873,,,,,
72,08.18.20 klo 01.53.07 ap.,21.297,35.995,,,,,
73,08.18.20 klo 02.23.07 ap.,21.297,35.971,,,,,
74,08.18.20 klo 02.53.07 ap.,21.297,35.995,,,,,
75,08.18.20 klo 03.23.07 ap.,21.254,36.044,,,,,
76,08.18.20 klo 03.53.07 ap.,21.254,36.020,,,,,
77,08.18.20 klo 04.23.07 ap.,21.211,36.044,,,,,
78,08.18.20 klo 04.53.07 ap.,21.169,36.020,,,,,
79,08.18.20 klo 05.23.07 ap.,21.254,35.995,,,,,
80,08.18.20 klo 05.53.07 ap.,21.211,36.068,,,,,
81,08.18.20 klo 06.23.07 ap.,21.169,36.068,,,,,
82,08.18.20 klo 06.53.07 ap.,21.211,36.068,,,,,
83,08.18.20 klo 07.23.07 ap.,21.211,35.971,,,,,
84,08.18.20 klo 07.53.07 ap.,21.169,36.117,,,,,
85,08.18.20 klo 08.23.07 ap.,21.211,36.484,,,,,
86,08.18.20 klo 08.53.07 ap.,21.211,36.899,,,,,
87,08.18.20 klo 09.23.07 ap.,21.211,36.899,,,,,
88,08.18.20 klo 09.53.07 ap.,21.211,36.825,,,,,
89,08.18.20 klo 10.23.07 ap.,21.169,36.825,,,,,
90,08.18.20 klo 10.53.07 ap.,21.211,37.021,,,,,
91,08.18.20 klo 11.23.07 ap.,21.211,37.167,,,,,
92,08.18.20 klo 11.53.07 ap.,21.211,37.436,,,,,
93,08.18.20 klo 12.23.07 ip.,21.297,37.607,,,,,
94,08.18.20 klo 12.53.07 ip.,21.340,37.387,,,,,
95,08.18.20 klo 01.23.07 ip.,21.254,37.265,,,,,
96,08.18.20 klo 01.53.07 ip.,21.297,37.216,,,,,
97,08.18.20 klo 02.23.07 ip.,21.340,38.242,,,,,
