"Plot Title:  20864586"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864586, SEN S/N: 20864586)","RH, % (LGR S/N: 20864586, SEN S/N: 20864586)","Coupler Detached (LGR S/N: 20864586)","Coupler Attached (LGR S/N: 20864586)","Host Connected (LGR S/N: 20864586)","Stopped (LGR S/N: 20864586)","End Of File (LGR S/N: 20864586)"
1,08.09.20 klo 02.33.45 ip.,22.627,42.320,,,,,
2,08.09.20 klo 02.33.57 ip.,,,Logged,,,,
3,08.09.20 klo 03.03.45 ip.,23.228,39.683,,,,,
4,08.09.20 klo 03.33.45 ip.,23.314,41.221,,,,,
5,08.09.20 klo 04.03.45 ip.,23.485,39.487,,,,,
6,08.09.20 klo 04.33.45 ip.,23.571,38.950,,,,,
7,08.09.20 klo 05.03.45 ip.,23.614,39.072,,,,,
8,08.09.20 klo 05.33.45 ip.,23.614,39.658,,,,,
9,08.09.20 klo 06.03.45 ip.,23.614,39.756,,,,,
10,08.09.20 klo 06.33.45 ip.,23.571,39.170,,,,,
11,08.09.20 klo 07.03.45 ip.,23.485,39.121,,,,,
12,08.09.20 klo 07.33.45 ip.,23.442,39.121,,,,,
13,08.09.20 klo 08.03.45 ip.,23.442,40.269,,,,,
14,08.09.20 klo 08.33.45 ip.,23.485,39.853,,,,,
15,08.09.20 klo 09.03.45 ip.,23.442,38.950,,,,,
16,08.09.20 klo 09.33.45 ip.,23.442,38.779,,,,,
17,08.09.20 klo 10.03.45 ip.,23.399,38.339,,,,,
18,08.09.20 klo 10.33.45 ip.,23.399,38.413,,,,,
19,08.09.20 klo 11.03.45 ip.,23.356,37.973,,,,,
20,08.09.20 klo 11.33.45 ip.,23.228,38.046,,,,,
21,08.10.20 klo 12.03.45 ap.,23.185,38.046,,,,,
22,08.10.20 klo 12.33.45 ap.,23.099,38.144,,,,,
23,08.10.20 klo 01.03.45 ap.,23.099,38.486,,,,,
24,08.10.20 klo 01.33.45 ap.,23.013,38.730,,,,,
25,08.10.20 klo 02.03.45 ap.,22.927,38.779,,,,,
26,08.10.20 klo 02.33.45 ap.,22.885,38.755,,,,,
27,08.10.20 klo 03.03.45 ap.,22.799,37.802,,,,,
28,08.10.20 klo 03.33.45 ap.,22.756,37.607,,,,,
29,08.10.20 klo 04.03.45 ap.,22.713,37.778,,,,,
30,08.10.20 klo 04.33.45 ap.,22.670,37.875,,,,,
31,08.10.20 klo 05.03.45 ap.,22.627,37.729,,,,,
32,08.10.20 klo 05.33.45 ap.,22.584,37.558,,,,,
33,08.10.20 klo 06.03.45 ap.,22.584,37.631,,,,,
34,08.10.20 klo 06.33.45 ap.,22.584,38.144,,,,,
35,08.10.20 klo 07.03.45 ap.,22.627,38.413,,,,,
36,08.10.20 klo 07.33.45 ap.,22.584,38.657,,,,,
37,08.10.20 klo 08.03.45 ap.,22.584,39.048,,,,,
38,08.10.20 klo 08.33.45 ap.,22.584,38.242,,,,,
39,08.10.20 klo 09.03.45 ap.,22.541,37.656,,,,,
40,08.10.20 klo 09.33.45 ap.,22.498,38.193,,,,,
41,08.10.20 klo 10.03.45 ap.,22.541,38.388,,,,,
42,08.10.20 klo 10.33.45 ap.,22.541,38.095,,,,,
43,08.10.20 klo 11.03.45 ap.,22.498,37.582,,,,,
44,08.10.20 klo 11.33.45 ap.,22.498,37.363,,,,,
45,08.10.20 klo 12.03.45 ip.,22.498,37.118,,,,,
46,08.10.20 klo 12.33.45 ip.,22.456,37.314,,,,,
47,08.10.20 klo 01.03.45 ip.,22.498,37.631,,,,,
48,08.10.20 klo 01.33.45 ip.,22.456,37.802,,,,,
49,08.10.20 klo 02.03.45 ip.,22.456,37.753,,,,,
50,08.10.20 klo 02.33.45 ip.,22.413,37.802,,,,,
51,08.10.20 klo 03.03.45 ip.,22.370,38.095,,,,,
52,08.10.20 klo 03.33.45 ip.,22.370,38.266,,,,,
53,08.10.20 klo 04.03.45 ip.,22.327,38.388,,,,,
54,08.10.20 klo 04.33.45 ip.,22.370,38.437,,,,,
55,08.10.20 klo 05.03.45 ip.,22.327,38.437,,,,,
56,08.10.20 klo 05.33.45 ip.,22.327,39.072,,,,,
57,08.10.20 klo 06.03.45 ip.,22.370,40.659,,,,,
58,08.10.20 klo 06.33.45 ip.,22.370,40.342,,,,,
59,08.10.20 klo 07.03.45 ip.,22.413,40.757,,,,,
60,08.10.20 klo 07.33.45 ip.,22.456,41.026,,,,,
61,08.10.20 klo 08.03.45 ip.,22.456,40.806,,,,,
62,08.10.20 klo 08.33.45 ip.,22.456,40.708,,,,,
63,08.10.20 klo 09.03.45 ip.,22.498,40.757,,,,,
64,08.10.20 klo 09.33.45 ip.,22.541,40.879,,,,,
65,08.10.20 klo 10.03.45 ip.,22.498,40.635,,,,,
66,08.10.20 klo 10.33.45 ip.,22.413,40.733,,,,,
67,08.10.20 klo 11.03.45 ip.,22.370,40.733,,,,,
68,08.10.20 klo 11.33.45 ip.,22.284,40.586,,,,,
69,08.11.20 klo 12.03.45 ap.,22.241,40.440,,,,,
70,08.11.20 klo 12.33.45 ap.,22.198,40.293,,,,,
