"Plot Title:  20854925"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854925, SEN S/N: 20854925, LBL: AT)","RH, % (LGR S/N: 20854925, SEN S/N: 20854925, LBL: RH)","Coupler Detached (LGR S/N: 20854925)","Coupler Attached (LGR S/N: 20854925)","Host Connected (LGR S/N: 20854925)","Stopped (LGR S/N: 20854925)","End Of File (LGR S/N: 20854925)"
1,07.20.20 klo 12.00.00 ip.,21.726,50.476,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.726,50.427,,,,,
3,07.20.20 klo 01.00.00 ip.,21.726,50.427,,,,,
4,07.20.20 klo 01.30.00 ip.,21.726,50.403,,,,,
5,07.20.20 klo 02.00.00 ip.,21.726,50.354,,,,,
6,07.20.20 klo 02.30.00 ip.,21.726,50.305,,,,,
7,07.20.20 klo 03.00.00 ip.,21.683,50.305,,,,,
8,07.20.20 klo 03.30.00 ip.,21.726,50.305,,,,,
9,07.20.20 klo 04.00.00 ip.,21.726,50.281,,,,,
10,07.20.20 klo 04.30.00 ip.,21.726,50.256,,,,,
11,07.20.20 klo 05.00.00 ip.,21.726,50.281,,,,,
12,07.20.20 klo 05.30.00 ip.,21.726,50.256,,,,,
13,07.20.20 klo 06.00.00 ip.,21.726,50.232,,,,,
14,07.20.20 klo 06.30.00 ip.,21.769,50.208,,,,,
15,07.20.20 klo 07.00.00 ip.,21.769,50.232,,,,,
16,07.20.20 klo 07.30.00 ip.,21.769,50.208,,,,,
17,07.20.20 klo 08.00.00 ip.,21.769,50.232,,,,,
18,07.20.20 klo 08.30.00 ip.,21.812,50.256,,,,,
19,07.20.20 klo 09.00.00 ip.,21.855,50.256,,,,,
20,07.20.20 klo 09.30.00 ip.,21.898,50.330,,,,,
21,07.20.20 klo 10.00.00 ip.,21.941,50.403,,,,,
22,07.20.20 klo 10.30.00 ip.,21.984,50.476,,,,,
23,07.20.20 klo 11.00.00 ip.,22.027,50.549,,,,,
24,07.20.20 klo 11.30.00 ip.,22.069,50.598,,,,,
25,07.21.20 klo 12.00.00 ap.,22.112,50.696,,,,,
26,07.21.20 klo 12.30.00 ap.,22.155,50.696,,,,,
27,07.21.20 klo 01.00.00 ap.,22.198,50.769,,,,,
28,07.21.20 klo 01.30.00 ap.,22.198,50.867,,,,,
29,07.21.20 klo 02.00.00 ap.,22.198,50.891,,,,,
30,07.21.20 klo 02.30.00 ap.,22.198,50.940,,,,,
31,07.21.20 klo 03.00.00 ap.,22.198,50.965,,,,,
32,07.21.20 klo 03.30.00 ap.,22.198,51.013,,,,,
33,07.21.20 klo 04.00.00 ap.,22.198,51.038,,,,,
34,07.21.20 klo 04.30.00 ap.,22.198,51.038,,,,,
35,07.21.20 klo 05.00.00 ap.,22.198,51.087,,,,,
36,07.21.20 klo 05.30.00 ap.,22.198,51.087,,,,,
37,07.21.20 klo 06.00.00 ap.,22.198,51.087,,,,,
38,07.21.20 klo 06.30.00 ap.,22.198,51.062,,,,,
39,07.21.20 klo 07.00.00 ap.,22.155,51.087,,,,,
40,07.21.20 klo 07.30.00 ap.,22.155,51.111,,,,,
41,07.21.20 klo 08.00.00 ap.,22.155,51.087,,,,,
42,07.21.20 klo 08.30.00 ap.,22.155,51.111,,,,,
43,07.21.20 klo 09.00.00 ap.,22.155,51.087,,,,,
44,07.21.20 klo 09.30.00 ap.,22.155,51.136,,,,,
45,07.21.20 klo 10.00.00 ap.,22.069,51.038,,,,,
46,07.21.20 klo 10.30.00 ap.,21.984,50.940,,,,,
47,07.21.20 klo 11.00.00 ap.,21.898,50.916,,,,,
48,07.21.20 klo 11.30.00 ap.,21.855,50.891,,,,,
49,07.21.20 klo 12.00.00 ip.,21.855,50.867,,,,,
50,07.21.20 klo 12.30.00 ip.,21.855,50.818,,,,,
51,07.21.20 klo 01.00.00 ip.,21.855,50.842,,,,,
52,07.21.20 klo 01.30.00 ip.,21.855,50.818,,,,,
53,07.21.20 klo 02.00.00 ip.,21.898,50.867,,,,,
54,07.21.20 klo 02.30.00 ip.,21.898,50.794,,,,,
55,07.21.20 klo 03.00.00 ip.,21.941,50.818,,,,,
56,07.21.20 klo 03.30.00 ip.,21.984,50.867,,,,,
57,07.21.20 klo 04.00.00 ip.,21.984,50.842,,,,,
58,07.21.20 klo 04.30.00 ip.,21.984,50.842,,,,,
59,07.21.20 klo 05.00.00 ip.,21.984,50.745,,,,,
60,07.21.20 klo 05.30.00 ip.,21.941,50.745,,,,,
61,07.21.20 klo 06.00.00 ip.,21.941,50.745,,,,,
62,07.21.20 klo 06.30.00 ip.,21.941,50.720,,,,,
63,07.21.20 klo 07.00.00 ip.,21.898,50.696,,,,,
64,07.21.20 klo 07.30.00 ip.,21.898,50.672,,,,,
65,07.21.20 klo 08.00.00 ip.,21.898,50.696,,,,,
66,07.21.20 klo 08.30.00 ip.,21.941,50.672,,,,,
67,07.21.20 klo 09.00.00 ip.,21.941,50.720,,,,,
68,07.21.20 klo 09.30.00 ip.,21.898,50.745,,,,,
69,07.21.20 klo 10.00.00 ip.,21.898,50.720,,,,,
70,07.21.20 klo 10.30.00 ip.,21.898,50.720,,,,,
71,07.21.20 klo 11.00.00 ip.,21.898,50.745,,,,,
72,07.21.20 klo 11.30.00 ip.,21.898,50.720,,,,,
73,07.22.20 klo 12.00.00 ap.,21.898,50.745,,,,,
74,07.22.20 klo 12.30.00 ap.,21.898,50.769,,,,,
75,07.22.20 klo 01.00.00 ap.,21.898,50.720,,,,,
76,07.22.20 klo 01.30.00 ap.,21.898,50.720,,,,,
77,07.22.20 klo 02.00.00 ap.,21.898,50.672,,,,,
78,07.22.20 klo 02.30.00 ap.,21.898,50.647,,,,,
79,07.22.20 klo 03.00.00 ap.,21.855,50.647,,,,,
80,07.22.20 klo 03.30.00 ap.,21.855,50.623,,,,,
81,07.22.20 klo 04.00.00 ap.,21.855,50.598,,,,,
82,07.22.20 klo 04.30.00 ap.,21.855,50.574,,,,,
83,07.22.20 klo 05.00.00 ap.,21.812,50.549,,,,,
84,07.22.20 klo 05.30.00 ap.,21.812,50.501,,,,,
85,07.22.20 klo 06.00.00 ap.,21.812,50.501,,,,,
86,07.22.20 klo 06.30.00 ap.,21.812,50.452,,,,,
87,07.22.20 klo 07.00.00 ap.,21.769,50.427,,,,,
88,07.22.20 klo 07.30.00 ap.,21.769,50.403,,,,,
89,07.22.20 klo 08.00.00 ap.,21.726,50.354,,,,,
90,07.22.20 klo 08.30.00 ap.,21.683,50.330,,,,,
91,07.22.20 klo 09.00.00 ap.,21.683,50.281,,,,,
92,07.22.20 klo 09.30.00 ap.,21.640,50.232,,,,,
93,07.22.20 klo 10.00.00 ap.,21.598,50.208,,,,,
94,07.22.20 klo 10.30.00 ap.,21.598,50.159,,,,,
95,07.22.20 klo 11.00.00 ap.,21.555,50.110,,,,,
96,07.22.20 klo 11.30.00 ap.,21.469,49.988,,,,,
97,07.22.20 klo 12.00.00 ip.,21.383,49.890,,,,,
98,07.22.20 klo 12.30.00 ip.,21.297,49.817,,,,,
99,07.22.20 klo 01.00.00 ip.,21.297,49.792,,,,,
100,07.22.20 klo 01.30.00 ip.,21.211,49.744,,,,,
101,07.22.20 klo 02.00.00 ip.,21.211,49.621,,,,,
102,07.22.20 klo 02.30.00 ip.,21.169,49.548,,,,,
103,07.22.20 klo 03.00.00 ip.,21.126,49.524,,,,,
104,07.22.20 klo 03.30.00 ip.,21.126,49.426,,,,,
105,07.22.20 klo 04.00.00 ip.,21.126,49.402,,,,,
106,07.22.20 klo 04.30.00 ip.,21.126,49.304,,,,,
107,07.22.20 klo 05.00.00 ip.,21.126,49.280,,,,,
108,07.22.20 klo 05.30.00 ip.,21.169,49.231,,,,,
109,07.22.20 klo 06.00.00 ip.,21.126,49.182,,,,,
110,07.22.20 klo 06.30.00 ip.,21.126,49.109,,,,,
111,07.22.20 klo 07.00.00 ip.,21.083,49.060,,,,,
112,07.22.20 klo 07.30.00 ip.,21.040,49.060,,,,,
113,07.22.20 klo 08.00.00 ip.,21.040,48.987,,,,,
114,07.22.20 klo 08.30.00 ip.,20.997,49.011,,,,,
115,07.22.20 klo 09.00.00 ip.,20.954,48.938,,,,,
116,07.22.20 klo 09.30.00 ip.,20.954,48.938,,,,,
117,07.22.20 klo 10.00.00 ip.,20.911,48.889,,,,,
118,07.22.20 klo 10.30.00 ip.,20.825,48.913,,,,,
119,07.22.20 klo 11.00.00 ip.,20.782,48.840,,,,,
120,07.22.20 klo 11.30.00 ip.,20.697,48.840,,,,,
121,07.23.20 klo 12.00.00 ap.,20.654,48.864,,,,,
122,07.23.20 klo 12.30.00 ap.,20.654,48.864,,,,,
123,07.23.20 klo 01.00.00 ap.,20.611,48.840,,,,,
124,07.23.20 klo 01.30.00 ap.,20.611,48.913,,,,,
125,07.23.20 klo 02.00.00 ap.,20.568,48.913,,,,,
126,07.23.20 klo 02.30.00 ap.,20.611,48.889,,,,,
127,07.23.20 klo 03.00.00 ap.,20.611,48.962,,,,,
128,07.23.20 klo 03.30.00 ap.,20.611,48.987,,,,,
129,07.23.20 klo 04.00.00 ap.,20.611,49.035,,,,,
130,07.23.20 klo 04.30.00 ap.,20.611,49.011,,,,,
131,07.23.20 klo 05.00.00 ap.,20.611,49.035,,,,,
132,07.23.20 klo 05.30.00 ap.,20.611,49.084,,,,,
133,07.23.20 klo 06.00.00 ap.,20.611,49.084,,,,,
134,07.23.20 klo 06.30.00 ap.,20.611,49.109,,,,,
135,07.23.20 klo 07.00.00 ap.,20.654,49.109,,,,,
136,07.23.20 klo 07.30.00 ap.,20.611,49.206,,,,,
137,07.23.20 klo 08.00.00 ap.,20.611,49.158,,,,,
138,07.23.20 klo 08.30.00 ap.,20.611,49.182,,,,,
139,07.23.20 klo 09.00.00 ap.,20.611,49.206,,,,,
140,07.23.20 klo 09.30.00 ap.,20.611,49.182,,,,,
141,07.23.20 klo 10.00.00 ap.,20.568,49.182,,,,,
142,07.23.20 klo 10.30.00 ap.,20.568,49.231,,,,,
143,07.23.20 klo 11.00.00 ap.,20.568,49.231,,,,,
144,07.23.20 klo 11.30.00 ap.,20.525,49.182,,,,,
145,07.23.20 klo 12.00.00 ip.,20.568,49.206,,,,,
146,07.23.20 klo 12.30.00 ip.,20.611,49.206,,,,,
147,07.23.20 klo 01.00.00 ip.,20.654,49.231,,,,,
148,07.23.20 klo 01.30.00 ip.,20.697,49.231,,,,,
149,07.23.20 klo 02.00.00 ip.,20.740,49.231,,,,,
150,07.23.20 klo 02.30.00 ip.,20.740,49.182,,,,,
151,07.23.20 klo 03.00.00 ip.,20.697,49.182,,,,,
152,07.23.20 klo 03.30.00 ip.,20.697,49.060,,,,,
153,07.23.20 klo 04.00.00 ip.,20.654,48.987,,,,,
154,07.23.20 klo 04.30.00 ip.,20.611,48.913,,,,,
155,07.23.20 klo 05.00.00 ip.,20.611,48.816,,,,,
156,07.23.20 klo 05.30.00 ip.,20.611,48.742,,,,,
157,07.23.20 klo 06.00.00 ip.,20.654,48.718,,,,,
158,07.23.20 klo 06.30.00 ip.,20.654,48.645,,,,,
159,07.23.20 klo 07.00.00 ip.,20.654,48.571,,,,,
160,07.23.20 klo 07.30.00 ip.,20.654,48.523,,,,,
161,07.23.20 klo 08.00.00 ip.,20.568,48.425,,,,,
162,07.23.20 klo 08.30.00 ip.,20.568,48.352,,,,,
163,07.23.20 klo 09.00.00 ip.,20.525,48.303,,,,,
164,07.23.20 klo 09.30.00 ip.,20.568,48.254,,,,,
165,07.23.20 klo 10.00.00 ip.,20.568,48.254,,,,,
166,07.23.20 klo 10.30.00 ip.,20.568,48.181,,,,,
167,07.23.20 klo 11.00.00 ip.,20.654,48.205,,,,,
168,07.23.20 klo 11.30.00 ip.,20.654,48.181,,,,,
169,07.24.20 klo 12.00.00 ap.,20.697,48.083,,,,,
170,07.24.20 klo 12.30.00 ap.,20.697,48.107,,,,,
171,07.24.20 klo 01.00.00 ap.,20.740,48.156,,,,,
172,07.24.20 klo 01.30.00 ap.,20.740,48.107,,,,,
173,07.24.20 klo 02.00.00 ap.,20.740,48.107,,,,,
174,07.24.20 klo 02.30.00 ap.,20.782,48.107,,,,,
175,07.24.20 klo 03.00.00 ap.,20.782,48.059,,,,,
176,07.24.20 klo 03.30.00 ap.,20.782,48.034,,,,,
177,07.24.20 klo 04.00.00 ap.,20.782,48.010,,,,,
178,07.24.20 klo 04.30.00 ap.,20.782,47.961,,,,,
179,07.24.20 klo 05.00.00 ap.,20.782,48.010,,,,,
180,07.24.20 klo 05.30.00 ap.,20.825,47.961,,,,,
181,07.24.20 klo 06.00.00 ap.,20.825,47.912,,,,,
182,07.24.20 klo 06.30.00 ap.,20.825,47.888,,,,,
183,07.24.20 klo 07.00.00 ap.,20.825,47.888,,,,,
184,07.24.20 klo 07.30.00 ap.,20.825,47.863,,,,,
185,07.24.20 klo 08.00.00 ap.,20.825,47.839,,,,,
186,07.24.20 klo 08.30.00 ap.,20.825,47.888,,,,,
187,07.24.20 klo 09.00.00 ap.,20.825,47.814,,,,,
188,07.24.20 klo 09.30.00 ap.,20.825,47.814,,,,,
189,07.24.20 klo 10.00.00 ap.,20.825,47.766,,,,,
190,07.24.20 klo 10.30.00 ap.,20.825,47.741,,,,,
191,07.24.20 klo 11.00.00 ap.,20.868,47.717,,,,,
192,07.24.20 klo 11.30.00 ap.,20.911,47.741,,,,,
193,07.24.20 klo 12.00.00 ip.,20.954,47.790,,,,,
194,07.24.20 klo 12.30.00 ip.,20.997,47.790,,,,,
195,07.24.20 klo 01.00.00 ip.,20.997,47.766,,,,,
196,07.24.20 klo 01.30.00 ip.,21.040,47.766,,,,,
197,07.24.20 klo 02.00.00 ip.,21.040,47.814,,,,,
198,07.24.20 klo 02.30.00 ip.,21.083,47.790,,,,,
199,07.24.20 klo 03.00.00 ip.,21.040,47.814,,,,,
200,07.24.20 klo 03.30.00 ip.,21.040,47.814,,,,,
201,07.24.20 klo 04.00.00 ip.,21.040,47.814,,,,,
202,07.24.20 klo 04.30.00 ip.,21.040,47.790,,,,,
203,07.24.20 klo 05.00.00 ip.,20.997,47.814,,,,,
204,07.24.20 klo 05.30.00 ip.,20.997,47.839,,,,,
205,07.24.20 klo 06.00.00 ip.,20.997,47.814,,,,,
206,07.24.20 klo 06.30.00 ip.,20.997,47.839,,,,,
207,07.24.20 klo 07.00.00 ip.,20.997,47.863,,,,,
208,07.24.20 klo 07.30.00 ip.,20.997,47.863,,,,,
209,07.24.20 klo 08.00.00 ip.,20.997,47.839,,,,,
210,07.24.20 klo 08.30.00 ip.,20.997,47.863,,,,,
211,07.24.20 klo 09.00.00 ip.,20.954,47.863,,,,,
212,07.24.20 klo 09.30.00 ip.,21.040,47.912,,,,,
213,07.24.20 klo 10.00.00 ip.,21.040,47.937,,,,,
214,07.24.20 klo 10.30.00 ip.,21.040,47.937,,,,,
215,07.24.20 klo 11.00.00 ip.,21.040,48.010,,,,,
216,07.24.20 klo 11.30.00 ip.,20.997,48.083,,,,,
217,07.25.20 klo 12.00.00 ap.,20.997,48.083,,,,,
218,07.25.20 klo 12.30.00 ap.,21.040,48.156,,,,,
219,07.25.20 klo 01.00.00 ap.,20.997,48.230,,,,,
220,07.25.20 klo 01.30.00 ap.,21.040,48.278,,,,,
221,07.25.20 klo 02.00.00 ap.,21.040,48.352,,,,,
222,07.25.20 klo 02.30.00 ap.,21.083,48.474,,,,,
223,07.25.20 klo 03.00.00 ap.,21.126,48.547,,,,,
224,07.25.20 klo 03.30.00 ap.,21.169,48.620,,,,,
225,07.25.20 klo 04.00.00 ap.,21.211,48.694,,,,,
226,07.25.20 klo 04.30.00 ap.,21.211,48.791,,,,,
227,07.25.20 klo 05.00.00 ap.,21.254,48.816,,,,,
228,07.25.20 klo 05.30.00 ap.,21.254,48.913,,,,,
229,07.25.20 klo 06.00.00 ap.,21.254,49.011,,,,,
230,07.25.20 klo 06.30.00 ap.,21.297,49.035,,,,,
231,07.25.20 klo 07.00.00 ap.,21.297,49.084,,,,,
232,07.25.20 klo 07.30.00 ap.,21.254,49.133,,,,,
233,07.25.20 klo 08.00.00 ap.,21.297,49.158,,,,,
234,07.25.20 klo 08.30.00 ap.,21.297,49.255,,,,,
235,07.25.20 klo 09.00.00 ap.,21.297,49.280,,,,,
236,07.25.20 klo 09.30.00 ap.,21.254,49.280,,,,,
237,07.25.20 klo 10.00.00 ap.,21.254,49.304,,,,,
238,07.25.20 klo 10.30.00 ap.,21.254,49.304,,,,,
239,07.25.20 klo 11.00.00 ap.,21.254,49.353,,,,,
240,07.25.20 klo 11.30.00 ap.,21.254,49.353,,,,,
241,07.25.20 klo 12.00.00 ip.,21.254,49.353,,,,,
242,07.25.20 klo 12.30.00 ip.,21.254,49.304,,,,,
243,07.25.20 klo 01.00.00 ip.,21.211,49.328,,,,,
244,07.25.20 klo 01.30.00 ip.,21.169,49.328,,,,,
245,07.25.20 klo 02.00.00 ip.,21.169,49.280,,,,,
246,07.25.20 klo 02.30.00 ip.,21.169,49.255,,,,,
247,07.25.20 klo 03.00.00 ip.,21.126,49.231,,,,,
248,07.25.20 klo 03.30.00 ip.,21.083,49.182,,,,,
249,07.25.20 klo 04.00.00 ip.,21.040,49.084,,,,,
250,07.25.20 klo 04.30.00 ip.,21.040,49.060,,,,,
251,07.25.20 klo 05.00.00 ip.,21.040,48.987,,,,,
252,07.25.20 klo 05.30.00 ip.,20.997,48.938,,,,,
253,07.25.20 klo 06.00.00 ip.,20.997,48.889,,,,,
254,07.25.20 klo 06.30.00 ip.,20.997,48.791,,,,,
255,07.25.20 klo 07.00.00 ip.,20.997,48.767,,,,,
256,07.25.20 klo 07.30.00 ip.,20.997,48.694,,,,,
257,07.25.20 klo 08.00.00 ip.,20.997,48.620,,,,,
258,07.25.20 klo 08.30.00 ip.,20.997,48.645,,,,,
259,07.25.20 klo 09.00.00 ip.,20.997,48.523,,,,,
260,07.25.20 klo 09.30.00 ip.,20.997,48.474,,,,,
261,07.25.20 klo 10.00.00 ip.,20.954,48.400,,,,,
262,07.25.20 klo 10.30.00 ip.,20.954,48.327,,,,,
263,07.25.20 klo 11.00.00 ip.,20.954,48.278,,,,,
264,07.25.20 klo 11.30.00 ip.,20.954,48.278,,,,,
265,07.26.20 klo 12.00.00 ap.,20.911,48.230,,,,,
266,07.26.20 klo 12.30.00 ap.,20.911,48.156,,,,,
267,07.26.20 klo 01.00.00 ap.,20.911,48.132,,,,,
268,07.26.20 klo 01.30.00 ap.,20.954,48.132,,,,,
269,07.26.20 klo 02.00.00 ap.,20.954,48.083,,,,,
270,07.26.20 klo 02.30.00 ap.,20.997,48.059,,,,,
271,07.26.20 klo 03.00.00 ap.,20.997,48.083,,,,,
272,07.26.20 klo 03.30.00 ap.,20.997,48.034,,,,,
273,07.26.20 klo 04.00.00 ap.,21.040,48.059,,,,,
274,07.26.20 klo 04.30.00 ap.,21.040,48.107,,,,,
275,07.26.20 klo 05.00.00 ap.,21.040,48.059,,,,,
276,07.26.20 klo 05.30.00 ap.,21.083,48.107,,,,,
277,07.26.20 klo 06.00.00 ap.,21.083,48.034,,,,,
278,07.26.20 klo 06.30.00 ap.,21.083,48.083,,,,,
279,07.26.20 klo 07.00.00 ap.,21.126,48.034,,,,,
280,07.26.20 klo 07.30.00 ap.,21.126,48.034,,,,,
281,07.26.20 klo 08.00.00 ap.,21.126,48.107,,,,,
282,07.26.20 klo 08.30.00 ap.,21.126,48.107,,,,,
283,07.26.20 klo 09.00.00 ap.,21.169,48.083,,,,,
