"Plot Title: 20864582"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864582, SEN S/N: 20864582)","RH, % (LGR S/N: 20864582, SEN S/N: 20864582)","Coupler Detached (LGR S/N: 20864582)","Coupler Attached (LGR S/N: 20864582)","Host Connected (LGR S/N: 20864582)","Stopped (LGR S/N: 20864582)","End Of File (LGR S/N: 20864582)"
1,08.09.20 klo 02.37.02 ip.,22.498,42.979,,,,,
2,08.09.20 klo 02.37.11 ip.,,,Logged,,,,
3,08.09.20 klo 03.07.02 ip.,23.356,39.438,,,,,
4,08.09.20 klo 03.37.02 ip.,23.528,40.000,,,,,
5,08.09.20 klo 04.07.02 ip.,23.657,39.487,,,,,
6,08.09.20 klo 04.37.02 ip.,23.785,38.779,,,,,
7,08.09.20 klo 05.07.02 ip.,23.871,39.267,,,,,
8,08.09.20 klo 05.37.02 ip.,23.871,40.415,,,,,
9,08.09.20 klo 06.07.02 ip.,23.743,39.658,,,,,
10,08.09.20 klo 06.37.02 ip.,23.657,39.512,,,,,
11,08.09.20 klo 07.07.02 ip.,23.571,39.438,,,,,
12,08.09.20 klo 07.37.02 ip.,23.571,39.463,,,,,
13,08.09.20 klo 08.07.02 ip.,23.614,40.733,,,,,
14,08.09.20 klo 08.37.02 ip.,23.614,39.707,,,,,
15,08.09.20 klo 09.07.02 ip.,23.614,39.585,,,,,
16,08.09.20 klo 09.37.02 ip.,23.614,38.779,,,,,
17,08.09.20 klo 10.07.02 ip.,23.614,38.291,,,,,
18,08.09.20 klo 10.37.02 ip.,23.614,38.681,,,,,
19,08.09.20 klo 11.07.02 ip.,23.485,38.535,,,,,
20,08.09.20 klo 11.37.02 ip.,23.314,38.486,,,,,
21,08.10.20 klo 12.07.02 ap.,23.271,38.217,,,,,
22,08.10.20 klo 12.37.02 ap.,23.228,38.388,,,,,
23,08.10.20 klo 01.07.02 ap.,23.142,38.584,,,,,
24,08.10.20 klo 01.37.02 ap.,23.099,38.608,,,,,
25,08.10.20 klo 02.07.02 ap.,23.099,38.877,,,,,
26,08.10.20 klo 02.37.02 ap.,23.013,38.877,,,,,
27,08.10.20 klo 03.07.02 ap.,22.885,37.436,,,,,
28,08.10.20 klo 03.37.02 ap.,22.799,36.850,,,,,
29,08.10.20 klo 04.07.02 ap.,22.799,37.558,,,,,
30,08.10.20 klo 04.37.02 ap.,22.756,38.046,,,,,
31,08.10.20 klo 05.07.02 ap.,22.713,37.680,,,,,
32,08.10.20 klo 05.37.02 ap.,22.713,37.778,,,,,
33,08.10.20 klo 06.07.02 ap.,22.713,37.851,,,,,
34,08.10.20 klo 06.37.02 ap.,22.713,38.339,,,,,
35,08.10.20 klo 07.07.02 ap.,22.713,38.657,,,,,
36,08.10.20 klo 07.37.02 ap.,22.670,38.828,,,,,
37,08.10.20 klo 08.07.02 ap.,22.756,39.170,,,,,
38,08.10.20 klo 08.37.02 ap.,22.713,38.339,,,,,
39,08.10.20 klo 09.07.02 ap.,22.670,37.631,,,,,
40,08.10.20 klo 09.37.02 ap.,22.670,38.315,,,,,
41,08.10.20 klo 10.07.02 ap.,22.713,38.510,,,,,
42,08.10.20 klo 10.37.02 ap.,22.713,38.095,,,,,
43,08.10.20 klo 11.07.02 ap.,22.627,37.534,,,,,
44,08.10.20 klo 11.37.02 ap.,22.627,37.436,,,,,
45,08.10.20 klo 12.07.02 ip.,22.627,37.021,,,,,
46,08.10.20 klo 12.37.02 ip.,22.627,37.705,,,,,
47,08.10.20 klo 01.07.02 ip.,22.627,37.875,,,,,
48,08.10.20 klo 01.37.02 ip.,22.584,37.998,,,,,
49,08.10.20 klo 02.07.02 ip.,22.584,37.827,,,,,
50,08.10.20 klo 02.37.02 ip.,22.498,37.973,,,,,
51,08.10.20 klo 03.07.02 ip.,22.498,38.266,,,,,
52,08.10.20 klo 03.37.02 ip.,22.456,38.364,,,,,
53,08.10.20 klo 04.07.02 ip.,22.413,38.510,,,,,
54,08.10.20 klo 04.37.02 ip.,22.541,38.486,,,,,
55,08.10.20 klo 05.07.02 ip.,22.456,38.535,,,,,
56,08.10.20 klo 05.37.02 ip.,22.456,39.609,,,,,
57,08.10.20 klo 06.07.02 ip.,22.584,40.635,,,,,
58,08.10.20 klo 06.37.02 ip.,22.498,40.317,,,,,
59,08.10.20 klo 07.07.02 ip.,22.584,40.855,,,,,
60,08.10.20 klo 07.37.02 ip.,22.670,40.757,,,,,
61,08.10.20 klo 08.07.02 ip.,22.670,40.586,,,,,
62,08.10.20 klo 08.37.02 ip.,22.713,40.537,,,,,
63,08.10.20 klo 09.07.02 ip.,22.756,40.366,,,,,
64,08.10.20 klo 09.37.02 ip.,22.756,40.952,,,,,
65,08.10.20 klo 10.07.02 ip.,22.627,40.537,,,,,
