"Plot Title:  20849256"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849256, SEN S/N: 20849256)","RH, % (LGR S/N: 20849256, SEN S/N: 20849256)","Coupler Detached (LGR S/N: 20849256)","Bad Battery (LGR S/N: 20849256)","Good Battery (LGR S/N: 20849256)","Coupler Attached (LGR S/N: 20849256)","Host Connected (LGR S/N: 20849256)","Stopped (LGR S/N: 20849256)","End Of File (LGR S/N: 20849256)"
1,08.16.20 klo 03.09.17 ip.,22.413,37.509,,,,,,,
2,08.16.20 klo 03.09.40 ip.,,,Logged,,,,,,
3,08.16.20 klo 03.39.17 ip.,22.584,36.606,,,,,,,
4,08.16.20 klo 04.09.17 ip.,22.456,36.044,,,,,,,
5,08.16.20 klo 04.39.17 ip.,22.370,35.971,,,,,,,
6,08.16.20 klo 05.09.17 ip.,22.327,35.946,,,,,,,
7,08.16.20 klo 05.39.17 ip.,22.284,35.800,,,,,,,
8,08.16.20 klo 06.09.17 ip.,22.198,35.067,,,,,,,
9,08.16.20 klo 06.39.17 ip.,22.155,34.505,,,,,,,
10,08.16.20 klo 07.09.17 ip.,22.112,33.944,,,,,,,
11,08.16.20 klo 07.39.17 ip.,22.027,35.140,,,,,,,
12,08.16.20 klo 08.09.17 ip.,21.941,34.896,,,,,,,
13,08.16.20 klo 08.39.17 ip.,21.984,34.799,,,,,,,
14,08.16.20 klo 09.09.17 ip.,21.984,34.969,,,,,,,
15,08.16.20 klo 09.39.17 ip.,22.027,34.701,,,,,,,
16,08.16.20 klo 10.09.17 ip.,22.027,34.603,,,,,,,
17,08.16.20 klo 10.39.17 ip.,21.984,33.993,,,,,,,
18,08.16.20 klo 11.09.17 ip.,21.812,33.236,,,,,,,
19,08.16.20 klo 11.39.17 ip.,21.769,32.601,,,,,,,
20,08.17.20 klo 12.09.17 ap.,21.683,32.625,,,,,,,
21,08.17.20 klo 12.39.17 ap.,21.640,32.601,,,,,,,
22,08.17.20 klo 01.09.17 ap.,21.512,32.332,,,,,,,
23,08.17.20 klo 01.39.17 ap.,21.512,32.576,,,,,,,
24,08.17.20 klo 02.09.17 ap.,21.426,32.650,,,,,,,
25,08.17.20 klo 02.39.17 ap.,21.426,33.651,,,,,,,
26,08.17.20 klo 03.09.17 ap.,21.469,33.822,,,,,,,
27,08.17.20 klo 03.39.17 ap.,21.426,34.286,,,,,,,
28,08.17.20 klo 04.09.17 ap.,21.426,34.530,,,,,,,
29,08.17.20 klo 04.39.17 ap.,21.426,34.799,,,,,,,
30,08.17.20 klo 05.09.17 ap.,21.426,35.238,,,,,,,
31,08.17.20 klo 05.39.17 ap.,21.383,35.507,,,,,,,
32,08.17.20 klo 06.09.17 ap.,21.383,35.409,,,,,,,
33,08.17.20 klo 06.39.17 ap.,21.383,35.336,,,,,,,
34,08.17.20 klo 07.09.17 ap.,21.383,35.433,,,,,,,
35,08.17.20 klo 07.39.17 ap.,21.469,35.726,,,,,,,
36,08.17.20 klo 08.09.17 ap.,21.426,35.507,,,,,,,
37,08.17.20 klo 08.39.17 ap.,21.383,34.652,,,,,,,
38,08.17.20 klo 09.09.17 ap.,21.340,34.261,,,,,,,
39,08.17.20 klo 09.39.17 ap.,21.383,34.286,,,,,,,
40,08.17.20 klo 10.09.17 ap.,21.426,34.676,,,,,,,
41,08.17.20 klo 10.39.17 ap.,21.469,34.847,,,,,,,
42,08.17.20 klo 11.09.17 ap.,21.512,34.847,,,,,,,
43,08.17.20 klo 11.39.17 ap.,21.555,34.237,,,,,,,
44,08.17.20 klo 12.09.17 ip.,21.640,34.945,,,,,,,
45,08.17.20 klo 12.39.17 ip.,21.812,35.116,,,,,,,
46,08.17.20 klo 01.09.17 ip.,21.898,34.847,,,,,,,
47,08.17.20 klo 01.39.17 ip.,22.027,34.383,,,,,,,
48,08.17.20 klo 02.09.17 ip.,22.069,34.505,,,,,,,
49,08.17.20 klo 02.39.17 ip.,22.027,34.408,,,,,,,
50,08.17.20 klo 03.09.17 ip.,21.984,34.017,,,,,,,
51,08.17.20 klo 03.39.17 ip.,21.984,33.407,,,,,,,
52,08.17.20 klo 04.09.17 ip.,21.984,33.407,,,,,,,
53,08.17.20 klo 04.39.17 ip.,21.984,33.602,,,,,,,
54,08.17.20 klo 05.09.17 ip.,21.984,33.675,,,,,,,
55,08.17.20 klo 05.39.17 ip.,21.855,33.504,,,,,,,
56,08.17.20 klo 06.09.17 ip.,21.426,33.309,,,,,,,
57,08.17.20 klo 06.39.17 ip.,21.469,32.918,,,,,,,
58,08.17.20 klo 07.09.17 ip.,21.469,32.821,,,,,,,
59,08.17.20 klo 07.39.17 ip.,21.469,33.431,,,,,,,
