"Plot Title: 20854946"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854946, SEN S/N: 20854946, LBL: AT)","RH, % (LGR S/N: 20854946, SEN S/N: 20854946, LBL: RH)","Coupler Detached (LGR S/N: 20854946)","Coupler Attached (LGR S/N: 20854946)","Host Connected (LGR S/N: 20854946)","Stopped (LGR S/N: 20854946)","End Of File (LGR S/N: 20854946)"
89,07.22.20 klo 08.00.00 ap.,21.426,50.232,,,,,
90,07.22.20 klo 08.30.00 ap.,21.426,50.183,,,,,
91,07.22.20 klo 09.00.00 ap.,21.383,49.963,,,,,
92,07.22.20 klo 09.30.00 ap.,21.383,49.890,,,,,
93,07.22.20 klo 10.00.00 ap.,21.383,49.817,,,,,
94,07.22.20 klo 10.30.00 ap.,21.297,49.451,,,,,
95,07.22.20 klo 11.00.00 ap.,20.997,49.084,,,,,
96,07.22.20 klo 11.30.00 ap.,20.825,48.913,,,,,
97,07.22.20 klo 12.00.00 ip.,20.825,48.889,,,,,
98,07.22.20 klo 12.30.00 ip.,20.868,48.791,,,,,
99,07.22.20 klo 01.00.00 ip.,20.868,48.694,,,,,
100,07.22.20 klo 01.30.00 ip.,20.825,48.620,,,,,
101,07.22.20 klo 02.00.00 ip.,20.825,48.474,,,,,
102,07.22.20 klo 02.30.00 ip.,20.825,48.400,,,,,
103,07.22.20 klo 03.00.00 ip.,20.825,48.303,,,,,
104,07.22.20 klo 03.30.00 ip.,20.911,48.474,,,,,
105,07.22.20 klo 04.00.00 ip.,21.083,48.669,,,,,
106,07.22.20 klo 04.30.00 ip.,21.169,48.938,,,,,
107,07.22.20 klo 05.00.00 ip.,21.169,49.158,,,,,
108,07.22.20 klo 05.30.00 ip.,21.126,49.402,,,,,
109,07.22.20 klo 06.00.00 ip.,21.083,49.646,,,,,
110,07.22.20 klo 06.30.00 ip.,20.997,49.841,,,,,
111,07.22.20 klo 07.00.00 ip.,20.868,49.988,,,,,
112,07.22.20 klo 07.30.00 ip.,20.825,50.061,,,,,
113,07.22.20 klo 08.00.00 ip.,20.740,50.061,,,,,
114,07.22.20 klo 08.30.00 ip.,20.697,50.085,,,,,
115,07.22.20 klo 09.00.00 ip.,20.697,50.085,,,,,
116,07.22.20 klo 09.30.00 ip.,20.482,49.841,,,,,
117,07.22.20 klo 10.00.00 ip.,20.268,49.621,,,,,
118,07.22.20 klo 10.30.00 ip.,20.139,49.597,,,,,
119,07.22.20 klo 11.00.00 ip.,20.182,49.597,,,,,
120,07.22.20 klo 11.30.00 ip.,20.311,49.646,,,,,
121,07.23.20 klo 12.00.00 ap.,20.353,49.670,,,,,
122,07.23.20 klo 12.30.00 ap.,20.396,49.670,,,,,
123,07.23.20 klo 01.00.00 ap.,20.439,49.695,,,,,
124,07.23.20 klo 01.30.00 ap.,20.396,49.670,,,,,
125,07.23.20 klo 02.00.00 ap.,20.439,49.670,,,,,
126,07.23.20 klo 02.30.00 ap.,20.439,49.670,,,,,
127,07.23.20 klo 03.00.00 ap.,20.439,49.719,,,,,
128,07.23.20 klo 03.30.00 ap.,20.439,49.670,,,,,
129,07.23.20 klo 04.00.00 ap.,20.482,49.670,,,,,
130,07.23.20 klo 04.30.00 ap.,20.482,49.621,,,,,
131,07.23.20 klo 05.00.00 ap.,20.482,49.670,,,,,
132,07.23.20 klo 05.30.00 ap.,20.439,49.597,,,,,
133,07.23.20 klo 06.00.00 ap.,20.439,49.621,,,,,
134,07.23.20 klo 06.30.00 ap.,20.482,49.573,,,,,
135,07.23.20 klo 07.00.00 ap.,20.439,49.499,,,,,
136,07.23.20 klo 07.30.00 ap.,20.439,49.451,,,,,
137,07.23.20 klo 08.00.00 ap.,20.439,49.402,,,,,
138,07.23.20 klo 08.30.00 ap.,20.439,49.402,,,,,
139,07.23.20 klo 09.00.00 ap.,20.396,49.280,,,,,
140,07.23.20 klo 09.30.00 ap.,20.182,48.889,,,,,
141,07.23.20 klo 10.00.00 ap.,20.182,49.011,,,,,
142,07.23.20 klo 10.30.00 ap.,20.268,48.962,,,,,
143,07.23.20 klo 11.00.00 ap.,20.353,48.913,,,,,
144,07.23.20 klo 11.30.00 ap.,20.396,48.840,,,,,
145,07.23.20 klo 12.00.00 ip.,20.482,48.889,,,,,
146,07.23.20 klo 12.30.00 ip.,20.568,48.816,,,,,
147,07.23.20 klo 01.00.00 ip.,20.654,48.791,,,,,
148,07.23.20 klo 01.30.00 ip.,20.654,48.694,,,,,
149,07.23.20 klo 02.00.00 ip.,20.654,48.596,,,,,
150,07.23.20 klo 02.30.00 ip.,20.611,48.523,,,,,
151,07.23.20 klo 03.00.00 ip.,20.568,48.400,,,,,
152,07.23.20 klo 03.30.00 ip.,20.482,48.230,,,,,
153,07.23.20 klo 04.00.00 ip.,20.439,48.107,,,,,
154,07.23.20 klo 04.30.00 ip.,20.396,47.985,,,,,
155,07.23.20 klo 05.00.00 ip.,20.482,47.985,,,,,
156,07.23.20 klo 05.30.00 ip.,20.525,48.010,,,,,
157,07.23.20 klo 06.00.00 ip.,20.568,47.961,,,,,
158,07.23.20 klo 06.30.00 ip.,20.525,47.912,,,,,
159,07.23.20 klo 07.00.00 ip.,20.568,47.912,,,,,
160,07.23.20 klo 07.30.00 ip.,20.525,47.790,,,,,
161,07.23.20 klo 08.00.00 ip.,20.482,47.766,,,,,
162,07.23.20 klo 08.30.00 ip.,20.439,47.790,,,,,
163,07.23.20 klo 09.00.00 ip.,20.396,47.692,,,,,
164,07.23.20 klo 09.30.00 ip.,20.482,47.741,,,,,
165,07.23.20 klo 10.00.00 ip.,20.482,47.668,,,,,
