"Plot Title:  20864577"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864577, SEN S/N: 20864577)","RH, % (LGR S/N: 20864577, SEN S/N: 20864577)","Coupler Detached (LGR S/N: 20864577)","Coupler Attached (LGR S/N: 20864577)","Host Connected (LGR S/N: 20864577)","Stopped (LGR S/N: 20864577)","End Of File (LGR S/N: 20864577)"
1,08.09.20 klo 02.40.30 ip.,22.498,43.565,,,,,
2,08.09.20 klo 02.40.50 ip.,,,Logged,,,,
3,08.09.20 klo 02.40.57 ip.,,,,Logged,Logged,,
4,08.09.20 klo 02.41.08 ip.,,,Logged,,,,
5,08.09.20 klo 03.10.30 ip.,23.356,40.488,,,,,
6,08.09.20 klo 03.40.30 ip.,23.571,40.122,,,,,
7,08.09.20 klo 04.10.30 ip.,23.700,38.730,,,,,
8,08.09.20 klo 04.40.30 ip.,23.657,38.901,,,,,
9,08.09.20 klo 05.10.30 ip.,23.785,38.974,,,,,
10,08.09.20 klo 05.40.30 ip.,23.828,39.756,,,,,
11,08.09.20 klo 06.10.30 ip.,23.657,39.219,,,,,
12,08.09.20 klo 06.40.30 ip.,23.571,38.730,,,,,
13,08.09.20 klo 07.10.30 ip.,23.485,38.950,,,,,
14,08.09.20 klo 07.40.30 ip.,23.485,38.779,,,,,
15,08.09.20 klo 08.10.30 ip.,23.571,40.220,,,,,
16,08.09.20 klo 08.40.30 ip.,23.571,39.243,,,,,
17,08.09.20 klo 09.10.30 ip.,23.485,39.780,,,,,
18,08.09.20 klo 09.40.30 ip.,23.485,38.242,,,,,
19,08.09.20 klo 10.10.30 ip.,23.442,37.827,,,,,
20,08.09.20 klo 10.40.30 ip.,23.485,38.291,,,,,
21,08.09.20 klo 11.10.30 ip.,23.314,37.582,,,,,
22,08.09.20 klo 11.40.30 ip.,23.228,38.217,,,,,
23,08.10.20 klo 12.10.30 ap.,23.142,37.827,,,,,
24,08.10.20 klo 12.40.30 ap.,23.099,38.095,,,,,
25,08.10.20 klo 01.10.30 ap.,23.056,38.486,,,,,
26,08.10.20 klo 01.40.30 ap.,23.013,38.584,,,,,
27,08.10.20 klo 02.10.30 ap.,22.970,38.657,,,,,
28,08.10.20 klo 02.40.30 ap.,22.927,37.118,,,,,
29,08.10.20 klo 03.10.30 ap.,22.799,37.436,,,,,
30,08.10.20 klo 03.40.30 ap.,22.756,37.070,,,,,
31,08.10.20 klo 04.10.30 ap.,22.713,37.534,,,,,
