"Plot Title:  20864580"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864580, SEN S/N: 20864580)","RH, % (LGR S/N: 20864580, SEN S/N: 20864580)","Coupler Detached (LGR S/N: 20864580)","Bad Battery (LGR S/N: 20864580)","Good Battery (LGR S/N: 20864580)","Coupler Attached (LGR S/N: 20864580)","Host Connected (LGR S/N: 20864580)","Stopped (LGR S/N: 20864580)","End Of File (LGR S/N: 20864580)"
1,08.09.20 klo 02.32.36 ip.,22.370,43.858,,,,,,,
2,08.09.20 klo 02.32.48 ip.,,,Logged,,,,,,
3,08.09.20 klo 03.02.36 ip.,23.056,42.100,,,,,,,
4,08.09.20 klo 03.32.36 ip.,23.099,42.100,,,,,,,
5,08.09.20 klo 04.02.36 ip.,23.185,41.441,,,,,,,
6,08.09.20 klo 04.32.36 ip.,23.314,41.074,,,,,,,
7,08.09.20 klo 05.02.36 ip.,23.356,40.537,,,,,,,
8,08.09.20 klo 05.32.36 ip.,23.399,40.879,,,,,,,
9,08.09.20 klo 06.02.36 ip.,23.442,40.855,,,,,,,
10,08.09.20 klo 06.32.36 ip.,23.356,40.708,,,,,,,
11,08.09.20 klo 07.02.36 ip.,23.314,40.464,,,,,,,
12,08.09.20 klo 07.32.36 ip.,23.271,40.366,,,,,,,
13,08.09.20 klo 08.02.36 ip.,23.228,40.659,,,,,,,
14,08.09.20 klo 08.32.36 ip.,23.271,40.733,,,,,,,
15,08.09.20 klo 09.02.36 ip.,23.271,40.415,,,,,,,
16,08.09.20 klo 09.32.36 ip.,23.271,40.073,,,,,,,
17,08.09.20 klo 10.02.36 ip.,23.228,39.731,,,,,,,
18,08.09.20 klo 10.32.36 ip.,23.228,39.512,,,,,,,
19,08.09.20 klo 11.02.36 ip.,23.185,39.487,,,,,,,
20,08.09.20 klo 11.32.36 ip.,23.142,39.341,,,,,,,
21,08.10.20 klo 12.02.36 ap.,23.099,39.512,,,,,,,
22,08.10.20 klo 12.32.36 ap.,23.013,39.292,,,,,,,
23,08.10.20 klo 01.02.36 ap.,22.970,39.389,,,,,,,
24,08.10.20 klo 01.32.36 ap.,22.927,39.438,,,,,,,
25,08.10.20 klo 02.02.36 ap.,22.885,39.292,,,,,,,
26,08.10.20 klo 02.32.36 ap.,22.842,39.243,,,,,,,
27,08.10.20 klo 03.02.36 ap.,22.799,39.121,,,,,,,
28,08.10.20 klo 03.32.36 ap.,22.713,38.730,,,,,,,
29,08.10.20 klo 04.02.36 ap.,22.627,38.632,,,,,,,
30,08.10.20 klo 04.32.36 ap.,22.627,38.608,,,,,,,
31,08.10.20 klo 05.02.36 ap.,22.584,38.413,,,,,,,
32,08.10.20 klo 05.32.36 ap.,22.541,38.388,,,,,,,
33,08.10.20 klo 06.02.36 ap.,22.541,38.413,,,,,,,
34,08.10.20 klo 06.32.36 ap.,22.498,38.632,,,,,,,
35,08.10.20 klo 07.02.36 ap.,22.498,38.755,,,,,,,
36,08.10.20 klo 07.32.36 ap.,22.498,38.901,,,,,,,
37,08.10.20 klo 08.02.36 ap.,22.498,38.999,,,,,,,
38,08.10.20 klo 08.32.36 ap.,22.498,38.950,,,,,,,
39,08.10.20 klo 09.02.36 ap.,22.456,38.559,,,,,,,
40,08.10.20 klo 09.32.36 ap.,22.456,38.462,,,,,,,
41,08.10.20 klo 10.02.36 ap.,22.456,38.681,,,,,,,
42,08.10.20 klo 10.32.36 ap.,22.456,38.559,,,,,,,
43,08.10.20 klo 11.02.36 ap.,22.456,38.364,,,,,,,
44,08.10.20 klo 11.32.36 ap.,22.413,38.217,,,,,,,
45,08.10.20 klo 12.02.36 ip.,22.370,38.168,,,,,,,
46,08.10.20 klo 12.32.36 ip.,22.370,38.046,,,,,,,
47,08.10.20 klo 01.02.36 ip.,22.370,38.095,,,,,,,
48,08.10.20 klo 01.32.36 ip.,22.370,38.144,,,,,,,
49,08.10.20 klo 02.02.36 ip.,22.327,38.217,,,,,,,
50,08.10.20 klo 02.32.36 ip.,22.327,38.168,,,,,,,
51,08.10.20 klo 03.02.36 ip.,22.327,38.242,,,,,,,
52,08.10.20 klo 03.32.36 ip.,22.284,38.291,,,,,,,
53,08.10.20 klo 04.02.36 ip.,22.284,38.388,,,,,,,
54,08.10.20 klo 04.32.36 ip.,22.284,38.437,,,,,,,
55,08.10.20 klo 05.02.36 ip.,22.241,38.510,,,,,,,
