"Plot Title:  20849250"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849250, SEN S/N: 20849250)","RH, % (LGR S/N: 20849250, SEN S/N: 20849250)","Coupler Detached (LGR S/N: 20849250)","End Of File (LGR S/N: 20849250)"
1,08.16.20 klo 03.13.31 ip.,22.498,41.661,,
2,08.16.20 klo 03.14.14 ip.,,,Logged,
3,08.16.20 klo 03.43.31 ip.,22.584,36.215,,
4,08.16.20 klo 04.13.31 ip.,22.413,36.215,,
5,08.16.20 klo 04.43.31 ip.,22.327,35.800,,
6,08.16.20 klo 05.13.31 ip.,22.413,35.849,,
7,08.16.20 klo 05.43.31 ip.,22.370,35.507,,
8,08.16.20 klo 06.13.31 ip.,22.241,34.921,,
9,08.16.20 klo 06.43.31 ip.,22.241,34.408,,
10,08.16.20 klo 07.13.31 ip.,22.069,34.383,,
11,08.16.20 klo 07.43.31 ip.,22.069,34.921,,
12,08.16.20 klo 08.13.31 ip.,22.069,34.872,,
13,08.16.20 klo 08.43.31 ip.,22.069,34.725,,
14,08.16.20 klo 09.13.31 ip.,22.112,34.799,,
15,08.16.20 klo 09.43.31 ip.,22.112,34.505,,
16,08.16.20 klo 10.13.31 ip.,22.069,34.432,,
17,08.16.20 klo 10.43.31 ip.,21.984,33.871,,
18,08.16.20 klo 11.13.31 ip.,21.855,33.138,,
19,08.16.20 klo 11.43.31 ip.,21.769,32.869,,
20,08.17.20 klo 12.13.31 ap.,21.683,32.650,,
21,08.17.20 klo 12.43.31 ap.,21.640,32.601,,
22,08.17.20 klo 01.13.31 ap.,21.555,32.454,,
23,08.17.20 klo 01.43.31 ap.,21.555,32.772,,
24,08.17.20 klo 02.13.31 ap.,21.512,32.601,,
25,08.17.20 klo 02.43.31 ap.,21.512,33.675,,
26,08.17.20 klo 03.13.31 ap.,21.512,33.968,,
27,08.17.20 klo 03.43.31 ap.,21.512,34.286,,
28,08.17.20 klo 04.13.31 ap.,21.512,34.603,,
29,08.17.20 klo 04.43.31 ap.,21.469,35.116,,
30,08.17.20 klo 05.13.31 ap.,21.512,35.189,,
31,08.17.20 klo 05.43.31 ap.,21.512,35.482,,
32,08.17.20 klo 06.13.31 ap.,21.469,35.336,,
33,08.17.20 klo 06.43.31 ap.,21.469,35.165,,
34,08.17.20 klo 07.13.31 ap.,21.512,35.263,,
35,08.17.20 klo 07.43.31 ap.,21.555,35.702,,
36,08.17.20 klo 08.13.31 ap.,21.555,34.823,,
37,08.17.20 klo 08.43.31 ap.,21.469,34.408,,
38,08.17.20 klo 09.13.31 ap.,21.469,33.700,,
39,08.17.20 klo 09.43.31 ap.,21.555,34.139,,
40,08.17.20 klo 10.13.31 ap.,21.598,34.628,,
41,08.17.20 klo 10.43.31 ap.,21.640,34.676,,
42,08.17.20 klo 11.13.31 ap.,21.683,34.505,,
43,08.17.20 klo 11.43.31 ap.,21.769,34.042,,
44,08.17.20 klo 12.13.31 ip.,21.984,34.554,,
45,08.17.20 klo 12.43.31 ip.,22.112,34.603,,
46,08.17.20 klo 01.13.31 ip.,22.198,34.335,,
47,08.17.20 klo 01.43.31 ip.,22.241,34.432,,
48,08.17.20 klo 02.13.31 ip.,22.284,34.164,,
49,08.17.20 klo 02.43.31 ip.,22.155,34.212,,
50,08.17.20 klo 03.13.31 ip.,22.112,33.797,,
51,08.17.20 klo 03.43.31 ip.,22.155,33.407,,
52,08.17.20 klo 04.13.31 ip.,22.198,33.162,,
53,08.17.20 klo 04.43.31 ip.,22.112,33.407,,
54,08.17.20 klo 05.13.31 ip.,22.027,33.578,,
55,08.17.20 klo 05.43.31 ip.,21.083,32.283,,
56,08.17.20 klo 06.13.31 ip.,21.555,33.089,,
57,08.17.20 klo 06.43.31 ip.,21.683,32.527,,
58,08.17.20 klo 07.13.31 ip.,21.640,32.674,,
59,08.17.20 klo 07.43.31 ip.,21.726,33.333,,
60,08.17.20 klo 08.13.31 ip.,21.640,33.333,,
61,08.17.20 klo 08.43.31 ip.,21.726,33.504,,
62,08.17.20 klo 09.13.31 ip.,21.683,33.797,,
63,08.17.20 klo 09.43.31 ip.,21.683,34.505,,
64,08.17.20 klo 10.13.31 ip.,21.683,34.896,,
65,08.17.20 klo 10.43.31 ip.,21.640,35.824,,
66,08.17.20 klo 11.13.31 ip.,21.598,36.190,,
67,08.17.20 klo 11.43.31 ip.,21.555,36.288,,
68,08.18.20 klo 12.13.31 ap.,21.469,36.361,,
69,08.18.20 klo 12.43.31 ap.,21.469,36.386,,
70,08.18.20 klo 01.13.31 ap.,21.426,36.337,,
71,08.18.20 klo 01.43.31 ap.,21.469,36.166,,
72,08.18.20 klo 02.13.31 ap.,21.469,36.093,,
73,08.18.20 klo 02.43.31 ap.,21.426,36.068,,
74,08.18.20 klo 03.13.31 ap.,21.426,36.117,,
75,08.18.20 klo 03.43.31 ap.,21.469,35.995,,
76,08.18.20 klo 04.13.31 ap.,21.426,36.020,,
77,08.18.20 klo 04.43.31 ap.,21.426,36.020,,
78,08.18.20 klo 05.13.31 ap.,21.426,35.946,,
79,08.18.20 klo 05.43.31 ap.,21.426,36.020,,
