"Plot Title:  20854979"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854979, SEN S/N: 20854979)","RH, % (LGR S/N: 20854979, SEN S/N: 20854979)","Coupler Detached (LGR S/N: 20854979)","Bad Battery (LGR S/N: 20854979)","Good Battery (LGR S/N: 20854979)","Coupler Attached (LGR S/N: 20854979)","Host Connected (LGR S/N: 20854979)","Stopped (LGR S/N: 20854979)","End Of File (LGR S/N: 20854979)"
1,08.03.20 klo 08.07.53 ip.,25.459,40.757,,,,,,,
2,08.03.20 klo 08.08.02 ip.,,,Logged,,,,,,
3,08.03.20 klo 08.37.53 ip.,26.746,37.363,,,,,,,
4,08.03.20 klo 09.07.53 ip.,26.145,41.661,,,,,,,
5,08.03.20 klo 09.37.53 ip.,25.587,41.954,,,,,,,
6,08.03.20 klo 10.07.53 ip.,25.201,42.247,,,,,,,
7,08.03.20 klo 10.37.53 ip.,24.601,42.759,,,,,,,
8,08.03.20 klo 11.07.53 ip.,24.214,42.540,,,,,,,
9,08.03.20 klo 11.37.53 ip.,23.914,41.954,,,,,,,
10,08.04.20 klo 12.07.53 ap.,23.700,41.465,,,,,,,
11,08.04.20 klo 12.37.53 ap.,23.485,41.441,,,,,,,
12,08.04.20 klo 01.07.53 ap.,23.356,41.807,,,,,,,
13,08.04.20 klo 01.37.53 ap.,23.271,41.636,,,,,,,
14,08.04.20 klo 02.07.53 ap.,23.228,41.392,,,,,,,
15,08.04.20 klo 02.37.53 ap.,23.185,41.245,,,,,,,
16,08.04.20 klo 03.07.53 ap.,23.142,41.026,,,,,,,
17,08.04.20 klo 03.37.53 ap.,23.099,40.806,,,,,,,
18,08.04.20 klo 04.07.53 ap.,23.056,40.684,,,,,,,
19,08.04.20 klo 04.37.53 ap.,23.056,40.488,,,,,,,
20,08.04.20 klo 05.07.53 ap.,23.056,40.269,,,,,,,
21,08.04.20 klo 05.37.53 ap.,23.013,40.073,,,,,,,
22,08.04.20 klo 06.07.53 ap.,23.056,40.000,,,,,,,
23,08.04.20 klo 06.37.53 ap.,23.013,39.878,,,,,,,
24,08.04.20 klo 07.07.53 ap.,23.013,39.731,,,,,,,
25,08.04.20 klo 07.37.53 ap.,23.056,39.609,,,,,,,
26,08.04.20 klo 08.07.53 ap.,23.228,40.586,,,,,,,
27,08.04.20 klo 08.37.53 ap.,22.885,40.830,,,,,,,
28,08.04.20 klo 09.07.53 ap.,22.970,42.711,,,,,,,
29,08.04.20 klo 09.37.53 ap.,22.498,41.954,,,,,,,
30,08.04.20 klo 10.07.53 ap.,22.027,42.857,,,,,,,
31,08.04.20 klo 10.37.53 ap.,17.522,60.537,,,,,,,
32,08.04.20 klo 11.07.53 ap.,20.010,45.592,,,,,,,
33,08.04.20 klo 11.37.53 ap.,22.327,36.337,,,,,,,
34,08.04.20 klo 12.07.53 ip.,18.509,46.618,,,,,,,
35,08.04.20 klo 12.37.53 ip.,20.311,36.703,,,,,,,
36,08.04.20 klo 01.07.53 ip.,23.528,33.333,,,,,,,
37,08.04.20 klo 01.37.53 ip.,19.281,40.122,,,,,,,
38,08.04.20 klo 02.07.53 ip.,21.126,38.144,,,,,,,
39,08.04.20 klo 02.37.53 ip.,18.680,44.029,,,,,,,
40,08.04.20 klo 03.07.53 ip.,20.010,42.100,,,,,,,
41,08.04.20 klo 03.37.53 ip.,22.541,33.773,,,,,,,
42,08.04.20 klo 04.07.53 ip.,21.469,35.507,,,,,,,
43,08.04.20 klo 04.37.53 ip.,22.498,35.556,,,,,,,
44,08.04.20 klo 05.07.53 ip.,18.123,51.355,,,,,,,
45,08.04.20 klo 05.37.53 ip.,20.568,45.812,,,,,,,
46,08.04.20 klo 06.07.53 ip.,19.410,49.402,,,,,,,
47,08.04.20 klo 06.37.53 ip.,18.852,48.230,,,,,,,
48,08.04.20 klo 07.07.53 ip.,18.208,50.208,,,,,,,
49,08.04.20 klo 07.37.53 ip.,15.763,56.972,,,,,,,
50,08.04.20 klo 08.07.53 ip.,15.163,66.471,,,,,,,
51,08.04.20 klo 08.37.53 ip.,14.262,76.703,,,,,,,
52,08.04.20 klo 09.07.53 ip.,13.275,82.808,,,,,,,
53,08.04.20 klo 09.37.53 ip.,11.988,90.012,,,,,,,
