"Plot Title:  20849235"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849235, SEN S/N: 20849235)","RH, % (LGR S/N: 20849235, SEN S/N: 20849235)","Coupler Detached (LGR S/N: 20849235)","Coupler Attached (LGR S/N: 20849235)","Host Connected (LGR S/N: 20849235)","Stopped (LGR S/N: 20849235)","End Of File (LGR S/N: 20849235)"
1,08.16.20 klo 03.34.07 ip.,22.670,36.947,,,,,
2,08.16.20 klo 03.34.17 ip.,,,Logged,,,,
3,08.16.20 klo 04.04.07 ip.,22.541,36.215,,,,,
4,08.16.20 klo 04.34.07 ip.,22.498,36.068,,,,,
5,08.16.20 klo 05.04.07 ip.,22.456,35.995,,,,,
6,08.16.20 klo 05.34.07 ip.,22.456,35.629,,,,,
7,08.16.20 klo 06.04.07 ip.,22.284,35.311,,,,,
8,08.16.20 klo 06.34.07 ip.,22.284,34.579,,,,,
9,08.16.20 klo 07.04.07 ip.,22.284,34.164,,,,,
10,08.16.20 klo 07.34.07 ip.,22.112,35.189,,,,,
11,08.16.20 klo 08.04.07 ip.,22.112,34.823,,,,,
12,08.16.20 klo 08.34.07 ip.,22.155,34.847,,,,,
13,08.16.20 klo 09.04.07 ip.,22.112,34.750,,,,,
14,08.16.20 klo 09.34.07 ip.,22.112,34.676,,,,,
15,08.16.20 klo 10.04.07 ip.,22.155,34.676,,,,,
16,08.16.20 klo 10.34.07 ip.,22.112,34.261,,,,,
17,08.16.20 klo 11.04.07 ip.,21.984,33.407,,,,,
18,08.16.20 klo 11.34.07 ip.,21.855,33.309,,,,,
19,08.17.20 klo 12.04.07 ap.,21.769,32.601,,,,,
20,08.17.20 klo 12.34.07 ap.,21.726,32.698,,,,,
21,08.17.20 klo 01.04.07 ap.,21.683,32.552,,,,,
22,08.17.20 klo 01.34.07 ap.,21.598,33.016,,,,,
23,08.17.20 klo 02.04.07 ap.,21.598,32.576,,,,,
24,08.17.20 klo 02.34.07 ap.,21.598,33.651,,,,,
25,08.17.20 klo 03.04.07 ap.,21.555,33.724,,,,,
26,08.17.20 klo 03.34.07 ap.,21.555,34.310,,,,,
27,08.17.20 klo 04.04.07 ap.,21.555,34.359,,,,,
28,08.17.20 klo 04.34.07 ap.,21.512,34.701,,,,,
29,08.17.20 klo 05.04.07 ap.,21.512,35.311,,,,,
30,08.17.20 klo 05.34.07 ap.,21.512,35.507,,,,,
31,08.17.20 klo 06.04.07 ap.,21.555,35.336,,,,,
32,08.17.20 klo 06.34.07 ap.,21.555,35.336,,,,,
33,08.17.20 klo 07.04.07 ap.,21.512,35.311,,,,,
34,08.17.20 klo 07.34.07 ap.,21.555,35.604,,,,,
35,08.17.20 klo 08.04.07 ap.,21.640,35.726,,,,,
36,08.17.20 klo 08.34.07 ap.,21.555,34.676,,,,,
37,08.17.20 klo 09.04.07 ap.,21.512,34.237,,,,,
38,08.17.20 klo 09.34.07 ap.,21.512,34.408,,,,,
39,08.17.20 klo 10.04.07 ap.,21.512,34.725,,,,,
40,08.17.20 klo 10.34.07 ap.,21.598,34.896,,,,,
41,08.17.20 klo 11.04.07 ap.,21.598,34.847,,,,,
42,08.17.20 klo 11.34.07 ap.,21.726,34.432,,,,,
43,08.17.20 klo 12.04.07 ip.,21.812,35.140,,,,,
44,08.17.20 klo 12.34.07 ip.,21.941,35.018,,,,,
45,08.17.20 klo 01.04.07 ip.,22.069,34.969,,,,,
46,08.17.20 klo 01.34.07 ip.,22.155,34.359,,,,,
47,08.17.20 klo 02.04.07 ip.,22.284,34.652,,,,,
48,08.17.20 klo 02.34.07 ip.,22.241,34.408,,,,,
49,08.17.20 klo 03.04.07 ip.,22.112,34.286,,,,,
50,08.17.20 klo 03.34.07 ip.,22.112,33.504,,,,,
51,08.17.20 klo 04.04.07 ip.,22.198,33.578,,,,,
52,08.17.20 klo 04.34.07 ip.,22.155,33.700,,,,,
53,08.17.20 klo 05.04.07 ip.,22.112,33.871,,,,,
54,08.17.20 klo 05.34.07 ip.,21.984,33.748,,,,,
55,08.17.20 klo 06.04.07 ip.,21.383,33.504,,,,,
56,08.17.20 klo 06.34.07 ip.,21.640,33.040,,,,,
57,08.17.20 klo 07.04.07 ip.,21.640,32.674,,,,,
58,08.17.20 klo 07.34.07 ip.,21.640,33.138,,,,,
59,08.17.20 klo 08.04.07 ip.,21.640,33.553,,,,,
60,08.17.20 klo 08.34.07 ip.,21.640,33.748,,,,,
61,08.17.20 klo 09.04.07 ip.,21.640,33.944,,,,,
62,08.17.20 klo 09.34.07 ip.,21.683,34.359,,,,,
63,08.17.20 klo 10.04.07 ip.,21.640,34.725,,,,,
64,08.17.20 klo 10.34.07 ip.,21.683,35.556,,,,,
65,08.17.20 klo 11.04.07 ip.,21.640,36.190,,,,,
66,08.17.20 klo 11.34.07 ip.,21.598,36.239,,,,,
67,08.18.20 klo 12.04.07 ap.,21.555,36.410,,,,,
68,08.18.20 klo 12.34.07 ap.,21.512,36.484,,,,,
69,08.18.20 klo 01.04.07 ap.,21.426,36.459,,,,,
70,08.18.20 klo 01.34.07 ap.,21.469,36.410,,,,,
71,08.18.20 klo 02.04.07 ap.,21.469,36.313,,,,,
72,08.18.20 klo 02.34.07 ap.,21.469,36.313,,,,,
73,08.18.20 klo 03.04.07 ap.,21.426,36.288,,,,,
74,08.18.20 klo 03.34.07 ap.,21.383,36.313,,,,,
75,08.18.20 klo 04.04.07 ap.,21.426,36.264,,,,,
76,08.18.20 klo 04.34.07 ap.,21.426,36.215,,,,,
77,08.18.20 klo 05.04.07 ap.,21.426,36.166,,,,,
78,08.18.20 klo 05.34.07 ap.,21.383,36.215,,,,,
79,08.18.20 klo 06.04.07 ap.,21.426,36.215,,,,,
80,08.18.20 klo 06.34.07 ap.,21.383,36.190,,,,,
81,08.18.20 klo 07.04.07 ap.,21.383,36.190,,,,,
82,08.18.20 klo 07.34.07 ap.,21.383,36.044,,,,,
83,08.18.20 klo 08.04.07 ap.,21.426,36.606,,,,,
