"Plot Title:  20849239"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849239, SEN S/N: 20849239)","RH, % (LGR S/N: 20849239, SEN S/N: 20849239)","Coupler Detached (LGR S/N: 20849239)","Bad Battery (LGR S/N: 20849239)","Coupler Attached (LGR S/N: 20849239)","Host Connected (LGR S/N: 20849239)","Stopped (LGR S/N: 20849239)","End Of File (LGR S/N: 20849239)"
86,08.18.20 klo 09.33.22 ap.,21.469,36.777,,,,,,
87,08.18.20 klo 10.03.22 ap.,21.426,36.679,,,,,,
88,08.18.20 klo 10.33.22 ap.,21.383,36.581,,,,,,
89,08.18.20 klo 11.03.22 ap.,21.426,37.021,,,,,,
90,08.18.20 klo 11.33.22 ap.,21.512,37.094,,,,,,
91,08.18.20 klo 12.03.22 ip.,21.555,37.338,,,,,,
92,08.18.20 klo 12.33.22 ip.,21.598,37.411,,,,,,
93,08.18.20 klo 01.03.22 ip.,21.555,37.143,,,,,,
94,08.18.20 klo 01.33.22 ip.,21.512,37.021,,,,,,
95,08.18.20 klo 02.03.22 ip.,21.512,37.998,,,,,,
96,08.18.20 klo 02.33.22 ip.,21.555,38.510,,,,,,
97,08.18.20 klo 03.03.22 ip.,21.555,38.681,,,,,,
98,08.18.20 klo 03.33.22 ip.,21.512,38.608,,,,,,
99,08.18.20 klo 04.03.22 ip.,21.469,38.559,,,,,,
100,08.18.20 klo 04.33.22 ip.,21.469,38.535,,,,,,
101,08.18.20 klo 05.03.22 ip.,21.512,38.755,,,,,,
102,08.18.20 klo 05.33.22 ip.,21.555,39.145,,,,,,
103,08.18.20 klo 06.03.22 ip.,21.512,39.487,,,,,,
104,08.18.20 klo 06.33.22 ip.,21.512,39.243,,,,,,
105,08.18.20 klo 07.03.22 ip.,21.426,39.023,,,,,,
106,08.18.20 klo 07.33.22 ip.,21.426,38.779,,,,,,
107,08.18.20 klo 08.03.22 ip.,21.383,38.803,,,,,,
108,08.18.20 klo 08.33.22 ip.,21.340,38.779,,,,,,
109,08.18.20 klo 09.03.22 ip.,21.426,39.316,,,,,,
110,08.18.20 klo 09.33.22 ip.,21.555,39.536,,,,,,
111,08.18.20 klo 10.03.22 ip.,21.598,39.853,,,,,,
112,08.18.20 klo 10.33.22 ip.,20.311,62.442,,,,,,
113,08.18.20 klo 11.03.22 ip.,19.710,64.151,,,,,,
114,08.18.20 klo 11.33.22 ip.,19.581,64.518,,,,,,
115,08.19.20 klo 12.03.22 ap.,19.667,64.054,,,,,,
116,08.19.20 klo 12.33.22 ap.,19.624,63.028,,,,,,
117,08.19.20 klo 01.03.22 ap.,19.796,61.905,,,,,,
118,08.19.20 klo 01.33.22 ap.,19.882,60.391,,,,,,
119,08.19.20 klo 02.03.22 ap.,19.924,58.779,,,,,,
120,08.19.20 klo 02.33.22 ap.,20.010,57.338,,,,,,
121,08.19.20 klo 03.03.22 ap.,20.053,56.166,,,,,,
122,08.19.20 klo 03.33.22 ap.,20.139,55.116,,,,,,
123,08.19.20 klo 04.03.22 ap.,20.182,54.212,,,,,,
124,08.19.20 klo 04.33.22 ap.,20.268,53.529,,,,,,
125,08.19.20 klo 05.03.22 ap.,20.311,52.796,,,,,,
126,08.19.20 klo 05.33.22 ap.,20.396,52.112,,,,,,
127,08.19.20 klo 06.03.22 ap.,20.439,51.526,,,,,,
128,08.19.20 klo 06.33.22 ap.,20.482,51.136,,,,,,
129,08.19.20 klo 07.03.22 ap.,20.568,50.623,,,,,,
130,08.19.20 klo 07.33.22 ap.,20.611,50.232,,,,,,
131,08.19.20 klo 08.03.22 ap.,20.654,49.353,,,,,,
132,08.19.20 klo 08.33.22 ap.,20.782,47.692,,,,,,
133,08.19.20 klo 09.03.22 ap.,20.182,45.910,,,,,,
134,08.19.20 klo 09.33.22 ap.,19.796,46.838,,,,,,
135,08.19.20 klo 10.03.22 ap.,20.825,46.667,,,,,,
136,08.19.20 klo 10.33.22 ap.,21.726,42.686,,,,,,
137,08.19.20 klo 11.03.22 ap.,21.855,43.419,,,,,,
138,08.19.20 klo 11.33.22 ap.,22.327,43.858,,,,,,
139,08.19.20 klo 12.03.22 ip.,27.089,31.990,,,,,,
140,08.19.20 klo 12.33.22 ip.,16.021,59.560,,,,,,
