"Plot Title:  20849233"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849233, SEN S/N: 20849233)","RH, % (LGR S/N: 20849233, SEN S/N: 20849233)","Coupler Detached (LGR S/N: 20849233)","Coupler Attached (LGR S/N: 20849233)","Host Connected (LGR S/N: 20849233)","Stopped (LGR S/N: 20849233)","End Of File (LGR S/N: 20849233)"
1,08.16.20 klo 02.47.13 ip.,22.327,37.631,,,,,
2,08.16.20 klo 02.47.30 ip.,,,Logged,,,,
3,08.16.20 klo 03.17.13 ip.,22.498,36.557,,,,,
4,08.16.20 klo 03.47.13 ip.,22.541,36.264,,,,,
5,08.16.20 klo 04.17.13 ip.,22.456,35.971,,,,,
6,08.16.20 klo 04.47.13 ip.,22.413,35.995,,,,,
7,08.16.20 klo 05.17.13 ip.,22.413,35.922,,,,,
8,08.16.20 klo 05.47.13 ip.,22.370,35.556,,,,,
9,08.16.20 klo 06.17.13 ip.,22.241,35.092,,,,,
10,08.16.20 klo 06.47.13 ip.,22.241,34.676,,,,,
11,08.16.20 klo 07.17.13 ip.,22.112,34.432,,,,,
12,08.16.20 klo 07.47.13 ip.,22.069,34.872,,,,,
13,08.16.20 klo 08.17.13 ip.,22.112,34.896,,,,,
14,08.16.20 klo 08.47.13 ip.,22.069,34.774,,,,,
15,08.16.20 klo 09.17.13 ip.,22.112,34.823,,,,,
16,08.16.20 klo 09.47.13 ip.,22.112,34.652,,,,,
17,08.16.20 klo 10.17.13 ip.,22.155,34.603,,,,,
18,08.16.20 klo 10.47.13 ip.,22.069,34.090,,,,,
19,08.16.20 klo 11.17.13 ip.,21.941,33.455,,,,,
20,08.16.20 klo 11.47.13 ip.,21.855,33.236,,,,,
21,08.17.20 klo 12.17.13 ap.,21.769,32.918,,,,,
22,08.17.20 klo 12.47.13 ap.,21.726,32.845,,,,,
23,08.17.20 klo 01.17.13 ap.,21.640,32.723,,,,,
24,08.17.20 klo 01.47.13 ap.,21.640,32.821,,,,,
25,08.17.20 klo 02.17.13 ap.,21.555,32.723,,,,,
26,08.17.20 klo 02.47.13 ap.,21.555,33.578,,,,,
27,08.17.20 klo 03.17.13 ap.,21.555,33.773,,,,,
28,08.17.20 klo 03.47.13 ap.,21.512,34.066,,,,,
29,08.17.20 klo 04.17.13 ap.,21.512,34.335,,,,,
30,08.17.20 klo 04.47.13 ap.,21.555,34.603,,,,,
31,08.17.20 klo 05.17.13 ap.,21.512,35.043,,,,,
32,08.17.20 klo 05.47.13 ap.,21.512,35.043,,,,,
33,08.17.20 klo 06.17.13 ap.,21.469,35.018,,,,,
34,08.17.20 klo 06.47.13 ap.,21.469,34.945,,,,,
35,08.17.20 klo 07.17.13 ap.,21.469,35.189,,,,,
