"Plot Title:  20849266"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849266, SEN S/N: 20849266, LBL: AT)","RH, % (LGR S/N: 20849266, SEN S/N: 20849266, LBL: RH)","Coupler Detached (LGR S/N: 20849266)","Coupler Attached (LGR S/N: 20849266)","Host Connected (LGR S/N: 20849266)","Stopped (LGR S/N: 20849266)","End Of File (LGR S/N: 20849266)"
1,07.20.20 klo 12.00.00 ip.,21.555,50.525,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.555,50.549,,,,,
3,07.20.20 klo 01.00.00 ip.,21.555,50.501,,,,,
4,07.20.20 klo 01.30.00 ip.,21.555,50.525,,,,,
5,07.20.20 klo 02.00.00 ip.,21.512,50.501,,,,,
6,07.20.20 klo 02.30.00 ip.,21.555,50.525,,,,,
7,07.20.20 klo 03.00.00 ip.,21.512,50.501,,,,,
8,07.20.20 klo 03.30.00 ip.,21.555,50.476,,,,,
9,07.20.20 klo 04.00.00 ip.,21.555,50.476,,,,,
10,07.20.20 klo 04.30.00 ip.,21.555,50.452,,,,,
11,07.20.20 klo 05.00.00 ip.,21.555,50.501,,,,,
12,07.20.20 klo 05.30.00 ip.,21.555,50.574,,,,,
13,07.20.20 klo 06.00.00 ip.,21.598,50.525,,,,,
14,07.20.20 klo 06.30.00 ip.,21.598,50.574,,,,,
15,07.20.20 klo 07.00.00 ip.,21.598,50.623,,,,,
16,07.20.20 klo 07.30.00 ip.,21.598,50.720,,,,,
17,07.20.20 klo 08.00.00 ip.,21.598,50.916,,,,,
18,07.20.20 klo 08.30.00 ip.,21.683,51.062,,,,,
19,07.20.20 klo 09.00.00 ip.,21.726,51.184,,,,,
20,07.20.20 klo 09.30.00 ip.,21.812,51.331,,,,,
21,07.20.20 klo 10.00.00 ip.,21.855,51.502,,,,,
22,07.20.20 klo 10.30.00 ip.,21.941,51.648,,,,,
23,07.20.20 klo 11.00.00 ip.,21.984,51.770,,,,,
24,07.20.20 klo 11.30.00 ip.,22.027,51.844,,,,,
25,07.21.20 klo 12.00.00 ap.,22.112,51.966,,,,,
26,07.21.20 klo 12.30.00 ap.,22.112,51.990,,,,,
27,07.21.20 klo 01.00.00 ap.,22.112,52.039,,,,,
28,07.21.20 klo 01.30.00 ap.,22.112,52.088,,,,,
29,07.21.20 klo 02.00.00 ap.,22.112,52.161,,,,,
30,07.21.20 klo 02.30.00 ap.,22.112,52.161,,,,,
31,07.21.20 klo 03.00.00 ap.,22.112,52.186,,,,,
32,07.21.20 klo 03.30.00 ap.,22.112,52.161,,,,,
33,07.21.20 klo 04.00.00 ap.,22.112,52.186,,,,,
34,07.21.20 klo 04.30.00 ap.,22.112,52.161,,,,,
35,07.21.20 klo 05.00.00 ap.,22.069,52.161,,,,,
36,07.21.20 klo 05.30.00 ap.,22.069,52.137,,,,,
37,07.21.20 klo 06.00.00 ap.,22.069,52.137,,,,,
