"Plot Title:  20849260"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849260, SEN S/N: 20849260, LBL: AT)","RH, % (LGR S/N: 20849260, SEN S/N: 20849260, LBL: RH)","Coupler Detached (LGR S/N: 20849260)","Bad Battery (LGR S/N: 20849260)","Coupler Attached (LGR S/N: 20849260)","Host Connected (LGR S/N: 20849260)","Stopped (LGR S/N: 20849260)","End Of File (LGR S/N: 20849260)"
85,07.22.20 klo 06.00.00 ap.,21.941,49.621,,,,,,
86,07.22.20 klo 06.30.00 ap.,21.898,49.597,,,,,,
87,07.22.20 klo 07.00.00 ap.,21.898,49.597,,,,,,
88,07.22.20 klo 07.30.00 ap.,21.941,49.597,,,,,,
89,07.22.20 klo 08.00.00 ap.,21.812,49.573,,,,,,
90,07.22.20 klo 08.30.00 ap.,21.855,49.548,,,,,,
91,07.22.20 klo 09.00.00 ap.,21.812,49.524,,,,,,
92,07.22.20 klo 09.30.00 ap.,21.812,49.548,,,,,,
93,07.22.20 klo 10.00.00 ap.,21.769,49.499,,,,,,
94,07.22.20 klo 10.30.00 ap.,21.812,49.451,,,,,,
95,07.22.20 klo 11.00.00 ap.,21.769,49.426,,,,,,
96,07.22.20 klo 11.30.00 ap.,21.726,49.328,,,,,,
97,07.22.20 klo 12.00.00 ip.,21.640,49.280,,,,,,
98,07.22.20 klo 12.30.00 ip.,21.598,49.206,,,,,,
99,07.22.20 klo 01.00.00 ip.,21.555,49.182,,,,,,
100,07.22.20 klo 01.30.00 ip.,21.555,49.109,,,,,,
101,07.22.20 klo 02.00.00 ip.,21.512,49.084,,,,,,
102,07.22.20 klo 02.30.00 ip.,21.469,49.011,,,,,,
103,07.22.20 klo 03.00.00 ip.,21.426,48.913,,,,,,
104,07.22.20 klo 03.30.00 ip.,21.426,48.938,,,,,,
105,07.22.20 klo 04.00.00 ip.,21.383,48.889,,,,,,
106,07.22.20 klo 04.30.00 ip.,21.426,48.840,,,,,,
107,07.22.20 klo 05.00.00 ip.,21.383,48.791,,,,,,
108,07.22.20 klo 05.30.00 ip.,21.383,48.864,,,,,,
109,07.22.20 klo 06.00.00 ip.,21.426,48.767,,,,,,
110,07.22.20 klo 06.30.00 ip.,21.383,48.718,,,,,,
