"Plot Title:  20849261"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849261, SEN S/N: 20849261, LBL: AT)","RH, % (LGR S/N: 20849261, SEN S/N: 20849261, LBL: RH)","Coupler Detached (LGR S/N: 20849261)","Coupler Attached (LGR S/N: 20849261)","Host Connected (LGR S/N: 20849261)","Stopped (LGR S/N: 20849261)","End Of File (LGR S/N: 20849261)"
1,07.20.20 klo 12.00.00 ip.,21.769,50.037,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.769,49.988,,,,,
3,07.20.20 klo 01.00.00 ip.,21.726,49.963,,,,,
4,07.20.20 klo 01.30.00 ip.,21.769,49.988,,,,,
5,07.20.20 klo 02.00.00 ip.,21.726,49.963,,,,,
6,07.20.20 klo 02.30.00 ip.,21.726,49.963,,,,,
7,07.20.20 klo 03.00.00 ip.,21.726,49.963,,,,,
8,07.20.20 klo 03.30.00 ip.,21.769,49.963,,,,,
9,07.20.20 klo 04.00.00 ip.,21.726,49.939,,,,,
10,07.20.20 klo 04.30.00 ip.,21.726,49.915,,,,,
11,07.20.20 klo 05.00.00 ip.,21.769,49.988,,,,,
12,07.20.20 klo 05.30.00 ip.,21.769,49.963,,,,,
13,07.20.20 klo 06.00.00 ip.,21.812,50.012,,,,,
14,07.20.20 klo 06.30.00 ip.,21.812,49.963,,,,,
15,07.20.20 klo 07.00.00 ip.,21.769,50.012,,,,,
16,07.20.20 klo 07.30.00 ip.,21.812,49.963,,,,,
17,07.20.20 klo 08.00.00 ip.,21.812,50.061,,,,,
18,07.20.20 klo 08.30.00 ip.,21.855,50.110,,,,,
19,07.20.20 klo 09.00.00 ip.,21.855,50.208,,,,,
20,07.20.20 klo 09.30.00 ip.,21.898,50.305,,,,,
21,07.20.20 klo 10.00.00 ip.,21.984,50.427,,,,,
22,07.20.20 klo 10.30.00 ip.,21.984,50.549,,,,,
23,07.20.20 klo 11.00.00 ip.,22.112,50.598,,,,,
24,07.20.20 klo 11.30.00 ip.,22.112,50.769,,,,,
25,07.21.20 klo 12.00.00 ap.,22.198,50.818,,,,,
26,07.21.20 klo 12.30.00 ap.,22.198,50.867,,,,,
27,07.21.20 klo 01.00.00 ap.,22.198,50.940,,,,,
28,07.21.20 klo 01.30.00 ap.,22.241,50.989,,,,,
29,07.21.20 klo 02.00.00 ap.,22.198,51.013,,,,,
30,07.21.20 klo 02.30.00 ap.,22.241,51.038,,,,,
31,07.21.20 klo 03.00.00 ap.,22.198,51.111,,,,,
32,07.21.20 klo 03.30.00 ap.,22.241,51.160,,,,,
33,07.21.20 klo 04.00.00 ap.,22.198,51.184,,,,,
34,07.21.20 klo 04.30.00 ap.,22.198,51.184,,,,,
35,07.21.20 klo 05.00.00 ap.,22.198,51.209,,,,,
36,07.21.20 klo 05.30.00 ap.,22.198,51.233,,,,,
37,07.21.20 klo 06.00.00 ap.,22.241,51.209,,,,,
