"Plot Title:  20854934"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854934, SEN S/N: 20854934, LBL: AT)","RH, % (LGR S/N: 20854934, SEN S/N: 20854934, LBL: RH)","Coupler Detached (LGR S/N: 20854934)","Coupler Attached (LGR S/N: 20854934)","Host Connected (LGR S/N: 20854934)","Stopped (LGR S/N: 20854934)","End Of File (LGR S/N: 20854934)"
1,07.12.20 klo 12.00.00 ip.,22.756,47.839,Logged,,,,
2,07.12.20 klo 12.30.00 ip.,22.799,48.010,,,,,
3,07.12.20 klo 01.00.00 ip.,22.885,48.034,,,,,
4,07.12.20 klo 01.30.00 ip.,22.885,47.937,,,,,
5,07.12.20 klo 02.00.00 ip.,22.842,47.570,,,,,
6,07.12.20 klo 02.30.00 ip.,22.842,47.155,,,,,
7,07.12.20 klo 03.00.00 ip.,22.756,46.716,,,,,
8,07.12.20 klo 03.30.00 ip.,22.756,46.325,,,,,
9,07.12.20 klo 04.00.00 ip.,24.343,48.596,,,,,
10,07.12.20 klo 04.30.00 ip.,25.201,48.938,,,,,
11,07.12.20 klo 05.00.00 ip.,25.502,48.791,,,,,
12,07.12.20 klo 05.30.00 ip.,25.373,48.449,,,,,
13,07.12.20 klo 06.00.00 ip.,25.158,48.181,,,,,
14,07.12.20 klo 06.30.00 ip.,24.858,47.814,,,,,
15,07.12.20 klo 07.00.00 ip.,24.558,47.790,,,,,
16,07.12.20 klo 07.30.00 ip.,24.772,48.278,,,,,
17,07.12.20 klo 08.00.00 ip.,25.030,48.523,,,,,
18,07.12.20 klo 08.30.00 ip.,25.158,48.278,,,,,
19,07.12.20 klo 09.00.00 ip.,24.987,47.741,,,,,
20,07.12.20 klo 09.30.00 ip.,24.558,47.033,,,,,
21,07.12.20 klo 10.00.00 ip.,24.043,46.447,,,,,
22,07.12.20 klo 10.30.00 ip.,23.485,46.081,,,,,
23,07.12.20 klo 11.00.00 ip.,22.927,45.812,,,,,
24,07.12.20 klo 11.30.00 ip.,22.370,45.641,,,,,
25,07.13.20 klo 12.00.00 ap.,21.812,45.495,,,,,
26,07.13.20 klo 12.30.00 ap.,21.254,45.324,,,,,
27,07.13.20 klo 01.00.00 ap.,20.740,45.201,,,,,
28,07.13.20 klo 01.30.00 ap.,20.225,45.128,,,,,
29,07.13.20 klo 02.00.00 ap.,19.753,45.031,,,,,
30,07.13.20 klo 02.30.00 ap.,19.324,44.884,,,,,
31,07.13.20 klo 03.00.00 ap.,18.938,44.884,,,,,
32,07.13.20 klo 03.30.00 ap.,18.595,44.762,,,,,
33,07.13.20 klo 04.00.00 ap.,18.294,44.737,,,,,
34,07.13.20 klo 04.30.00 ap.,17.951,44.762,,,,,
35,07.13.20 klo 05.00.00 ap.,17.737,44.689,,,,,
36,07.13.20 klo 05.30.00 ap.,17.479,44.737,,,,,
37,07.13.20 klo 06.00.00 ap.,17.222,44.664,,,,,
38,07.13.20 klo 06.30.00 ap.,17.007,44.713,,,,,
39,07.13.20 klo 07.00.00 ap.,16.879,44.811,,,,,
40,07.13.20 klo 07.30.00 ap.,16.793,45.006,,,,,
41,07.13.20 klo 08.00.00 ap.,16.793,45.079,,,,,
42,07.13.20 klo 08.30.00 ap.,16.921,45.543,,,,,
43,07.13.20 klo 09.00.00 ap.,17.179,45.812,,,,,
44,07.13.20 klo 09.30.00 ap.,17.350,46.203,,,,,
