"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
100,08.11.20 klo 03.09.19 ip.,20.740,50.476,,
101,08.11.20 klo 03.39.19 ip.,21.598,48.034,,
102,08.11.20 klo 04.09.19 ip.,20.568,46.911,,
103,08.11.20 klo 04.39.19 ip.,21.297,50.134,,
104,08.11.20 klo 05.09.19 ip.,22.327,47.106,,
105,08.11.20 klo 05.39.19 ip.,22.498,47.131,,
106,08.11.20 klo 06.09.19 ip.,22.584,47.009,,
107,08.11.20 klo 06.39.19 ip.,22.627,46.764,,
108,08.11.20 klo 07.09.19 ip.,22.670,46.545,,
109,08.11.20 klo 07.39.19 ip.,22.627,46.349,,
110,08.11.20 klo 08.09.19 ip.,22.627,46.154,,
111,08.11.20 klo 08.39.19 ip.,22.541,45.983,,
112,08.11.20 klo 09.09.19 ip.,22.498,45.812,,
113,08.11.20 klo 09.39.19 ip.,22.456,45.592,,
114,08.11.20 klo 10.09.19 ip.,22.413,45.495,,
115,08.11.20 klo 10.39.19 ip.,22.370,45.421,,
116,08.11.20 klo 11.09.19 ip.,22.370,45.421,,
117,08.11.20 klo 11.39.19 ip.,22.327,45.470,,
118,08.12.20 klo 12.09.19 ap.,22.284,45.397,,
119,08.12.20 klo 12.39.19 ap.,22.327,45.226,,
120,08.12.20 klo 01.09.19 ap.,22.284,45.104,,
121,08.12.20 klo 01.39.19 ap.,22.284,44.982,,
122,08.12.20 klo 02.09.19 ap.,22.241,44.762,,
123,08.12.20 klo 02.39.19 ap.,22.241,44.640,,
124,08.12.20 klo 03.09.19 ap.,22.241,44.518,,
125,08.12.20 klo 03.39.19 ap.,22.198,44.420,,
126,08.12.20 klo 04.09.19 ap.,22.198,44.249,,
127,08.12.20 klo 04.39.19 ap.,22.198,44.151,,
128,08.12.20 klo 05.09.19 ap.,22.155,44.127,,
129,08.12.20 klo 05.39.19 ap.,22.155,43.956,,
130,08.12.20 klo 06.09.19 ap.,22.155,43.834,,
131,08.12.20 klo 06.39.19 ap.,22.112,43.785,,
