"Plot Title: 20849238"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849238, SEN S/N: 20849238)","RH, % (LGR S/N: 20849238, SEN S/N: 20849238)","Coupler Detached (LGR S/N: 20849238)","Coupler Attached (LGR S/N: 20849238)","Host Connected (LGR S/N: 20849238)","Stopped (LGR S/N: 20849238)","End Of File (LGR S/N: 20849238)"
1,08.16.20 klo 03.34.41 ip.,22.498,39.341,,,,,
2,08.16.20 klo 03.34.55 ip.,,,Logged,,,,
3,08.16.20 klo 04.04.41 ip.,22.670,35.775,,,,,
4,08.16.20 klo 04.34.41 ip.,22.541,35.702,,,,,
5,08.16.20 klo 05.04.41 ip.,22.541,35.629,,,,,
6,08.16.20 klo 05.34.41 ip.,22.541,35.385,,,,,
7,08.16.20 klo 06.04.41 ip.,22.456,35.067,,,,,
8,08.16.20 klo 06.34.41 ip.,22.413,34.505,,,,,
9,08.16.20 klo 07.04.41 ip.,22.327,33.968,,,,,
10,08.16.20 klo 07.34.41 ip.,22.198,34.701,,,,,
11,08.16.20 klo 08.04.41 ip.,22.241,34.628,,,,,
12,08.16.20 klo 08.34.41 ip.,22.284,34.579,,,,,
13,08.16.20 klo 09.04.41 ip.,22.327,34.432,,,,,
14,08.16.20 klo 09.34.41 ip.,22.241,34.359,,,,,
15,08.16.20 klo 10.04.41 ip.,22.284,34.310,,,,,
16,08.16.20 klo 10.34.41 ip.,22.198,34.042,,,,,
17,08.16.20 klo 11.04.41 ip.,22.069,33.578,,,,,
18,08.16.20 klo 11.34.41 ip.,21.984,33.211,,,,,
19,08.17.20 klo 12.04.41 ap.,21.898,32.601,,,,,
20,08.17.20 klo 12.34.41 ap.,21.812,32.527,,,,,
21,08.17.20 klo 01.04.41 ap.,21.812,32.527,,,,,
22,08.17.20 klo 01.34.41 ap.,21.726,32.698,,,,,
23,08.17.20 klo 02.04.41 ap.,21.683,32.479,,,,,
24,08.17.20 klo 02.34.41 ap.,21.640,33.138,,,,,
25,08.17.20 klo 03.04.41 ap.,21.640,33.260,,,,,
26,08.17.20 klo 03.34.41 ap.,21.640,33.846,,,,,
27,08.17.20 klo 04.04.41 ap.,21.598,33.968,,,,,
28,08.17.20 klo 04.34.41 ap.,21.598,34.261,,,,,
29,08.17.20 klo 05.04.41 ap.,21.640,34.652,,,,,
30,08.17.20 klo 05.34.41 ap.,21.683,34.896,,,,,
31,08.17.20 klo 06.04.41 ap.,21.640,34.896,,,,,
32,08.17.20 klo 06.34.41 ap.,21.598,34.945,,,,,
