"Plot Title:  20849249"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849249, SEN S/N: 20849249)","RH, % (LGR S/N: 20849249, SEN S/N: 20849249)","Coupler Detached (LGR S/N: 20849249)","Coupler Attached (LGR S/N: 20849249)","Host Connected (LGR S/N: 20849249)","Stopped (LGR S/N: 20849249)","End Of File (LGR S/N: 20849249)"
1,08.16.20 klo 03.15.17 ip.,22.627,37.167,,,,,
2,08.16.20 klo 03.15.27 ip.,,,Logged,,,,
3,08.16.20 klo 03.45.17 ip.,22.713,36.386,,,,,
4,08.16.20 klo 04.15.17 ip.,22.584,35.726,,,,,
5,08.16.20 klo 04.45.17 ip.,22.498,35.556,,,,,
6,08.16.20 klo 05.15.17 ip.,22.498,35.482,,,,,
7,08.16.20 klo 05.45.17 ip.,22.498,35.116,,,,,
8,08.16.20 klo 06.15.17 ip.,22.327,34.579,,,,,
9,08.16.20 klo 06.45.17 ip.,22.284,34.090,,,,,
10,08.16.20 klo 07.15.17 ip.,22.155,34.139,,,,,
11,08.16.20 klo 07.45.17 ip.,22.155,34.603,,,,,
12,08.16.20 klo 08.15.17 ip.,22.155,34.603,,,,,
13,08.16.20 klo 08.45.17 ip.,22.155,34.335,,,,,
14,08.16.20 klo 09.15.17 ip.,22.241,34.237,,,,,
15,08.16.20 klo 09.45.17 ip.,22.241,34.066,,,,,
16,08.16.20 klo 10.15.17 ip.,22.241,33.797,,,,,
17,08.16.20 klo 10.45.17 ip.,22.112,33.382,,,,,
18,08.16.20 klo 11.15.17 ip.,21.898,32.650,,,,,
19,08.16.20 klo 11.45.17 ip.,21.855,32.552,,,,,
20,08.17.20 klo 12.15.17 ap.,21.769,32.283,,,,,
21,08.17.20 klo 12.45.17 ap.,21.769,32.332,,,,,
22,08.17.20 klo 01.15.17 ap.,21.683,32.112,,,,,
23,08.17.20 klo 01.45.17 ap.,21.640,32.454,,,,,
24,08.17.20 klo 02.15.17 ap.,21.598,32.186,,,,,
25,08.17.20 klo 02.45.17 ap.,21.555,33.382,,,,,
26,08.17.20 klo 03.15.17 ap.,21.555,33.626,,,,,
27,08.17.20 klo 03.45.17 ap.,21.598,33.993,,,,,
28,08.17.20 klo 04.15.17 ap.,21.555,34.310,,,,,
29,08.17.20 klo 04.45.17 ap.,21.555,34.750,,,,,
30,08.17.20 klo 05.15.17 ap.,21.598,34.994,,,,,
31,08.17.20 klo 05.45.17 ap.,21.598,35.018,,,,,
32,08.17.20 klo 06.15.17 ap.,21.555,34.969,,,,,
33,08.17.20 klo 06.45.17 ap.,21.512,34.750,,,,,
34,08.17.20 klo 07.15.17 ap.,21.598,34.872,,,,,
35,08.17.20 klo 07.45.17 ap.,21.640,35.311,,,,,
36,08.17.20 klo 08.15.17 ap.,21.640,34.530,,,,,
37,08.17.20 klo 08.45.17 ap.,21.555,34.212,,,,,
38,08.17.20 klo 09.15.17 ap.,21.555,33.236,,,,,
39,08.17.20 klo 09.45.17 ap.,21.512,34.261,,,,,
40,08.17.20 klo 10.15.17 ap.,21.640,34.432,,,,,
41,08.17.20 klo 10.45.17 ap.,21.683,34.359,,,,,
42,08.17.20 klo 11.15.17 ap.,21.769,34.286,,,,,
43,08.17.20 klo 11.45.17 ap.,21.855,33.919,,,,,
44,08.17.20 klo 12.15.17 ip.,22.027,34.310,,,,,
45,08.17.20 klo 12.45.17 ip.,22.155,34.310,,,,,
46,08.17.20 klo 01.15.17 ip.,22.284,34.066,,,,,
47,08.17.20 klo 01.45.17 ip.,22.370,34.042,,,,,
48,08.17.20 klo 02.15.17 ip.,22.370,33.871,,,,,
49,08.17.20 klo 02.45.17 ip.,22.284,33.871,,,,,
50,08.17.20 klo 03.15.17 ip.,22.198,33.407,,,,,
51,08.17.20 klo 03.45.17 ip.,22.241,32.967,,,,,
52,08.17.20 klo 04.15.17 ip.,22.370,32.796,,,,,
53,08.17.20 klo 04.45.17 ip.,22.241,33.162,,,,,
54,08.17.20 klo 05.15.17 ip.,22.155,33.187,,,,,
55,08.17.20 klo 05.45.17 ip.,21.426,31.233,,,,,
56,08.17.20 klo 06.15.17 ip.,21.683,32.698,,,,,
57,08.17.20 klo 06.45.17 ip.,21.726,32.259,,,,,
58,08.17.20 klo 07.15.17 ip.,21.726,32.283,,,,,
59,08.17.20 klo 07.45.17 ip.,22.155,35.116,,,,,
60,08.17.20 klo 08.15.17 ip.,22.027,34.481,,,,,
61,08.17.20 klo 08.45.17 ip.,21.941,34.579,,,,,
62,08.17.20 klo 09.15.17 ip.,21.941,34.799,,,,,
63,08.17.20 klo 09.45.17 ip.,21.855,34.823,,,,,
64,08.17.20 klo 10.15.17 ip.,21.769,34.969,,,,,
65,08.17.20 klo 10.45.17 ip.,21.726,35.165,,,,,
66,08.17.20 klo 11.15.17 ip.,21.726,35.385,,,,,
67,08.17.20 klo 11.45.17 ip.,21.640,35.580,,,,,
68,08.18.20 klo 12.15.17 ap.,21.598,35.751,,,,,
69,08.18.20 klo 12.45.17 ap.,21.598,35.873,,,,,
70,08.18.20 klo 01.15.17 ap.,21.555,35.971,,,,,
71,08.18.20 klo 01.45.17 ap.,21.512,36.020,,,,,
72,08.18.20 klo 02.15.17 ap.,21.469,36.020,,,,,
73,08.18.20 klo 02.45.17 ap.,21.469,36.044,,,,,
74,08.18.20 klo 03.15.17 ap.,21.469,36.093,,,,,
75,08.18.20 klo 03.45.17 ap.,21.426,36.093,,,,,
76,08.18.20 klo 04.15.17 ap.,21.469,36.068,,,,,
77,08.18.20 klo 04.45.17 ap.,21.469,36.068,,,,,
78,08.18.20 klo 05.15.17 ap.,21.383,36.020,,,,,
79,08.18.20 klo 05.45.17 ap.,21.383,36.020,,,,,
80,08.18.20 klo 06.15.17 ap.,21.426,36.044,,,,,
