"Plot Title: 20854984"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854984, SEN S/N: 20854984)","RH, % (LGR S/N: 20854984, SEN S/N: 20854984)","Coupler Detached (LGR S/N: 20854984)","Bad Battery (LGR S/N: 20854984)","Good Battery (LGR S/N: 20854984)","Coupler Attached (LGR S/N: 20854984)","Host Connected (LGR S/N: 20854984)","Stopped (LGR S/N: 20854984)","End Of File (LGR S/N: 20854984)"
83,08.06.20 klo 12.43.35 ip.,20.611,54.628,,,,,,,
84,08.06.20 klo 01.13.35 ip.,22.370,43.736,,,,,,,
85,08.06.20 klo 01.43.35 ip.,22.069,34.896,,,,,,,
86,08.06.20 klo 02.13.35 ip.,25.115,34.530,,,,,,,
87,08.06.20 klo 02.43.35 ip.,22.713,35.360,,,,,,,
88,08.06.20 klo 03.13.35 ip.,24.343,34.310,,,,,,,
89,08.06.20 klo 03.43.35 ip.,22.927,31.893,,,,,,,
90,08.06.20 klo 04.13.35 ip.,21.469,36.606,,,,,,,
91,08.06.20 klo 04.43.35 ip.,20.182,38.657,,,,,,,
92,08.06.20 klo 05.13.35 ip.,20.311,43.468,,,,,,,
93,08.06.20 klo 05.43.35 ip.,22.541,43.736,,,,,,,
94,08.06.20 klo 06.13.35 ip.,18.380,53.114,,,,,,,
95,08.06.20 klo 06.43.35 ip.,18.809,51.331,,,,,,,
96,08.06.20 klo 07.13.35 ip.,18.423,52.943,,,,,,,
97,08.06.20 klo 07.43.35 ip.,17.908,55.531,,,,,,,
98,08.06.20 klo 08.13.35 ip.,17.479,58.779,,,,,,,
99,08.06.20 klo 08.43.35 ip.,16.106,65.397,,,,,,,
100,08.06.20 klo 09.13.35 ip.,16.149,57.314,,,,,,,
101,08.06.20 klo 09.43.35 ip.,14.562,72.015,,,,,,,
102,08.06.20 klo 10.13.35 ip.,14.262,74.457,,,,,,,
103,08.06.20 klo 10.43.35 ip.,13.918,77.192,,,,,,,
104,08.06.20 klo 11.13.35 ip.,14.133,73.358,,,,,,,
105,08.06.20 klo 11.43.35 ip.,13.876,74.725,,,,,,,
106,08.07.20 klo 12.13.35 ap.,13.661,76.874,,,,,,,
107,08.07.20 klo 12.43.35 ap.,12.889,82.662,,,,,,,
108,08.07.20 klo 01.13.35 ap.,12.631,85.104,,,,,,,
109,08.07.20 klo 01.43.35 ap.,12.417,86.178,,,,,,,
110,08.07.20 klo 02.13.35 ap.,13.146,80.977,,,,,,,
111,08.07.20 klo 02.43.35 ap.,12.674,85.177,,,,,,,
112,08.07.20 klo 03.13.35 ap.,12.889,83.223,,,,,,,
113,08.07.20 klo 03.43.35 ap.,12.889,84.176,,,,,,,
114,08.07.20 klo 04.13.35 ap.,12.631,85.446,,,,,,,
115,08.07.20 klo 04.43.35 ap.,12.417,86.911,,,,,,,
116,08.07.20 klo 05.13.35 ap.,12.245,89.597,,,,,,,
117,08.07.20 klo 05.43.35 ap.,12.588,83.907,,,,,,,
118,08.07.20 klo 06.13.35 ap.,13.232,78.388,,,,,,,
119,08.07.20 klo 06.43.35 ap.,13.103,77.485,,,,,,,
120,08.07.20 klo 07.13.35 ap.,13.275,79.805,,,,,,,
121,08.07.20 klo 07.43.35 ap.,14.090,72.088,,,,,,,
122,08.07.20 klo 08.13.35 ap.,13.575,76.777,,,,,,,
123,08.07.20 klo 08.43.35 ap.,14.219,76.435,,,,,,,
124,08.07.20 klo 09.13.35 ap.,14.562,76.654,,,,,,,
125,08.07.20 klo 09.43.35 ap.,14.648,75.556,,,,,,,
126,08.07.20 klo 10.13.35 ap.,14.734,74.579,,,,,,,
127,08.07.20 klo 10.43.35 ap.,14.433,74.969,,,,,,,
128,08.07.20 klo 11.13.35 ap.,14.605,73.089,,,,,,,
129,08.07.20 klo 11.43.35 ap.,14.734,67.473,,,,,,,
130,08.07.20 klo 12.13.35 ip.,15.077,65.446,,,,,,,
131,08.07.20 klo 12.43.35 ip.,16.707,63.126,,,,,,,
132,08.07.20 klo 01.13.35 ip.,17.608,55.580,,,,,,,
133,08.07.20 klo 01.43.35 ip.,18.294,54.628,,,,,,,
134,08.07.20 klo 02.13.35 ip.,19.367,51.038,,,,,,,
135,08.07.20 klo 02.43.35 ip.,21.512,46.935,,,,,,,
136,08.07.20 klo 03.13.35 ip.,20.997,45.324,,,,,,,
137,08.07.20 klo 03.43.35 ip.,22.069,44.786,,,,,,,
138,08.07.20 klo 04.13.35 ip.,20.740,51.697,,,,,,,
139,08.07.20 klo 04.43.35 ip.,20.139,49.280,,,,,,,
140,08.07.20 klo 05.13.35 ip.,23.228,42.759,,,,,,,
141,08.07.20 klo 05.43.35 ip.,22.627,40.244,,,,,,,
142,08.07.20 klo 06.13.35 ip.,17.951,50.940,,,,,,,
143,08.07.20 klo 06.43.35 ip.,19.109,47.668,,,,,,,
144,08.07.20 klo 07.13.35 ip.,18.166,49.744,,,,,,,
145,08.07.20 klo 07.43.35 ip.,21.040,42.271,,,,,,,
146,08.07.20 klo 08.13.35 ip.,20.396,43.565,,,,,,,
147,08.07.20 klo 08.43.35 ip.,18.123,53.529,,,,,,,
148,08.07.20 klo 09.13.35 ip.,14.004,68.303,,,,,,,
149,08.07.20 klo 09.43.35 ip.,13.661,70.989,,,,,,,
150,08.07.20 klo 10.13.35 ip.,12.460,76.020,,,,,,,
151,08.07.20 klo 10.43.35 ip.,10.830,83.346,,,,,,,
152,08.07.20 klo 11.13.35 ip.,10.272,85.079,,,,,,,
153,08.07.20 klo 11.43.35 ip.,9.929,86.667,,,,,,,
154,08.08.20 klo 12.13.35 ap.,9.628,87.546,,,,,,,
155,08.08.20 klo 12.43.35 ap.,8.341,92.821,,,,,,,
156,08.08.20 klo 01.13.35 ap.,7.698,93.040,,,,,,,
157,08.08.20 klo 01.43.35 ap.,7.612,94.945,,,,,,,
158,08.08.20 klo 02.13.35 ap.,7.140,97.045,,,,,,,
159,08.08.20 klo 02.43.35 ap.,6.754,97.753,,,,,,,
160,08.08.20 klo 03.13.35 ap.,7.398,98.437,,,,,,,
161,08.08.20 klo 03.43.35 ap.,7.655,98.828,,,,,,,
162,08.08.20 klo 04.13.35 ap.,7.698,99.658,,,,,,,
163,08.08.20 klo 04.43.35 ap.,7.869,99.365,,,,,,,
164,08.08.20 klo 05.13.35 ap.,7.784,98.388,,,,,,,
165,08.08.20 klo 05.43.35 ap.,8.384,97.680,,,,,,,
166,08.08.20 klo 06.13.35 ap.,9.500,95.995,,,,,,,
167,08.08.20 klo 06.43.35 ap.,9.886,95.092,,,,,,,
168,08.08.20 klo 07.13.35 ap.,10.486,94.750,,,,,,,
169,08.08.20 klo 07.43.35 ap.,11.044,91.722,,,,,,,
170,08.08.20 klo 08.13.35 ap.,11.044,93.431,,,,,,,
171,08.08.20 klo 08.43.35 ap.,11.430,91.526,,,,,,,
172,08.08.20 klo 09.13.35 ap.,12.374,86.569,,,,,,,
173,08.08.20 klo 09.43.35 ap.,12.717,87.766,,,,,,,
174,08.08.20 klo 10.13.35 ap.,13.704,82.784,,,,,,,
175,08.08.20 klo 10.43.35 ap.,17.093,73.895,,,,,,,
176,08.08.20 klo 11.13.35 ap.,19.453,55.409,,,,,,,
177,08.08.20 klo 11.43.35 ap.,20.611,53.138,,,,,,,
178,08.08.20 klo 12.13.35 ip.,20.954,49.524,,,,,,,
179,08.08.20 klo 12.43.35 ip.,19.109,52.039,,,,,,,
180,08.08.20 klo 01.13.35 ip.,19.238,56.020,,,,,,,
181,08.08.20 klo 01.43.35 ip.,23.614,46.007,,,,,,,
182,08.08.20 klo 02.13.35 ip.,25.888,44.347,,,,,,,
183,08.08.20 klo 02.43.35 ip.,26.317,39.389,,,,,,,
184,08.08.20 klo 03.13.35 ip.,27.990,35.165,,,,,,,
185,08.08.20 klo 03.43.35 ip.,25.716,40.317,,,,,,,
186,08.08.20 klo 04.13.35 ip.,22.927,43.492,,,,,,,
187,08.08.20 klo 04.43.35 ip.,23.399,45.568,,,,,,,
188,08.08.20 klo 05.13.35 ip.,24.086,43.834,,,,,,,
189,08.08.20 klo 05.43.35 ip.,25.587,40.781,,,,,,,
190,08.08.20 klo 06.13.35 ip.,22.498,47.717,,,,,,,
191,08.08.20 klo 06.43.35 ip.,20.868,57.900,,,,,,,
192,08.08.20 klo 07.13.35 ip.,20.611,61.929,,,,,,,
193,08.08.20 klo 07.43.35 ip.,20.954,61.050,,,,,,,
194,08.08.20 klo 08.13.35 ip.,20.182,63.663,,,,,,,
195,08.08.20 klo 08.43.35 ip.,20.010,64.762,,,,,,,
196,08.08.20 klo 09.13.35 ip.,20.010,65.177,,,,,,,
197,08.08.20 klo 09.43.35 ip.,19.495,68.083,,,,,,,
198,08.08.20 klo 10.13.35 ip.,19.367,69.451,,,,,,,
199,08.08.20 klo 10.43.35 ip.,18.680,73.602,,,,,,,
200,08.08.20 klo 11.13.35 ip.,18.466,78.291,,,,,,,
201,08.08.20 klo 11.43.35 ip.,18.080,81.001,,,,,,,
202,08.09.20 klo 12.13.35 ap.,18.423,79.658,,,,,,,
203,08.09.20 klo 12.43.35 ap.,17.393,86.593,,,,,,,
204,08.09.20 klo 01.13.35 ap.,16.664,91.624,,,,,,,
205,08.09.20 klo 01.43.35 ap.,16.192,93.944,,,,,,,
206,08.09.20 klo 02.13.35 ap.,15.720,92.088,,,,,,,
207,08.09.20 klo 02.43.35 ap.,15.978,95.653,,,,,,,
208,08.09.20 klo 03.13.35 ap.,15.377,95.360,,,,,,,
209,08.09.20 klo 03.43.35 ap.,14.090,92.405,,,,,,,
210,08.09.20 klo 04.13.35 ap.,13.575,87.717,,,,,,,
211,08.09.20 klo 04.43.35 ap.,13.876,82.515,,,,,,,
212,08.09.20 klo 05.13.35 ap.,13.489,78.510,,,,,,,
213,08.09.20 klo 05.43.35 ap.,13.833,75.043,,,,,,,
214,08.09.20 klo 06.13.35 ap.,12.674,84.249,,,,,,,
215,08.09.20 klo 06.43.35 ap.,12.288,91.331,,,,,,,
216,08.09.20 klo 07.13.35 ap.,12.846,88.718,,,,,,,
217,08.09.20 klo 07.43.35 ap.,12.417,82.540,,,,,,,
218,08.09.20 klo 08.13.35 ap.,11.259,83.150,,,,,,,
219,08.09.20 klo 08.43.35 ap.,10.915,79.463,,,,,,,
220,08.09.20 klo 09.13.35 ap.,10.915,77.753,,,,,,,
221,08.09.20 klo 09.43.35 ap.,10.787,74.725,,,,,,,
222,08.09.20 klo 10.13.35 ap.,11.301,70.623,,,,,,,
223,08.09.20 klo 10.43.35 ap.,11.859,65.055,,,,,,,
224,08.09.20 klo 11.13.35 ap.,11.602,62.955,,,,,,,
225,08.09.20 klo 11.43.35 ap.,13.361,56.996,,,,,,,
226,08.09.20 klo 12.13.35 ip.,14.734,52.503,,,,,,,
227,08.09.20 klo 12.43.35 ip.,15.720,53.284,,,,,,,
228,08.09.20 klo 01.13.35 ip.,14.390,59.023,,,,,,,
229,08.09.20 klo 01.43.35 ip.,15.978,54.579,,,,,,,
230,08.09.20 klo 02.13.35 ip.,13.618,61.734,,,,,,,
231,08.09.20 klo 02.43.35 ip.,16.192,54.090,,,,,,,
232,08.09.20 klo 03.13.35 ip.,15.377,56.703,,,,,,,
233,08.09.20 klo 03.43.35 ip.,16.921,48.034,,,,,,,
234,08.09.20 klo 04.13.35 ip.,15.205,54.310,,,,,,,
235,08.09.20 klo 04.43.35 ip.,14.691,56.801,,,,,,,
236,08.09.20 klo 05.13.35 ip.,14.648,55.946,,,,,,,
237,08.09.20 klo 05.43.35 ip.,16.879,49.133,,,,,,,
238,08.09.20 klo 06.13.35 ip.,12.760,63.712,,,,,,,
239,08.09.20 klo 06.43.35 ip.,11.988,72.479,,,,,,,
240,08.09.20 klo 07.13.35 ip.,11.645,74.603,,,,,,,
241,08.09.20 klo 07.43.35 ip.,12.331,62.540,,,,,,,
242,08.09.20 klo 08.13.35 ip.,11.688,66.618,,,,,,,
243,08.09.20 klo 08.43.35 ip.,10.830,77.558,,,,,,,
244,08.09.20 klo 09.13.35 ip.,11.001,77.021,,,,,,,
245,08.09.20 klo 09.43.35 ip.,10.744,70.379,,,,,,,
246,08.09.20 klo 10.13.35 ip.,9.843,80.220,,,,,,,
247,08.09.20 klo 10.43.35 ip.,10.529,74.725,,,,,,,
248,08.09.20 klo 11.13.35 ip.,8.642,89.646,,,,,,,
249,08.09.20 klo 11.43.35 ip.,9.457,83.101,,,,,,,
250,08.10.20 klo 12.13.35 ap.,10.186,76.874,,,,,,,
251,08.10.20 klo 12.43.35 ap.,8.942,87.473,,,,,,,
252,08.10.20 klo 01.13.35 ap.,8.856,89.133,,,,,,,
253,08.10.20 klo 01.43.35 ap.,9.585,79.341,,,,,,,
254,08.10.20 klo 02.13.35 ap.,9.457,74.823,,,,,,,
255,08.10.20 klo 02.43.35 ap.,9.242,72.698,,,,,,,
256,08.10.20 klo 03.13.35 ap.,8.685,82.882,,,,,,,
257,08.10.20 klo 03.43.35 ap.,8.727,80.537,,,,,,,
258,08.10.20 klo 04.13.35 ap.,7.483,88.254,,,,,,,
259,08.10.20 klo 04.43.35 ap.,7.869,81.807,,,,,,,
260,08.10.20 klo 05.13.35 ap.,8.084,82.466,,,,,,,
261,08.10.20 klo 05.43.35 ap.,7.827,85.397,,,,,,,
262,08.10.20 klo 06.13.35 ap.,8.427,80.366,,,,,,,
263,08.10.20 klo 06.43.35 ap.,9.242,74.579,,,,,,,
264,08.10.20 klo 07.13.35 ap.,9.414,75.092,,,,,,,
265,08.10.20 klo 07.43.35 ap.,9.328,76.703,,,,,,,
266,08.10.20 klo 08.13.35 ap.,9.285,79.902,,,,,,,
267,08.10.20 klo 08.43.35 ap.,10.443,77.753,,,,,,,
268,08.10.20 klo 09.13.35 ap.,10.787,68.083,,,,,,,
269,08.10.20 klo 09.43.35 ap.,10.572,68.889,,,,,,,
270,08.10.20 klo 10.13.35 ap.,11.387,67.302,,,,,,,
271,08.10.20 klo 10.43.35 ap.,11.945,64.029,,,,,,,
272,08.10.20 klo 11.13.35 ap.,12.245,61.368,,,,,,,
273,08.10.20 klo 11.43.35 ap.,12.417,60.342,,,,,,,
274,08.10.20 klo 12.13.35 ip.,11.473,69.963,,,,,,,
275,08.10.20 klo 12.43.35 ip.,11.773,69.133,,,,,,,
276,08.10.20 klo 01.13.35 ip.,12.588,68.840,,,,,,,
