"Plot Title:  20854980"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854980, SEN S/N: 20854980)","RH, % (LGR S/N: 20854980, SEN S/N: 20854980)","Coupler Detached (LGR S/N: 20854980)","Bad Battery (LGR S/N: 20854980)","Good Battery (LGR S/N: 20854980)","Coupler Attached (LGR S/N: 20854980)","Host Connected (LGR S/N: 20854980)","Stopped (LGR S/N: 20854980)","End Of File (LGR S/N: 20854980)"
83,08.05.20 klo 12.36.29 ip.,24.000,40.269,,,,,,,
84,08.05.20 klo 01.06.29 ip.,23.871,40.122,,,,,,,
85,08.05.20 klo 01.36.29 ip.,23.957,39.878,,,,,,,
86,08.05.20 klo 02.06.29 ip.,24.644,38.339,,,,,,,
87,08.05.20 klo 02.36.29 ip.,24.772,37.827,,,,,,,
88,08.05.20 klo 03.06.29 ip.,25.287,36.850,,,,,,,
89,08.05.20 klo 03.36.29 ip.,24.987,37.534,,,,,,,
90,08.05.20 klo 04.06.29 ip.,24.257,38.730,,,,,,,
91,08.05.20 klo 04.36.29 ip.,25.244,37.631,,,,,,,
92,08.05.20 klo 05.06.29 ip.,25.673,37.924,,,,,,,
93,08.05.20 klo 05.36.29 ip.,24.686,40.269,,,,,,,
94,08.05.20 klo 06.06.29 ip.,23.314,44.908,,,,,,,
95,08.05.20 klo 06.36.29 ip.,24.815,38.535,,,,,,,
96,08.05.20 klo 07.06.29 ip.,20.268,47.668,,,,,,,
97,08.05.20 klo 07.36.29 ip.,19.581,48.694,,,,,,,
98,08.05.20 klo 08.06.29 ip.,18.981,47.814,,,,,,,
99,08.05.20 klo 08.36.29 ip.,17.822,48.498,,,,,,,
100,08.05.20 klo 09.06.29 ip.,17.050,48.645,,,,,,,
101,08.05.20 klo 09.36.29 ip.,16.149,49.109,,,,,,,
102,08.05.20 klo 10.06.29 ip.,15.720,49.133,,,,,,,
103,08.05.20 klo 10.36.29 ip.,14.948,49.499,,,,,,,
104,08.05.20 klo 11.06.29 ip.,14.219,50.037,,,,,,,
105,08.05.20 klo 11.36.29 ip.,13.361,50.476,,,,,,,
106,08.06.20 klo 12.06.29 ap.,12.803,50.623,,,,,,,
107,08.06.20 klo 12.36.29 ap.,12.159,50.989,,,,,,,
108,08.06.20 klo 01.06.29 ap.,11.087,51.722,,,,,,,
109,08.06.20 klo 01.36.29 ap.,10.229,52.112,,,,,,,
110,08.06.20 klo 02.06.29 ap.,9.242,52.259,,,,,,,
111,08.06.20 klo 02.36.29 ap.,8.470,52.650,,,,,,,
112,08.06.20 klo 03.06.29 ap.,7.741,52.747,,,,,,,
113,08.06.20 klo 03.36.29 ap.,7.183,53.162,,,,,,,
114,08.06.20 klo 04.06.29 ap.,6.754,52.991,,,,,,,
115,08.06.20 klo 04.36.29 ap.,6.368,53.040,,,,,,,
116,08.06.20 klo 05.06.29 ap.,6.153,52.943,,,,,,,
117,08.06.20 klo 05.36.29 ap.,5.982,52.894,,,,,,,
118,08.06.20 klo 06.06.29 ap.,5.982,52.723,,,,,,,
119,08.06.20 klo 06.36.29 ap.,6.540,52.503,,,,,,,
120,08.06.20 klo 07.06.29 ap.,7.440,51.770,,,,,,,
121,08.06.20 klo 07.36.29 ap.,7.912,51.038,,,,,,,
122,08.06.20 klo 08.06.29 ap.,9.585,62.833,,,,,,,
123,08.06.20 klo 08.36.29 ap.,10.701,56.068,,,,,,,
124,08.06.20 klo 09.06.29 ap.,12.631,56.166,,,,,,,
125,08.06.20 klo 09.36.29 ap.,12.546,56.142,,,,,,,
126,08.06.20 klo 10.06.29 ap.,18.166,55.897,,,,,,,
127,08.06.20 klo 10.36.29 ap.,21.169,53.455,,,,,,,
128,08.06.20 klo 11.06.29 ap.,23.099,52.357,,,,,,,
129,08.06.20 klo 11.36.29 ap.,24.300,50.940,,,,,,,
130,08.06.20 klo 12.06.29 ip.,24.987,50.769,,,,,,,
131,08.06.20 klo 12.36.29 ip.,25.630,50.379,,,,,,,
132,08.06.20 klo 01.06.29 ip.,26.188,49.988,,,,,,,
133,08.06.20 klo 01.36.29 ip.,26.660,49.353,,,,,,,
134,08.06.20 klo 02.06.29 ip.,27.218,48.523,,,,,,,
135,08.06.20 klo 02.36.29 ip.,29.620,47.204,,,,,,,
136,08.06.20 klo 03.06.29 ip.,32.580,43.858,,,,,,,
137,08.06.20 klo 03.36.29 ip.,35.025,41.074,,,,,,,
138,08.06.20 klo 04.06.29 ip.,34.940,40.024,,,,,,,
139,08.06.20 klo 04.36.29 ip.,34.253,40.342,,,,,,,
140,08.06.20 klo 05.06.29 ip.,32.795,41.734,,,,,,,
141,08.06.20 klo 05.36.29 ip.,30.521,33.089,,,,,,,
142,08.06.20 klo 06.06.29 ip.,29.148,38.706,,,,,,,
143,08.06.20 klo 06.36.29 ip.,26.102,46.740,,,,,,,
144,08.06.20 klo 07.06.29 ip.,26.188,49.206,,,,,,,
145,08.06.20 klo 07.36.29 ip.,25.630,51.355,,,,,,,
146,08.06.20 klo 08.06.29 ip.,25.544,49.597,,,,,,,
147,08.06.20 klo 08.36.29 ip.,24.257,49.621,,,,,,,
148,08.06.20 klo 09.06.29 ip.,22.756,54.676,,,,,,,
149,08.06.20 klo 09.36.29 ip.,21.254,57.509,,,,,,,
150,08.06.20 klo 10.06.29 ip.,20.053,59.194,,,,,,,
151,08.06.20 klo 10.36.29 ip.,19.281,58.388,,,,,,,
152,08.06.20 klo 11.06.29 ip.,18.166,59.267,,,,,,,
153,08.06.20 klo 11.36.29 ip.,17.308,59.609,,,,,,,
154,08.07.20 klo 12.06.29 ap.,16.793,59.389,,,,,,,
155,08.07.20 klo 12.36.29 ap.,16.235,59.145,,,,,,,
156,08.07.20 klo 01.06.29 ap.,15.849,58.852,,,,,,,
157,08.07.20 klo 01.36.29 ap.,15.420,58.632,,,,,,,
158,08.07.20 klo 02.06.29 ap.,15.034,58.486,,,,,,,
159,08.07.20 klo 02.36.29 ap.,14.734,58.291,,,,,,,
160,08.07.20 klo 03.06.29 ap.,14.476,58.168,,,,,,,
161,08.07.20 klo 03.36.29 ap.,14.219,58.071,,,,,,,
162,08.07.20 klo 04.06.29 ap.,13.961,57.998,,,,,,,
163,08.07.20 klo 04.36.29 ap.,13.833,57.924,,,,,,,
164,08.07.20 klo 05.06.29 ap.,13.575,57.802,,,,,,,
165,08.07.20 klo 05.36.29 ap.,13.532,57.802,,,,,,,
166,08.07.20 klo 06.06.29 ap.,13.404,57.949,,,,,,,
167,08.07.20 klo 06.36.29 ap.,13.532,57.753,,,,,,,
168,08.07.20 klo 07.06.29 ap.,13.876,57.485,,,,,,,
169,08.07.20 klo 07.36.29 ap.,14.519,57.289,,,,,,,
170,08.07.20 klo 08.06.29 ap.,15.248,56.313,,,,,,,
171,08.07.20 klo 08.36.29 ap.,16.063,59.072,,,,,,,
172,08.07.20 klo 09.06.29 ap.,16.964,56.557,,,,,,,
173,08.07.20 klo 09.36.29 ap.,18.251,55.897,,,,,,,
174,08.07.20 klo 10.06.29 ap.,20.182,52.454,,,,,,,
175,08.07.20 klo 10.36.29 ap.,20.654,51.038,,,,,,,
176,08.07.20 klo 11.06.29 ap.,21.812,49.206,,,,,,,
177,08.07.20 klo 11.36.29 ap.,22.713,46.984,,,,,,,
178,08.07.20 klo 12.06.29 ip.,23.185,47.424,,,,,,,
179,08.07.20 klo 12.36.29 ip.,27.260,41.148,,,,,,,
180,08.07.20 klo 01.06.29 ip.,33.309,33.993,,,,,,,
181,08.07.20 klo 01.36.29 ip.,32.537,35.360,,,,,,,
182,08.07.20 klo 02.06.29 ip.,31.808,39.683,,,,,,,
183,08.07.20 klo 02.36.29 ip.,32.194,39.170,,,,,,,
184,08.07.20 klo 03.06.29 ip.,33.095,38.437,,,,,,,
185,08.07.20 klo 03.36.29 ip.,33.867,38.095,,,,,,,
186,08.07.20 klo 04.06.29 ip.,34.511,36.996,,,,,,,
187,08.07.20 klo 04.36.29 ip.,33.824,37.485,,,,,,,
188,08.07.20 klo 05.06.29 ip.,32.537,38.144,,,,,,,
189,08.07.20 klo 05.36.29 ip.,31.121,39.609,,,,,,,
190,08.07.20 klo 06.06.29 ip.,30.092,40.635,,,,,,,
191,08.07.20 klo 06.36.29 ip.,29.320,40.830,,,,,,,
192,08.07.20 klo 07.06.29 ip.,28.805,40.708,,,,,,,
193,08.07.20 klo 07.36.29 ip.,28.934,39.683,,,,,,,
194,08.07.20 klo 08.06.29 ip.,30.864,39.072,,,,,,,
195,08.07.20 klo 08.36.29 ip.,31.422,38.046,,,,,,,
196,08.07.20 klo 09.06.29 ip.,29.577,38.291,,,,,,,
197,08.07.20 klo 09.36.29 ip.,27.260,39.683,,,,,,,
198,08.07.20 klo 10.06.29 ip.,24.772,41.734,,,,,,,
199,08.07.20 klo 10.36.29 ip.,22.069,43.370,,,,,,,
200,08.07.20 klo 11.06.29 ip.,19.495,44.469,,,,,,,
201,08.07.20 klo 11.36.29 ip.,17.265,45.617,,,,,,,
202,08.08.20 klo 12.06.29 ap.,15.549,46.422,,,,,,,
203,08.08.20 klo 12.36.29 ap.,14.090,47.009,,,,,,,
204,08.08.20 klo 01.06.29 ap.,12.846,47.643,,,,,,,
205,08.08.20 klo 01.36.29 ap.,11.730,47.814,,,,,,,
206,08.08.20 klo 02.06.29 ap.,10.830,48.156,,,,,,,
207,08.08.20 klo 02.36.29 ap.,10.014,48.571,,,,,,,
208,08.08.20 klo 03.06.29 ap.,9.500,48.938,,,,,,,
209,08.08.20 klo 03.36.29 ap.,9.285,48.864,,,,,,,
210,08.08.20 klo 04.06.29 ap.,9.199,48.987,,,,,,,
211,08.08.20 klo 04.36.29 ap.,9.071,48.962,,,,,,,
212,08.08.20 klo 05.06.29 ap.,8.942,48.669,,,,,,,
213,08.08.20 klo 05.36.29 ap.,8.770,48.718,,,,,,,
214,08.08.20 klo 06.06.29 ap.,8.985,48.181,,,,,,,
215,08.08.20 klo 06.36.29 ap.,9.585,47.448,,,,,,,
216,08.08.20 klo 07.06.29 ap.,10.186,46.740,,,,,,,
217,08.08.20 klo 07.36.29 ap.,10.872,46.349,,,,,,,
218,08.08.20 klo 08.06.29 ap.,11.387,45.885,,,,,,,
219,08.08.20 klo 08.36.29 ap.,11.945,45.690,,,,,,,
220,08.08.20 klo 09.06.29 ap.,12.159,45.641,,,,,,,
221,08.08.20 klo 09.36.29 ap.,12.331,45.714,,,,,,,
222,08.08.20 klo 10.06.29 ap.,12.631,46.032,,,,,,,
223,08.08.20 klo 10.36.29 ap.,13.961,47.082,,,,,,,
224,08.08.20 klo 11.06.29 ap.,18.080,48.107,,,,,,,
225,08.08.20 klo 11.36.29 ap.,22.756,43.639,,,,,,,
226,08.08.20 klo 12.06.29 ip.,26.445,39.927,,,,,,,
227,08.08.20 klo 12.36.29 ip.,27.604,38.120,,,,,,,
228,08.08.20 klo 01.06.29 ip.,28.547,37.998,,,,,,,
229,08.08.20 klo 01.36.29 ip.,27.647,35.775,,,,,,,
230,08.08.20 klo 02.06.29 ip.,22.284,53.040,,,,,,,
231,08.08.20 klo 02.36.29 ip.,32.408,40.733,,,,,,,
232,08.08.20 klo 03.06.29 ip.,39.358,28.474,,,,,,,
233,08.08.20 klo 03.36.29 ip.,47.509,20.317,,,,,,,
234,08.08.20 klo 04.06.29 ip.,42.276,26.032,,,,,,,
235,08.08.20 klo 04.36.29 ip.,38.801,29.280,,,,,,,
236,08.08.20 klo 05.06.29 ip.,37.986,25.910,,,,,,,
237,08.08.20 klo 05.36.29 ip.,36.827,27.766,,,,,,,
238,08.08.20 klo 06.06.29 ip.,36.398,28.254,,,,,,,
239,08.08.20 klo 06.36.29 ip.,33.309,30.330,,,,,,,
240,08.08.20 klo 07.06.29 ip.,31.250,31.600,,,,,,,
241,08.08.20 klo 07.36.29 ip.,28.805,33.724,,,,,,,
242,08.08.20 klo 08.06.29 ip.,27.089,36.654,,,,,,,
243,08.08.20 klo 08.36.29 ip.,26.231,36.215,,,,,,,
244,08.08.20 klo 09.06.29 ip.,25.459,47.057,,,,,,,
245,08.08.20 klo 09.36.29 ip.,23.957,43.590,,,,,,,
246,08.08.20 klo 10.06.29 ip.,23.185,43.956,,,,,,,
247,08.08.20 klo 10.36.29 ip.,22.370,44.444,,,,,,,
248,08.08.20 klo 11.06.29 ip.,21.640,44.860,,,,,,,
249,08.08.20 klo 11.36.29 ip.,20.997,45.153,,,,,,,
250,08.09.20 klo 12.06.29 ap.,20.439,45.739,,,,,,,
251,08.09.20 klo 12.36.29 ap.,19.753,46.349,,,,,,,
252,08.09.20 klo 01.06.29 ap.,18.981,47.253,,,,,,,
253,08.09.20 klo 01.36.29 ap.,18.423,48.352,,,,,,,
254,08.09.20 klo 02.06.29 ap.,17.865,48.767,,,,,,,
255,08.09.20 klo 02.36.29 ap.,17.393,49.573,,,,,,,
256,08.09.20 klo 03.06.29 ap.,17.179,49.231,,,,,,,
257,08.09.20 klo 03.36.29 ap.,16.664,49.621,,,,,,,
258,08.09.20 klo 04.06.29 ap.,15.849,51.062,,,,,,,
259,08.09.20 klo 04.36.29 ap.,15.163,51.819,,,,,,,
260,08.09.20 klo 05.06.29 ap.,14.734,51.917,,,,,,,
261,08.09.20 klo 05.36.29 ap.,14.433,51.722,,,,,,,
262,08.09.20 klo 06.06.29 ap.,14.047,51.917,,,,,,,
263,08.09.20 klo 06.36.29 ap.,13.618,52.357,,,,,,,
264,08.09.20 klo 07.06.29 ap.,13.404,52.283,,,,,,,
265,08.09.20 klo 07.36.29 ap.,13.618,51.941,,,,,,,
266,08.09.20 klo 08.06.29 ap.,13.404,53.602,,,,,,,
267,08.09.20 klo 08.36.29 ap.,12.846,54.774,,,,,,,
268,08.09.20 klo 09.06.29 ap.,12.889,54.896,,,,,,,
269,08.09.20 klo 09.36.29 ap.,13.404,54.237,,,,,,,
270,08.09.20 klo 10.06.29 ap.,14.390,52.454,,,,,,,
271,08.09.20 klo 10.36.29 ap.,15.291,50.672,,,,,,,
272,08.09.20 klo 11.06.29 ap.,19.109,45.372,,,,,,,
273,08.09.20 klo 11.36.29 ap.,18.852,46.349,,,,,,,
274,08.09.20 klo 12.06.29 ip.,21.769,44.103,,,,,,,
275,08.09.20 klo 12.36.29 ip.,25.030,41.783,,,,,,,
276,08.09.20 klo 01.06.29 ip.,28.590,37.534,,,,,,,
277,08.09.20 klo 01.36.29 ip.,29.191,36.630,,,,,,,
278,08.09.20 klo 02.06.29 ip.,30.006,34.969,,,,,,,
279,08.09.20 klo 02.36.29 ip.,28.762,36.020,,,,,,,
280,08.09.20 klo 03.06.29 ip.,32.752,31.722,,,,,,,
281,08.09.20 klo 03.36.29 ip.,47.552,16.459,,,,,,,
282,08.09.20 klo 04.06.29 ip.,56.132,10.037,,,,,,,
283,08.09.20 klo 04.36.29 ip.,38.672,21.880,,,,,,,
284,08.09.20 klo 05.06.29 ip.,52.143,11.648,,,,,,,
285,08.09.20 klo 05.36.29 ip.,46.437,14.676,,,,,,,
286,08.09.20 klo 06.06.29 ip.,29.277,26.520,,,,,,,
287,08.09.20 klo 06.36.29 ip.,24.257,33.382,,,,,,,
288,08.09.20 klo 07.06.29 ip.,22.198,35.092,,,,,,,
289,08.09.20 klo 07.36.29 ip.,21.383,35.897,,,,,,,
290,08.09.20 klo 08.06.29 ip.,20.139,36.435,,,,,,,
291,08.09.20 klo 08.36.29 ip.,17.951,38.217,,,,,,,
292,08.09.20 klo 09.06.29 ip.,16.492,39.316,,,,,,,
293,08.09.20 klo 09.36.29 ip.,15.334,40.049,,,,,,,
294,08.09.20 klo 10.06.29 ip.,14.176,40.928,,,,,,,
295,08.09.20 klo 10.36.29 ip.,13.146,41.807,,,,,,,
